trade_date,per,normcjl,normcje,normccl,q,iv
20220718,0.145,-0.472616564,-0.037150523,-0.731401527,-0.019399224,0.238292694
20220719,-0.5,-0.444038833,-0.039334596,0.61462505,-5.860868999,0.092407227
20220719,-1,-0.377723627,-0.039305041,0.953674778,-3.035001458,0.182739258
20220719,-0.4,0.023817991,-0.039096199,2.011048052,0.00583897,0.291320801
20220719,-0.545454545,0.168548732,-0.038548835,3.450169495,3.257149736,0.437225342
20220719,0.15,-0.443582536,-0.039279399,-0.283564884,-0.336113256,0.243087769
20220719,-0.530612245,1.03852177,-0.031743997,3.272862052,8.559850647,0.837493896
20220719,-0.012396694,-0.475219148,-0.037800638,-0.726812343,-0.012078937,0.235916138
20220720,-0.333333333,-0.410543232,-0.039326752,0.885069656,-5.013679028,0.103393555
20220720,0,-0.413162716,-0.039329128,0.572857135,-5.084896648,0.183166504
20220720,-0.25,-0.233364683,-0.039243905,1.839535247,0.033708346,0.295410156
20220720,-0.875,0.092431584,-0.03888968,3.042493496,3.714582503,0.437744141
20220720,-0.166666667,-0.446894916,-0.039284567,-0.256537342,-0.339892574,0.239074707
20220720,-0.974358974,0.935871779,-0.031900644,3.041140004,9.788623838,0.849914551
20220720,-0.022785741,-0.478058331,-0.038415495,-0.7260933,-0.007437826,0.232749939
20220721,0,-0.444055733,-0.039339251,0.56577245,-7.871268697,0.119873047
20220721,0,-0.421359168,-0.039330645,0.837443659,-4.077112354,0.223876953
20220721,0,-0.312997011,-0.039285868,1.688832379,0.009728404,0.340454102
20220721,-0.6,0.050519832,-0.039080917,2.514377864,4.431993489,0.484008789
20220721,-1.571428571,0.677421613,-0.037014053,2.892129002,9.112534742,0.700378418
20220721,-0.133333333,-0.453637976,-0.039303366,-0.245857445,0.010411621,0.296478271
20220721,-0.099916388,-0.475117749,-0.03782793,-0.72484555,-0.006371739,0.224590302
20220722,0,-0.427510731,-0.039334582,0.819657929,-7.209154193,0.130981445
20220722,-1,-0.419855077,-0.039335769,0.513768753,-7.181284623,0.226318359
20220722,-0.666666667,-0.162317505,-0.039242707,2.340602189,2.696801966,0.376098633
20220722,0.333333333,-0.320754065,-0.039304886,1.623293762,2.579257676,0.467773438
20220722,-1.125,0.622446239,-0.037826863,2.365578345,10.87819389,0.693969727
20220722,-0.142857143,-0.415292104,-0.039249612,-0.245561369,0.009107525,0.291503906
20220722,0.033858268,-0.469540782,-0.0364897,-0.719769955,-0.022354722,0.224952698
20220725,0,-0.440422255,-0.039340724,0.799059474,-18.06192831,0.204833984
20220725,0,-0.459924739,-0.039342764,0.508397081,-18.0615903,0.343017578
20220725,0,-0.333766987,-0.03931427,2.099574884,6.485692158,0.576416016
20220725,0,-0.426885435,-0.03933678,1.574145087,6.453228633,0.721435547
20220725,-0.75,-0.105584541,-0.03914199,1.986854384,27.29354165,0
20220725,-0.166666667,-0.414616108,-0.03926295,-0.233126161,0.007985043,0.304168701
20220725,-0.006155109,-0.474712151,-0.037789237,-0.715540293,-0.021379707,0.228996277
20220726,-3,-0.214876193,-0.039283228,1.816250956,-0.002061712,0.286132813
20220726,-1,-0.257785038,-0.0393175,2.051758552,-0.001709591,0.501953125
20220726,0,-0.415123105,-0.039338621,1.565220499,-0.00135747,0.704101563
20220726,0,-0.44792581,-0.039341654,0.804388848,0.062126882,0.896484375
20220726,0,-0.463558217,-0.0393431,0.494037378,-0.000653228,0
20220726,-0.166666667,-0.420767671,-0.039264766,-0.199690681,0.007097174,0.303070068
20220726,0.001963094,-0.46479191,-0.035341216,-0.709449579,-0.027647462,0.216178894
20220727,0,-0.268431975,-0.039324788,1.795694797,0,0.5
20220727,0,-0.377318029,-0.039335125,1.98539515,0,0.5
20220727,0,-0.41934808,-0.039338996,1.51624101,0,0.5
20220727,0,-0.474374153,-0.0393441,0.803796695,0,0.5
20220727,0,-0.476013443,-0.039344252,0.494608382,0,0.5
20220727,-0.333333333,-0.456561659,-0.039320376,-0.185542461,0.008211243,0.310546875
20220727,-0.070869565,-0.447469513,-0.031874303,-0.687666819,-0.021133056,0.212974548
20220728,-0.222222222,-0.363206613,-0.039249942,-0.135103738,0.015689372,0.315490723
20220728,-0.071111111,-0.434000293,-0.028644718,-0.681681847,-0.006191947,0.208595276
20220729,0.125,-0.383249894,-0.039275278,-0.1368379,0.011546343,0.334899902
20220729,-0.196391753,-0.416120199,-0.026328211,-0.673201374,-0.011581009,0.226699829
20220801,0.166666667,-0.429521819,-0.0393121,-0.140454261,0.010674644,0.357421875
20220801,-0.003241491,-0.438022469,-0.031950585,-0.665313053,-0.021583805,0.233283997
20220802,0.444444444,-0.389333858,-0.039295062,-0.150245929,0.008801996,0.395324707
20220802,-0.090491803,-0.224847134,-0.004645313,-0.590321141,-0.020841767,0.277183533
20220802,-0.103645833,-0.431752606,-0.030718361,-0.711606707,-0.001882524,0.29473114
20220803,-0.8,-0.418570684,-0.03930997,-0.16337903,0.010529379,0.38458252
20220803,-0.216153846,-0.294998617,-0.015071877,-0.558915899,-0.028015496,0.245307922
20220803,-0.157342657,-0.417066593,-0.028364749,-0.692002222,-0.02189044,0.264335632
20220803,-0.140407785,-0.470318177,-0.036951714,-0.724401436,-0.02523257,0.275001526
20220804,-0.25,-0.464910209,-0.039337546,-0.163928887,0.010289154,0.379516602
20220804,0.035422343,-0.208082433,-0.003232562,-0.560311687,-0.034220732,0.222824097
20220804,0.004237288,-0.395569921,-0.024453946,-0.670811614,-0.018655382,0.232177734
20220804,0.050353725,-0.461699228,-0.035038494,-0.715603738,-0.049669416,0.248321533
20220805,-0.333333333,-0.441334849,-0.039329845,-0.169850414,0.0106219,0.357788086
20220805,0.129325014,-0.330133509,-0.017508955,-0.595840851,-0.032011634,0.203399658
20220805,0.111514053,-0.444934528,-0.03245129,-0.691198587,-0.008332258,0.217910767
20220805,0.080609212,-0.470081579,-0.036678309,-0.720510146,-0.007830981,0.233703613
20220808,-1,-0.469422483,-0.039340631,-0.167566396,0.010217781,0.39453125
20220808,-0.058971142,-0.422846359,-0.030528327,-0.590765256,-0.025434105,0.204864502
20220808,-0.032882012,-0.459502241,-0.035071983,-0.691262032,-0.024800923,0.219772339
20220808,-0.051092044,-0.477787933,-0.038414595,-0.719177803,-0.026609202,0.239501953
20220809,0,-0.470791374,-0.039341861,-0.163252141,0.010113686,0.411010742
20220809,-0.020780856,-0.432597601,-0.032106411,-0.593260757,-0.019031699,0.204902649
20220809,-0.011650485,-0.464977809,-0.036150382,-0.690860214,-0.017477074,0.219360352
20220809,0.018316446,-0.479156825,-0.038740421,-0.720023735,-0.033279539,0.232940674
20220810,0.333333333,-0.458707946,-0.039339505,-0.170675198,0.010678095,0.446044922
20220810,-0.214733542,-0.192551425,-0.003680965,-0.544958013,-0.010496781,0.205162048
20220810,-0.137198622,-0.455851863,-0.034984933,-0.68927409,-0.013513931,0.221603394
20220810,-0.096491228,-0.472379965,-0.037353382,-0.720510146,-0.066371424,0.243896484
20220811,0,-0.459079744,-0.039339418,-0.180572608,0.009775343,0.425537109
