,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
1773,20170731,10000947.SH,2.7,0.0395,0.0386,0.0386,0.0435,0.0345,69854.0,2762.3545,116826.0
1774,20170801,10000947.SH,2.7,0.0391,0.0598,0.0598,0.0598,0.0383,109132.0,5496.0207,101495.0
1775,20170802,10000947.SH,2.7,0.0618,0.0605,0.0605,0.0705,0.0599,96674.0,6276.397,98311.0
1776,20170803,10000947.SH,2.7,0.06,0.0352,0.0352,0.0678,0.0351,101529.0,5144.9767,115632.0
1777,20170804,10000947.SH,2.7,0.0352,0.0241,0.0241,0.0412,0.024,91553.0,3159.758,124008.0
1778,20170807,10000947.SH,2.7,0.0249,0.0266,0.0266,0.0306,0.021,80493.0,2059.5914,133811.0
1779,20170808,10000947.SH,2.7,0.0279,0.026,0.026,0.0286,0.02,76258.0,1879.0227,138276.0
1780,20170809,10000947.SH,2.7,0.0253,0.0145,0.0145,0.0253,0.0139,75107.0,1498.8124,133012.0
1781,20170810,10000947.SH,2.7,0.0147,0.0118,0.0118,0.0208,0.0078,124286.0,1615.7522,140239.0
1782,20170811,10000947.SH,2.7,0.0095,0.005,0.005,0.0116,0.0048,100761.0,785.4035,128366.0
1783,20170814,10000947.SH,2.7,0.005,0.004,0.004,0.0057,0.0038,59017.0,273.1121,110493.0
1784,20170815,10000947.SH,2.7,0.0042,0.0055,0.0055,0.0091,0.0042,61315.0,425.1703,99901.0
1785,20170816,10000947.SH,2.7,0.0057,0.0035,0.0035,0.0059,0.0027,27188.0,98.351,97101.0
1786,20170817,10000947.SH,2.7,0.0042,0.003,0.003,0.0058,0.0022,32631.0,120.3237,93471.0
1787,20170818,10000947.SH,2.7,0.0028,0.0031,0.0031,0.0042,0.0017,41298.0,120.9034,85740.0
1788,20170821,10000947.SH,2.7,0.006,0.0011,0.0011,0.0061,0.0007,34024.0,102.7349,81769.0
1789,20170822,10000947.SH,2.7,0.002,0.0036,0.0036,0.0041,0.001,49255.0,119.2145,60617.0
1790,20170823,10000947.SH,2.7,0.004,0.008,0.0013,0.0165,0.0011,106933.0,843.1423,5456.0
1791,20170714,10000955.SH,2.75,0.0213,0.0255,0.0255,0.0255,0.0179,30517.0,666.4085,12927.0
1792,20170717,10000955.SH,2.75,0.028,0.0319,0.0319,0.042,0.0234,49010.0,1642.0948,30592.0
