,trade_date,price,settle,per,normcjl,normcje,normccl,jc,dt,g_settle,q,iv,normprice,normsettle,normper,normjc,normdt,normgse,normq,normiv
1097,20160325,2.3,0.027,-0.059259259,-0.347320707,-0.035880368,-0.36640282,-0.155,33,0.1091,-0.349032324,0.219116211,-1.0926575937551792,-0.5822548454041185,0.04598301779002771,-0.3693928198540144,0.8326008700459261,-0.27618488109468303,-0.15749969335755362,-0.20570551214693714
1098,20160325,2.25,0.0373,-0.021447721,-0.354300366,-0.034717355,-0.292362582,-0.105,33,0.1457,0.038443584,0.304824829,-1.19466276030825,-0.5047771834969981,0.0504611919499583,-0.18726826749998288,0.8326008700459261,-0.06971320659998975,-0.08240248521091094,0.20582705753845068
1099,20160325,2.2,0.0515,-0.009708738,-0.288069659,-0.029725059,-0.117867864,-0.055,33,0.185,0.433550923,0.411594391,-1.296667926861321,-0.39796331950854064,0.051851487428932586,-0.0051437151459513665,0.8326008700459261,0.15198998486562354,-0.005826219526931644,0.7184843986478747
1100,20160328,2.3,0.0166,-0.746987952,-0.291618638,-0.035066438,-0.306257022,-0.179,30,0.1194,-0.408583661,0.205863953,-1.0926575937551792,-0.6604847176210169,-0.03546748713350739,-0.45681260498394954,0.6209628146688745,-0.21807946450191412,-0.1690414151982309,-0.26933663718588885
1101,20160328,2.25,0.0262,-0.599236641,-0.313909605,-0.033831384,-0.291706984,-0.129,30,0.1562,0.026880212,0.295433044,-1.19466276030825,-0.5882725278823415,-0.017968698720931636,-0.274688052629918,0.6209628146688745,-0.010479529490856378,-0.08464359733177358,0.16073211253557249
1102,20160328,2.2,0.0382,-0.544502618,-0.206155845,-0.026685879,-0.047634322,-0.079,30,0.198,0.494032931,0.405601501,-1.296667926861321,-0.49800729070899724,-0.011486325867765858,-0.0925635002758865,0.6209628146688745,0.2253269184293125,0.005895876867001862,0.6897093526945977
1103,20160329,2.3,0.0149,-0.153333333,-0.315058798,-0.036757521,-0.237059747,-0.196,29,0.1272,-0.470008381,0.211402893,-1.0926575937551792,-0.6732722928872408,0.03484144276850392,-0.5187349527843204,0.5504167962098573,-0.17407730436370078,-0.18094621982724346,-0.2427412461420945
1104,20160329,2.25,0.0228,-0.175438596,-0.322866552,-0.035557918,-0.246132373,-0.146,29,0.1647,-0.003197807,0.297683716,-1.19466276030825,-0.613847678414789,0.03222342660727108,-0.3366104004302887,0.5504167962098573,0.03747154245463254,-0.0904730571945573,0.17153878347826526
1105,20160329,2.2,0.0338,-0.153846154,-0.270020566,-0.031954074,0.019384677,-0.096,29,0.2068,0.49092194,0.407821655,-1.296667926861321,-0.5311045443392235,0.034780707292711585,-0.15448584807625723,0.5504167962098573,0.274970381149348,0.005292931667453269,0.7003694905201463
1106,20160330,2.3,0.0212,0.188679245,-0.314602501,-0.036297015,-0.190173941,-0.142,28,0.091,-0.408329843,0.193252563,-1.0926575937551792,-0.625883043371235,0.07534738275885405,-0.32204043624196615,0.47987077775084014,-0.37829245782566523,-0.16899222240254008,-0.329890614780121
1107,20160330,2.25,0.0338,0.24260355,-0.313436408,-0.034697447,-0.24291783,-0.092,28,0.127,0.028157458,0.291648865,-1.19466276030825,-0.5311045443392235,0.08173385741754727,-0.1399158838879347,0.47987077775084014,-0.17520556488006525,-0.084396052628384,0.1425622604908285
1108,20160330,2.2,0.0498,0.218875502,-0.239583846,-0.02936071,-0.015383147,-0.042,28,0.1639,0.464109563,0.407653809,-1.296667926861321,-0.41075089477476445,0.07892364823168468,0.042208668466096826,0.47987077775084014,0.03295850038917464,9.639011505498316e-05,0.6995635727804457
1109,20160331,2.3,0.0219,0.00456621,-0.316275591,-0.035899156,-0.120236475,-0.144,27,0.0929,-0.429332089,0.201850891,-1.0926575937551792,-0.6206175712027898,0.053542127552271467,-0.32932541833612744,0.40932475929182294,-0.36757398292020305,-0.1730626949321741,-0.2886054780061524
1110,20160331,2.25,0.0339,-0.076696165,-0.304445661,-0.033581551,-0.163188696,-0.094,27,0.1277,0.019794149,0.298355103,-1.19466276030825,-0.5303523340294456,0.043917894126495736,-0.14720086598209597,0.40932475929182294,-0.17125665307278967,-0.08601695638988366,0.1747624688416598
1111,20160331,2.2,0.049,-0.114285714,-0.23726856,-0.027648456,0.026130988,-0.044,27,0.165,0.480457226,0.414279938,-1.296667926861321,-0.4167685772529873,0.039466011026283186,0.03492368637193558,0.40932475929182294,0.03916393322917918,0.0032647518781356707,0.7313791352999217
1112,20160401,2.3,0.0203,-0.034482759,-0.261165018,-0.035576561,-0.110719735,-0.135,26,0.0881,-0.408365475,0.193283081,-1.0926575937551792,-0.6326529361592358,0.048917399408504064,-0.2965429989124018,0.33877874083280574,-0.3946522353129497,-0.168999128286662,-0.32974408166297675
1113,20160401,2.25,0.032,-0.0375,-0.230643799,-0.032365146,-0.161560276,-0.085,26,0.1192,0.035225277,0.284561157,-1.19466276030825,-0.544644329915225,0.04856005529093649,-0.11441844655837032,0.33877874083280574,-0.2192077250182786,-0.08302622946356986,0.10853041218334947
1114,20160401,2.2,0.0483,-0.01242236,-0.21541699,-0.028170843,0.018898266,-0.035,26,0.1591,0.521527676,0.410072327,-1.296667926861321,-0.4220340494214324,0.051530102143832066,0.06770610579566123,0.33877874083280574,0.005880247996427984,0.011224669046266506,0.7111761614628391
1115,20160405,2.3,0.0205,0.024390244,-0.267840479,-0.035344615,-0.057214507,-0.125,22,0.0735,-0.519921211,0.187782288,-1.0926575937551792,-0.63114851553968,0.05588996848919356,-0.2601180884415955,0.056594666996736945,-0.4770152530075541,-0.19061989012856706,-0.3561563087111062
1116,20160405,2.25,0.0345,0.086956522,-0.250467382,-0.032196595,-0.138127947,-0.075,22,0.1042,-0.019811726,0.292396545,-1.19466276030825,-0.5258390721707783,0.06329994714233994,-0.07799353608756397,0.056594666996736945,-0.3038272637456119,-0.09369302237823643,0.14615226904402187
1117,20160405,2.2,0.0527,0.089184061,-0.177003518,-0.024969015,0.043197675,-0.025,22,0.142,0.518650629,0.429111481,-1.296667926861321,-0.3889367957912062,0.06356376364168567,0.10413101626646755,0.056594666996736945,-0.09058602615273202,0.0106670648366993,0.8025932459181716
1118,20160406,2.3,0.0171,-0.152046784,-0.326685929,-0.036726397,-0.021917975,-0.135,21,0.077,-0.572332456,0.185012817,-1.0926575937551792,-0.6567236660721275,0.03499381399675929,-0.2965429989124018,-0.013951351462280251,-0.4572706939711763,-0.20077778148058809,-0.3694540090345341
