trade_date,normsettle,normper,normjc,normcje,normccl
20150519,-0.746236693,0.134994147,-1.021398717,-0.039283669,-0.554220974
20150519,-0.699599654,0.1267629,-0.657149613,-0.039087874,-0.575073209
20150519,-0.613095468,0.122303362,-0.292900508,-0.038199173,-0.531888357
20150519,-0.386680165,0.133000192,0.071348597,-0.035117583,-0.48726542
20150519,-0.006061748,0.129783224,0.435597702,-0.032544128,-0.630989344
20150519,0.226371238,0.121860395,0.617722254,-0.035369412,-0.68777256
20150520,-0.767298582,-0.055563227,-1.385647822,-0.039307362,-0.615551077
20150520,-0.746988903,0.015845548,-1.021398717,-0.039204153,-0.571118474
20150520,-0.713139439,0.027093881,-0.657149613,-0.038505268,-0.562468815
20150520,-0.610838837,0.052490841,-0.292900508,-0.037878897,-0.541341652
20150520,-0.411503105,0.036558776,0.071348597,-0.033919486,-0.510655452
20150520,-0.01057501,0.044335425,0.435597702,-0.034496146,-0.63454226
20150520,0.267742805,0.052155375,0.617722254,-0.035537678,-0.697500783
20150521,-0.777077316,-0.089119546,-1.247233162,-0.039339146,-0.618807917
20150521,-0.767298582,-0.029902513,-0.882984057,-0.039323667,-0.577589858
20150521,-0.736457959,-0.030813544,-0.518734953,-0.039201426,-0.572493115
20150521,-0.640175039,0.024773524,-0.154485848,-0.037573071,-0.504078327
20150521,-0.367874907,0.059829964,0.209763257,-0.03587562,-0.508709807
20150521,0.112035271,0.058560685,0.574012361,-0.034436371,-0.648330959
20150521,0.422698128,0.060255419,0.756136914,-0.03665269,-0.707715418
20150522,-0.777077316,0.0422346,-0.901196513,-0.039331635,-0.635959197
20150522,-0.758272058,0.079320014,-0.536947408,-0.03929393,-0.58846009
20150522,-0.660484718,0.122920239,-0.172698303,-0.038162076,-0.603623429
20150522,-0.39871553,0.121204608,0.191550801,-0.034785648,-0.558112263
20150522,0.082699068,0.106984278,0.555799906,-0.030368812,-0.558006521
20150522,0.764953819,0.094548072,0.920049011,-0.030066928,-0.676838883
20150522,1.123005927,0.090067414,1.102173563,-0.03735546,-0.710993406
20150525,-0.777077316,0.106834999,-0.522377444,-0.039329595,-0.64731584
20150525,-0.740971221,0.095155831,-0.158128339,-0.039117271,-0.592139896
20150525,-0.499511711,0.116270057,0.206120766,-0.036860868,-0.614578254
20150525,0.010486879,0.10415858,0.57036987,-0.031917452,-0.61237883
20150525,0.757431716,0.098887094,0.934618975,-0.020703792,-0.665334202
20150525,1.504376554,0.082649327,1.29886808,-0.033368457,-0.691515811
20150525,1.880481709,0.077201268,1.480992632,-0.036473179,-0.7154557
20150526,-0.784599419,-0.420734928,-0.460455096,-0.039342861,-0.64568742
20150526,-0.759024268,-0.078968054,-0.096205991,-0.039061833,-0.595861999
20150526,-0.522830231,0.018387365,0.268043113,-0.036688744,-0.630608674
20150526,0.13460158,0.052803943,0.632292218,-0.028482064,-0.675189315
20150526,0.872519894,0.051133109,0.996541323,-0.032715222,-0.686820886
20150526,1.623977993,0.051290956,1.360790428,-0.035925714,-0.702491785
20150526,2.001587569,0.053233556,1.54291498,-0.037904683,-0.719050913
20150527,-0.785351629,-64.96730051,0.140555927,-0.037737628,-0.649938231
20150527,-0.785351629,-7.289910715,-0.223693178,-0.039293393,-0.603285056
20150527,-0.785351629,-1.249773385,-0.587942283,-0.039344302,-0.646533353
20150527,-0.145972866,-0.018582893,0.504805031,-0.034314406,-0.70593896
20150527,0.606237444,0.014181278,0.869054136,-0.034345282,-0.700884513
20150527,1.358447754,0.036178792,1.233303241,-0.036043896,-0.712917902
20150527,1.734552909,0.03740321,1.415427793,-0.038589255,-0.721736748
20150609,0.484379374,0.033917171,-0.675362068,-0.036569741,-0.72133493
20150610,0.369291196,0.048603455,-0.824704201,-0.037992096,-0.716111297
20150611,0.263229543,0.039539043,-0.897554022,-0.037559009,-0.710274364
20150612,0.311371003,0.051865664,-0.850201638,-0.037496027,-0.700524992
20150615,-0.019601534,-0.008985054,-1.20352327,-0.036058466,-0.678361562
20150616,-0.174556858,0.031998247,-1.451212661,-0.033457933,-0.626971165
20150617,-0.13243308,0.061870243,-1.352865403,-0.03605831,-0.597384677
20150618,-0.322742289,-0.001882746,-1.837316712,-0.036086956,-0.573613975
20150619,-0.44685699,0.013260124,-2.449255208,-0.035362219,-0.542420216
20150619,0.804820966,0.015857631,0.100488525,-0.034821025,-0.722159715
20150623,-0.370883748,0.074710662,-2.077721121,-0.03521505,-0.490797188
20150623,1.162873073,0.080026249,0.472022612,-0.024260712,-0.683669788
20150623,1.637517779,0.079438493,0.836271717,-0.03422236,-0.720679333
20150624,-0.440087097,0.044486465,-1.924736497,-0.036319494,-0.464552133
20150624,1.170395176,0.057784247,0.625007236,-0.034766797,-0.680666728
20150624,1.666101771,0.058234381,0.989256341,-0.035215099,-0.717041823
20150625,-0.595042421,-0.061687782,-2.285343111,-0.035934377,-0.446406882
20150625,0.622786071,-0.005709571,0.264400622,-0.032368178,-0.677938595
20150625,1.022961956,0.00496755,0.628649727,-0.029829215,-0.708899723
20150626,-0.592033579,0.078807977,-3.134043525,-0.035600587,-0.405273416
20150626,0.112035271,0.012596752,-0.584299792,-0.017880588,-0.625871453
20150626,0.400131819,0.016178559,-0.220050687,-0.023528665,-0.684219644
20150629,-0.54464433,0.04596931,-3.228748292,-0.034270835,-0.336985519
20150629,0.18274304,0.03349238,-0.679004559,-0.027032741,-0.626886572
20150629,0.493405898,0.032031536,-0.314755454,-0.011555104,-0.65120713
20150629,0.806325386,0.025295821,0.231618203,-0.030405601,-0.72008718
20150630,-0.528847913,0.060294926,-2.533032502,-0.035937752,-0.297713105
20150630,0.528007572,0.077149401,0.016711231,-0.031749265,-0.6271615
20150630,0.809334228,0.075906034,0.380960336,-0.012318002,-0.61914629
20150630,1.4712793,0.076332844,0.927333993,-0.023007418,-0.699911691
20150630,2.073047548,0.078900993,1.291583098,-0.032087915,-0.724866698
20150701,-0.652962615,-0.03111377,-2.981058901,-0.037234425,-0.287519618
20150701,0.064646021,-0.003071433,-0.431315168,-0.032720937,-0.620478633
20150701,0.271503856,-0.000862986,-0.067066063,-0.020310811,-0.595354439
20150701,0.712299098,-0.000475425,0.479307594,-0.028516989,-0.699086907
20150701,1.132784661,0.001447681,0.843556699,-0.031997106,-0.714334839
20150702,-0.655219245,0.020141014,-3.141328507,-0.038098132,-0.272017906
20150702,0.064646021,0.024702928,-0.591584774,-0.032852357,-0.612674906
20150702,0.219601345,0.025697671,-0.227335669,-0.018155291,-0.601275967
20150702,0.647609011,0.025832993,0.319037988,-0.024820105,-0.689210645
20150702,1.047784896,0.025834881,0.683287093,-0.023089389,-0.694730355
20150703,-0.670263452,0.047582781,-3.523790067,-0.038152373,-0.258588728
20150703,-0.191857695,0.010671287,-0.974046334,-0.034140267,-0.604511658
20150703,0.008982458,0.032140787,-0.609797229,-0.027571707,-0.600049364
20150703,0.30535332,0.029151162,-0.063423572,-0.020764699,-0.665630278
20150703,0.648361221,0.020006323,0.300825533,-0.017583427,-0.659560713
20150706,-0.688316499,-0.182030611,-2.930064026,-0.037935926,-0.22775449
20150706,0.03907087,-0.081425654,-0.380320293,-0.027668405,-0.578879905
20150706,0.254955229,-0.108881916,-0.016071188,-0.02330655,-0.573529382
20150706,0.726591094,-0.02300859,0.530302469,-0.031674615,-0.66749133
20150706,1.200483589,0.006566241,0.894551573,-0.023309224,-0.660279755
20150706,2.426586394,0.073932202,1.076676126,-0.038572076,-0.734446883
20150707,-0.746236693,-0.120094609,-2.755224456,-0.038694041,-0.242727495
20150707,-0.10685793,0.043810219,-0.205480723,-0.0327176,-0.573910052
20150707,0.154911258,0.050158915,0.158768382,-0.02804778,-0.573233306
20150707,0.677697423,0.055802344,0.705142039,-0.031471396,-0.668929415
20150707,1.199731378,0.06058578,1.069391144,-0.028467175,-0.663452002
20150707,2.36941841,0.060202259,1.251515696,-0.038603402,-0.733326023
20150708,-0.761280899,0.018617249,-3.43272779,-0.038940751,-0.282909287
20150708,-0.553670854,-0.087350725,-0.882984057,-0.035534893,-0.574671391
20150708,-0.524334652,-0.159292583,-0.518734953,-0.033509581,-0.579535502
20150708,-0.170043596,-0.06181311,0.027638704,-0.031920501,-0.658439852
20150708,0.08646012,-0.056542514,0.391887809,-0.030472579,-0.655056122
20150708,1.557031276,0.05049117,0.574012361,-0.037334352,-0.729773107
20150709,-0.71464386,0.13315368,-2.747939474,-0.039013559,-0.269522405
20150709,-0.082034989,0.133435163,-0.198195741,-0.033182695,-0.568369194
20150709,0.082699068,0.122276024,0.166053364,-0.02896335,-0.572852636
20150709,0.782254657,0.131654282,0.712427021,-0.024399914,-0.66749133
20150709,1.208757902,0.124079642,1.076676126,-0.021528647,-0.658038034
20150709,2.422073132,0.10371911,1.258800678,-0.037029106,-0.728440763
20150710,-0.731192487,0.097414107,-2.336337985,-0.038384708,-0.295090714
20150710,0.195530615,0.090511508,0.213405748,-0.017790559,-0.578922201
20150710,0.532520834,0.093425745,0.577654852,-0.007507134,-0.606584193
20150710,1.245616207,0.080021845,1.124028509,-0.019043458,-0.682633521
20150710,2.116675746,0.081806878,1.488277614,-0.014833361,-0.674237641
20150710,2.97569992,0.079567959,1.670402167,-0.037448533,-0.728546505
20150713,-0.776325105,-0.519429983,-2.4929651,-0.03912898,-0.347475081
20150713,-0.103849088,0.001627616,0.056778633,-0.025665188,-0.561770921
20150713,0.267742805,0.035828393,0.421027737,-0.028423053,-0.600408886
20150713,0.974068286,0.047785981,0.967401394,-0.032620821,-0.684409979
20150713,1.730791857,0.04866281,1.331650499,-0.02673668,-0.678678786
20150713,2.561984249,0.048370428,1.513775051,-0.037145054,-0.727806314
20150714,-0.780086157,-0.031594428,-2.857214205,-0.039312785,-0.354602062
20150714,-0.552166433,-0.169349074,-0.307470472,-0.034443285,-0.556441546
20150714,-0.340795336,-0.059020059,0.056778633,-0.028277214,-0.536244909
20150714,0.178229778,-0.02086972,0.60315229,-0.033410459,-0.6747452
20150714,0.93570556,0.009950202,0.967401394,-0.030665105,-0.678192375
20150714,1.813534991,0.028903766,1.149525947,-0.037017766,-0.72471866
20150715,-0.782342788,-0.041745919,-2.904566589,-0.039331588,-0.365556888
20150715,-0.668759031,-0.055499553,-0.354822856,-0.037260874,-0.570632063
20150715,-0.559688536,-0.034245095,0.009426249,-0.034929209,-0.545803946
20150715,0.243672075,0.011569393,0.555799906,-0.033209134,-0.6540833
20150715,0.807829807,0.030061738,0.920049011,-0.034025222,-0.673455153
20150715,1.399819321,0.035185262,1.102173563,-0.036594737,-0.717993497
20150716,-0.783094998,0.053001333,-2.937349008,-0.039339651,-0.376321378
