,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
1913,20171017,10001022.SH,2.85,0.0709,0.071,0.0704,0.0747,0.0674,4454,315.9335,6591
1940,20171017,10001024.SH,2.9,0.1139,0.121,0.1126,0.1161,0.1072,2126,237.4339,1034
1914,20171018,10001022.SH,2.85,0.0711,0.0577,0.0577,0.0719,0.0576,8531,540.2907,10902
1941,20171018,10001024.SH,2.9,0.1134,0.098,0.0975,0.1134,0.0969,2665,277.9149,2100
1915,20171019,10001022.SH,2.85,0.0572,0.0574,0.0574,0.0597,0.054,9847,558.5676,12937
1942,20171019,10001024.SH,2.9,0.0968,0.0968,0.0973,0.0988,0.0927,3553,339.5481,2964
1916,20171020,10001022.SH,2.85,0.0615,0.0659,0.0659,0.0659,0.0595,13044,819.204,13934
1943,20171020,10001024.SH,2.9,0.1017,0.11,0.1059,0.1064,0.0996,3072,317.4068,3104
1917,20171023,10001022.SH,2.85,0.0651,0.0642,0.0642,0.0693,0.0597,10959,711.8754,15410
1944,20171023,10001024.SH,2.9,0.1053,0.1107,0.1061,0.112,0.1,3505,374.3209,3493
1918,20171024,10001022.SH,2.85,0.0654,0.0626,0.0626,0.0669,0.0546,32350,1896.2231,26429
1945,20171024,10001024.SH,2.9,0.1069,0.1009,0.1009,0.1111,0.092,9415,917.6958,5397
1919,20171025,10001022.SH,2.85,0.0624,0.06,0.06,0.0643,0.059,27696,1697.8246,36200
1946,20171025,10001024.SH,2.9,0.1002,0.0997,0.0995,0.1034,0.0962,6663,665.065,6209
1920,20171026,10001022.SH,2.85,0.0608,0.0421,0.0421,0.0618,0.0374,94202,4148.6891,50326
1947,20171026,10001024.SH,2.9,0.1033,0.0775,0.0775,0.1033,0.0712,22611,1796.8115,8593
1921,20171027,10001022.SH,2.85,0.0413,0.0206,0.0206,0.0439,0.0206,112801,3289.7954,77125
1948,20171027,10001024.SH,2.9,0.0767,0.0451,0.0451,0.0792,0.0451,53809,3142.7378,24158
1967,20171027,10001036.SH,2.95,0.1225,0.0854,0.0854,0.1225,0.0846,6632,649.4933,2385
1922,20171030,10001022.SH,2.85,0.0188,0.027,0.027,0.032,0.0185,130366,3373.7133,79383
1949,20171030,10001024.SH,2.9,0.0434,0.0575,0.0575,0.0651,0.0415,70880,3871.277,22696
1968,20171030,10001036.SH,2.95,0.085,0.0973,0.0973,0.1104,0.0777,15321,1442.8995,3604
1923,20171031,10001022.SH,2.85,0.0278,0.0246,0.0246,0.0321,0.0225,78122,2175.2474,79012
1950,20171031,10001024.SH,2.9,0.059,0.0564,0.0564,0.0652,0.0543,35478,2150.1254,26566
1969,20171031,10001036.SH,2.95,0.0981,0.099,0.0982,0.1075,0.0967,5056,518.8654,3953
1924,20171101,10001022.SH,2.85,0.0243,0.026,0.026,0.0295,0.0158,121595,2647.6432,83663
