trade_date,price,open,settle,close,high,low,vol,amount,oi
20190115,2.2,0.1353,0.17,0.1687,0.1707,0.132,15040,2319.8257,11140
20190115,2.15,0.1801,0.22,0.2179,0.2202,0.1799,8541,1748.9557,6975
20190115,2.1,0.234,0.27,0.2671,0.2697,0.2314,5139,1315.4687,5736
20190115,2.05,0.2919,0.3223,0.3223,0.3227,0.2911,1935,596.1965,938
20190116,2.7,0.0001,0.0002,0.0002,0.0002,0.0001,1824,0.2251,49581
20190116,2.45,0.0043,0.0039,0.0039,0.005,0.0035,31335,128.9399,114022
20190116,2.55,0.006,0.0052,0.0052,0.0065,0.005,4373,24.3865,15008
20190116,2.2,0.1656,0.174,0.1709,0.1747,0.1585,5336,893.8436,10483
20190116,2.15,0.2146,0.224,0.22,0.2239,0.2078,2916,630.6568,6047
20190116,2.1,0.2646,0.274,0.2704,0.274,0.2582,3420,912.6787,4535
20190116,2.05,0.3184,0.3258,0.3258,0.33,0.313,609,196.0108,1013
20190117,2.7,0.0002,0.0001,0.0001,0.0002,0.0001,694,0.1045,49241
20190117,2.45,0.004,0.0021,0.0021,0.0056,0.0017,56247,197.0155,111620
20190117,2.55,0.0051,0.0048,0.0048,0.0074,0.0045,9422,51.7742,19384
20190117,2.2,0.1729,0.165,0.163,0.1889,0.1592,6029,1041.6236,8563
20190117,2.15,0.2196,0.215,0.2103,0.2387,0.2098,3062,680.2479,5304
20190117,2.1,0.2691,0.265,0.2619,0.2892,0.26,2360,641.7208,3875
20190117,2.05,0.3298,0.3175,0.3175,0.3424,0.315,2247,741.7968,1494
20190118,2.7,0.0001,0.0001,0.0001,0.0002,0.0001,2207,0.3277,48664
20190118,2.45,0.0021,0.0048,0.0048,0.0053,0.0021,88520,364.1735,100377
20190118,2.55,0.0048,0.0097,0.0097,0.0115,0.0048,23215,201.7616,28155
20190118,2.2,0.1708,0.209,0.1999,0.2072,0.1708,11539,2259.5132,5156
20190118,2.15,0.2162,0.259,0.2506,0.2569,0.2162,3975,956.5591,4574
20190118,2.1,0.2642,0.309,0.301,0.3069,0.2642,3409,992.5231,3247
20190118,2.05,0.3242,0.359,0.3578,0.363,0.3242,3375,1174.1284,2467
20190121,2.7,0.0001,0.0001,0.0001,0.0002,0.0001,2293,0.2411,47991
20190121,2.6,0.0045,0.0059,0.0059,0.0089,0.0041,21597,151.7838,14436
20190121,2.45,0.0049,0.0067,0.0067,0.0112,0.0047,152800,1267.7941,96639
20190121,2.55,0.0101,0.0127,0.0127,0.0179,0.0095,43205,617.157,47023
20190121,2.2,0.2021,0.224,0.2228,0.2323,0.2006,3260,723.7418,3805
20190121,2.15,0.2503,0.274,0.2719,0.2826,0.2503,6170,1686.256,1520
20190121,2.1,0.3,0.324,0.3215,0.3332,0.3,4034,1303.4191,1798
20190121,2.05,0.3666,0.374,0.3721,0.3842,0.3642,2691,1010.0078,3202
20190122,2.7,0.0001,0.0001,0.0001,0.0001,0.0001,47,0.0047,47985
20190122,2.45,0.0065,0.0006,0.0006,0.0065,0.0004,70049,137.8147,85077
20190122,2.6,0.0061,0.0038,0.004,0.0067,0.0034,13214,62.7311,19947
20190122,2.55,0.0128,0.0081,0.0081,0.0134,0.0072,36066,343.7327,61871
20190122,2.2,0.2228,0.196,0.1926,0.2228,0.1879,3523,709.3506,2925
20190122,2.15,0.2671,0.246,0.2439,0.268,0.2384,1367,346.7321,930
20190122,2.1,0.3158,0.296,0.2938,0.3186,0.2882,2559,788.2435,655
20190122,2.05,0.3672,0.3478,0.3482,0.369,0.3422,1600,569.9755,3214
20190123,2.45,0.0003,0,0.0001,0.0005,0.0001,20665,5.4891,76819
20190123,2.7,0.0001,0,0.0001,0.0001,0.0001,551,0.0551,47452
20190123,2.6,0.0038,0.0027,0.0027,0.0045,0.0026,17191,60.8055,26095
20190123,2.55,0.0078,0.0058,0.0058,0.0093,0.0055,28607,204.5363,73226
20190123,2.2,0.194,0.192,0.1889,0.2059,0.1836,5308,1047.848,1103
20190123,2.15,0.2441,0.242,0.238,0.2545,0.2331,930,225.6492,683
20190123,2.1,0.2904,0.292,0.2882,0.3043,0.2818,706,206.7091,461
20190123,2.05,0.3478,0.342,0.3402,0.3592,0.3384,1448,507.8282,3148
20190124,2.6,0.0031,0.0019,0.0019,0.0032,0.0016,26221,57.1081,35868
20190124,2.55,0.006,0.0051,0.0051,0.0067,0.004,38245,198.22,79225
20190124,2.05,0.3501,0.3553,0.3553,0.3599,0.3317,2620,913.8843,3515
20190125,2.6,0.002,0.0027,0.0027,0.0035,0.002,20620,58.8874,39775
20190125,2.55,0.0051,0.0069,0.0069,0.0089,0.0051,43721,316.9103,79132
20190125,2.05,0.3668,0.383,0.382,0.3938,0.3651,2547,973.9702,3662
20190128,2.65,0.0009,0.0014,0.0014,0.0031,0.0009,8141,14.4854,3851
20190128,2.6,0.0038,0.0032,0.0032,0.006,0.0025,35355,155.0635,46466
20190128,2.55,0.0089,0.0081,0.0081,0.0135,0.0065,53917,561.9775,89798
20190128,2.05,0.3979,0.3805,0.3805,0.4136,0.372,2069,821.4668,3992
20190129,2.65,0.0013,0.0021,0.0021,0.0025,0.0011,7591,14.0429,7722
20190129,2.6,0.0032,0.0055,0.0055,0.0059,0.0026,31426,138.9192,48904
20190129,2.55,0.0078,0.0126,0.0126,0.0131,0.0067,52022,524.6916,103044
20190129,2.05,0.37,0.3982,0.3982,0.4037,0.37,3100,1197.8284,3737
20190130,2.65,0.0021,0.0024,0.0024,0.0034,0.0018,17631,47.3666,15609
20190130,2.6,0.0049,0.0057,0.0057,0.0074,0.0045,30785,193.9009,51607
20190130,2.55,0.0112,0.0124,0.0124,0.016,0.0105,51160,699.283,102637
20190130,2.05,0.3941,0.3916,0.3916,0.4058,0.3859,1763,697.3517,3857
20190131,2.65,0.0026,0.0041,0.0041,0.0045,0.0026,22084,82.7782,22221
20190131,2.6,0.0068,0.0092,0.0092,0.0097,0.0057,45719,383.8134,57572
20190131,2.55,0.015,0.0197,0.0197,0.0207,0.0141,73840,1328.5661,101484
20190131,2.05,0.3992,0.4256,0.425,0.427,0.3992,1767,739.0588,4009
20190201,2.65,0.0055,0.0061,0.0061,0.0079,0.0048,36345,209.221,31928
20190201,2.6,0.0125,0.0119,0.0119,0.0139,0.0102,62685,751.7967,63297
20190201,2.55,0.0251,0.0242,0.0242,0.0291,0.0204,95085,2218.0571,100269
20190201,2.05,0.4304,0.4431,0.4409,0.4456,0.4245,1612,699.7548,4045
20190211,2.7,0.0024,0.0016,0.0016,0.0024,0.0013,9658,15.9584,4142
20190211,2.65,0.0045,0.0035,0.0035,0.0046,0.0029,34775,127.3825,38646
20190211,2.6,0.0095,0.0092,0.0092,0.0103,0.0066,62431,543.1536,75307
20190211,2.55,0.02,0.021,0.021,0.0226,0.015,109934,2147.4502,114859
20190211,2.05,0.4305,0.466,0.4628,0.4659,0.43,1315,590.3741,3990
20190212,2.7,0.0015,0.0013,0.0013,0.0018,0.0011,4369,6.3837,5898
20190212,2.65,0.0034,0.0034,0.0034,0.0039,0.0028,15223,50.201,44507
20190212,2.6,0.0088,0.0093,0.0093,0.0101,0.0077,53506,477.9032,93272
20190212,2.55,0.0207,0.023,0.023,0.0247,0.0194,99788,2216.4948,120523
20190212,2.05,0.4641,0.474,0.4701,0.4754,0.456,1140,532.8947,3795
20190213,2.7,0.0013,0.0049,0.0049,0.0062,0.0011,36892,143.4672,23449
