trade_date,normprice,normsettle,normper,normjc,normgse,normiv,normcjl,normcje,normccl
20190227,-0.174611095,-0.062477521,0.06064224,0.144198418,-0.891650993,-1.182774831,2.457183852,0.234676948,0.706916281
20190227,-0.480626594,0.237654392,0.045695335,0.690572075,-0.352906596,-0.057416048,-0.152836661,0.003801451,-0.665165015
20190227,-0.582631761,0.613759547,0.054624607,0.872696627,-0.187616431,2.343349355,-0.282289893,-0.00365408,-0.633125324
20190227,-1.602683427,4.374811096,0.050032282,2.693942151,0.439132286,2.343349355,-0.45803195,-0.024093809,-0.682612372
20190228,0.233409571,-0.56796285,0.032920816,-0.584299792,-0.38393376,-0.436785045,0.383819655,-0.014424192,0.40646222
20190228,-0.072605928,-0.275353039,0.042171079,-0.037926135,-0.211309901,0.210058142,2.554408975,0.162063675,1.959784545
20190228,-0.174611095,-0.124158767,0.043569723,0.144198418,0.409233383,1.202385012,2.313653004,0.197408438,1.022322197
20190301,0.233409571,-0.466414458,0.079257942,-0.343895383,-0.573481527,-0.504491565,0.43688534,-0.010056057,0.450619895
20190301,-0.072605928,-0.069247414,0.073155029,0.202478275,-0.444295698,0.142214246,3.984224992,0.283547446,1.696805293
20190301,-0.174611095,0.103008747,0.07145338,0.384602827,0.180196498,1.262865718,3.104297913,0.290567738,0.860516466
20190304,0.233409571,-0.419025208,0.04789432,-0.296542999,-0.563891313,-0.389492132,2.443731532,0.144867885,0.662737458
20190304,0.335414738,-0.221193897,0.060896937,-0.478667551,-0.439782656,-0.422681427,0.158341193,0.013835851,-0.311332617
20190304,-0.072605928,-0.006813958,0.049797319,0.249830658,0.094448699,1.108861544,4.274801867,0.496870225,0.955303198
20190304,-0.174611095,0.198539456,0.049379496,0.431955211,0.4244649,1.900990305,1.950964256,0.304535217,0.537624048
20190305,0.233409571,-0.369379328,0.065637155,-0.303827981,-0.562198922,-0.311409379,0.631622884,0.014617851,0.738807934
20190305,0.335414738,-0.17982233,0.064329809,-0.485952533,-0.433577223,-0.378447353,-0.222396648,-0.021001489,-0.157647838
20190305,-0.072605928,0.023274454,0.057077668,0.242545676,0.102910652,1.214986687,2.292697128,0.227640739,1.266733232
20190305,-0.174611095,0.233893341,0.056934567,0.424670228,0.460569236,2.074647966,1.051703692,0.145514056,0.550862891
20190306,0.233409571,-0.346060808,0.054420919,-0.278330544,-0.537377191,-0.225487209,1.074231258,0.042708418,0.891329556
20190306,0.335414738,-0.13318529,0.065568731,-0.460455096,-0.417217446,-0.320402723,-0.156858837,-0.014206737,-0.050468196
20190306,-0.072605928,0.048849604,0.057166282,0.268043113,0.121526951,1.334775854,2.660337547,0.270786785,1.274156289
20190306,-0.174611095,0.252698598,0.060382006,0.450167666,0.548573556,2.311808536,1.021926068,0.143676544,0.568860104
20190307,0.233409571,-0.461148986,0.016729183,-0.449527623,-0.420038097,-0.181839263,0.822135454,0.023212247,1.05947978
20190307,0.335414738,-0.206901901,0.037908305,-0.631652175,-0.267158797,-0.221997937,-0.186399862,-0.016923698,0.055759772
20190307,-0.072605928,-0.115132243,0.025885116,0.096846034,0.335332319,1.459803505,2.666032813,0.24290656,1.495621406
20190307,-0.174611095,0.049601815,0.025580112,0.278970587,0.714991983,2.325161185,1.131403619,0.139131605,0.607307734
20190308,0.233409571,-0.621369782,0.028553934,-0.806491746,-0.153204485,-0.134454771,1.189099877,0.004946826,1.287860395
20190308,-0.072605928,-0.42278626,0.008772844,-0.260118088,0.044241106,0.587998463,2.988128002,0.147673849,1.840127399
20190308,0.335414738,-0.405485423,0.015712191,-0.988616298,0.743762626,0.361552974,0.002879015,-0.012891146,0.255822798
20190308,-0.174611095,-0.311459134,0.027246623,-0.077993536,1.112703815,2.214511891,2.159052721,0.143063778,0.927281686
20190311,0.233409571,-0.677033344,-0.004570782,-0.75185438,-0.290288138,-0.331832147,0.804441259,-0.018066643,1.388145688
20190311,0.335414738,-0.507033814,0.005947799,-0.933978932,-0.087765375,-0.328754995,0.117815233,-0.016573904,0.422323454
20190311,-0.072605928,-0.477697612,0.028967036,-0.205480723,0.608935494,1.352011573,2.035244056,0.063013858,1.895832052
20190311,-0.174611095,-0.371635959,0.034697886,-0.02335617,0.935566913,2.122856694,1.879139682,0.08755866,0.987998488
20190311,-0.684636928,1.05831584,0.054103714,0.887266591,-0.683486928,0.230132901,-0.450376296,-0.032410452,-0.726452822
20190312,0.233409571,-0.694334182,0.002104048,-0.711786978,-0.327520735,-0.392898981,0.546616389,-0.02340757,1.365559291
20190312,0.335414738,-0.493494029,0.048422696,-0.893911531,-0.139665359,-0.340523273,0.014945543,-0.01966442,0.59683932
20190312,-0.072605928,-0.481458664,0.018995512,-0.165413321,0.551958338,1.351626927,2.756227578,0.10668401,1.8344808
20190312,-0.174611095,-0.357343963,0.025942583,0.016711231,0.892693014,2.214914855,2.70020441,0.154821282,1.056074902
20190312,-0.684636928,1.110218352,0.051309418,0.927333993,-0.702103226,0.225846867,-0.450883293,-0.031779693,-0.72522622
