ts_code,call_put,k,trade_date,c,s,r,t,q,iv
10002100.SH,P,3.2,20200515,0.4004,2.812,0.01657,0.1095890410958904,0.05078146899294929,0.215728759765625
10002270.SH,P,2.75,20200515,0.1073,2.812,0.01657,0.3589041095890411,0.04908617807310631,0.18483734130859375
10002476.SH,P,3.0,20200515,0.1908,2.812,0.01657,0.03287671232876712,0.036082843173477354,0.189605712890625
10002403.SH,P,2.4,20200515,0.0031,2.812,0.01657,0.1095890410958904,0.024221098456902113,0.2624053955078125
10002404.SH,P,2.45,20200515,0.0037,2.812,0.01657,0.1095890410958904,0.026468708191264508,0.24114990234375
10002407.SH,P,2.4,20200515,0.0214,2.812,0.01657,0.3589041095890411,0.035529963904160224,0.22120285034179688
10002408.SH,P,2.45,20200515,0.026,2.812,0.01657,0.3589041095890411,0.040448214154214214,0.21050453186035156
10002008.SH,P,3.444,20200515,0.6452,2.812,0.01657,0.1095890410958904,0.057775977921948815,0.291656494140625
10002516.SH,P,3.1,20200515,0.2929,2.812,0.01657,0.03287671232876712,0.06701117723685274,0.23321533203125
10002518.SH,P,3.056,20200515,0.3844,2.812,0.01657,0.6082191780821918,0.06983846325394479,0.1923236846923828
10002472.SH,P,2.95,20200515,0.1419,2.812,0.01657,0.03287671232876712,0.03687091155036192,0.168609619140625
10002240.SH,P,2.8,20200515,0.1319,2.812,0.01657,0.3589041095890411,0.048275970173104164,0.18383121490478516
10002241.SH,P,2.85,20200515,0.1605,2.812,0.01657,0.3589041095890411,0.0477683753925368,0.1839771270751953
10002242.SH,P,2.9,20200515,0.193,2.812,0.01657,0.3589041095890411,0.04786561653894226,0.18501663208007812
10002243.SH,P,2.95,20200515,0.2275,2.812,0.01657,0.3589041095890411,0.04766046238309877,0.18514251708984375
10002244.SH,P,3.0,20200515,0.2648,2.812,0.01657,0.3589041095890411,0.04695143552366094,0.18645286560058594
10002245.SH,P,3.1,20200515,0.3475,2.812,0.01657,0.3589041095890411,0.04684355414939809,0.19164276123046875
10002246.SH,P,3.2,20200515,0.4348,2.812,0.01657,0.3589041095890411,0.04492257536021406,0.19818687438964844
