time,normper,normcjl,normcje,normjc,normccl,y1,y2,y3,y4
1709,0.714158364,-0.763766698,-0.576980317,0.575966727,-0.882446622,-1.2739153722568137,0.2293421614961737,0.7846624600629091,0.49530950488493486
1710,0.068867103,-0.875794217,-0.661263178,0.309942825,-1.1751859,-1.4422541381692682,-0.4026034359090328,0.3818322756637315,0.5458476346930428
1711,-0.641653627,-0.809458979,-0.614296607,0.073702937,-0.903118791,-1.2373043078502,-0.7238687782752922,-0.2928460822381974,0.3483290122194828
1712,-0.253688471,-0.762157713,-0.586550931,0.958788539,-0.903811581,-1.376715653417237,0.0486068268986376,-0.15320162802670725,0.8963673543105534
1801,0.33555111,-0.862092526,-0.655684213,0.777303817,-1.092121475,-1.502441286975111,0.08140450200089921,0.47685263294180286,0.7688735571191356
1802,-1.34780697,-0.874438412,-0.672928449,-0.07104125,-1.059178692,-1.3417537771845636,-1.222481706643533,-0.8286145340298936,0.4192576337732289
1803,0.628726103,-0.752033611,-0.584697066,0.481135347,-0.913487166,-1.2610606095191499,0.10988869039071786,0.7423715251802144,0.4639038362807505
1804,-0.437872892,-0.834372928,-0.644098007,0.535268829,-1.046943305,-1.4164688500391143,-0.40070866151104567,-0.16725024857310186,0.6997870019008345
1805,0.013086456,-0.855177094,-0.658332933,0.161447776,-0.840908538,-1.289944567671872,-0.33509960888911444,0.23706221225142415,0.2506282005514373
1806,-1.623773835,-0.744812296,-0.599353679,0.277628373,-0.798454562,-1.2043238984341977,-0.9604453399175585,-1.248582742639089,0.5741694795463057
1807,-0.413817931,-0.755164777,-0.615551485,0.420472544,-0.86812112,-1.2643442137929508,-0.365437073180264,-0.18643235718840243,0.5326835198953415
1808,-1.03570166,-0.678430556,-0.578579612,0.287905278,-0.576884846,-1.0746355425442962,-0.5647534520294571,-0.8155373936849821,0.3775523958419601
1809,-0.226346822,-0.765152471,-0.633204231,0.846164325,-0.913434326,-1.3871928061429113,-0.017686623259593803,-0.1040715606100768,0.8077991982507693
