time,per,cjl,cje,jc,ccl,price,avgp
180615,-2.6838,49378,55561873000,-1.3446,0,5482.6,5626.1769
180622,-6.7864,53424,54657682440,-49.3228,24775,5110.8,5115.4614
180629,1.7623,66768,67920164840,-32.3643,25577,5185.4,5086.2812
180706,-4.6261,76635,77495510120,-48.6299,25642,4948,5056.1434
180713,4.6657,66740,67812725200,-13.1855,19889,5191,5080.366
180720,-0.9243,61121,62976190680,-30.0516,21097,5145.2,5151.7638
180727,1.51,57898,60766438880,-19.2904,20882,5230,5247.7149
180803,-7.0075,66398,67255331400,-51.55,20323,4878.2,5064.56
180810,2.302,69575,68231837520,-17.7148,17726,5012.8,4903.4738
180817,-5.4216,64174,63338019280,-65.0285,34093,4738,4934.8661
180824,1.2932,73760,70770346320,-42.8887,32879,4809.4,4797.3391
180831,-0.5571,62742,61179331960,-31.4237,32094,4783.4,4875.4687
180907,-0.5593,70734,67946523400,-26.7779,31055,4765,4802.9606
180914,-2.0951,70824,66506307200,-15.6799,24437,4654.4,4695.1815
180921,2.5224,60346,56452934040,-17.2151,0,4788,4677.4379
180928,0.6317,50825,48673804560,19.6713,24300,4820.4,4788.3723
181012,-11.1555,74965,67305281480,-10.8353,22694,4267.2,4489.1137
181019,-4.1018,67204,55608779120,-36.5854,0,4091.4,4137.3117
181026,2.6668,87584,74002878200,-34.1585,21250,4199.8,4224.6802
181102,5.75,89002,75916039840,-1.9456,23157,4436,4264.8502
181109,-1.4082,79637,70204828400,0.1857,19864,4368.8,4407.8022
181116,6.2354,78984,71989792480,-11.2965,43675,4647.8,4557.239
181123,-7.0204,95069,86091668240,-46.5644,40988,4328.2,4527.8518
181130,-0.661,93170,80932267080,-48.4511,39513,4328.2,4343.2579
181207,1.401,130281,1.16E+11,-24.9593,39049,4386,4451.7195
181214,-1.4163,127839,1.12E+11,-7.5025,33996,4329.6,4381.8146
181221,-3.0026,135886,1.16E+11,-25.144,38542,4206,4263.9849
181228,-1.3787,149229,1.25E+11,-47.6363,40036,4120.4,4182.05
190104,1.8591,87216,71901861920,-3.0786,40767,4207.8,4122.0568
190111,3.0297,143165,1.23E+11,-2.8757,35885,4312,4284.802
190118,0.506,110166,95166167800,-17.8112,0,4330,4319.2168
190125,-0.5666,123166,1.07E+11,-8.4417,29114,4310,4329.0602
190201,-0.342,132863,1.13E+11,18.9304,25952,4313.2,4249.6766
190215,4.7555,115574,1.03E+11,-0.1348,59080,4502.6,4465.5178
190222,6.6028,201731,1.88E+11,27.5023,60769,4804.8,4671.4407
190301,6.4705,257016,2.59E+11,13.975,55455,5081.2,5035.6186
190308,4.7796,309554,3.29E+11,50.7001,53454,5296.4,5309.4958
190315,0.4958,241752,2.63E+11,-7.8087,0,5351.2,5431.9261
190322,4.8597,303638,3.34E+11,-10.9402,59422,5611.2,5492.5752
190329,-1.0725,304973,3.32E+11,-13.2561,58851,5534.4,5438.2421
190404,6.3492,222408,2.57E+11,11.0425,57698,5882.6,5779.838
190412,-2.7597,275273,3.19E+11,-13.1676,49998,5701.2,5790.1985
190419,1.5279,204456,2.34E+11,-28.9798,0,5781.2,5726.2513
190426,-7.0002,342659,3.81E+11,-32.8306,60782,5375.2,5558.5836
190430,-2.3761,166441,1.76E+11,-40.36,61840,5267.2,5297.1731
190510,-4.419,461592,4.54E+11,-46.323,65145,5018,4917.0891
190517,-3.712,324000,3.22E+11,-117.7792,86856,4824.8,4962.1035
190524,-0.9957,407585,3.94E+11,-69.1573,86392,4772.6,4835.6037
190531,0.6994,396816,3.86E+11,-103.2005,82306,4808.8,4860.5761
190606,-4.1684,314990,2.99E+11,-66.9844,85560,4611.8,4743.369
190614,2.9798,405675,3.88E+11,-26.3267,68815,4769.2,4781.9927
190621,4.3984,338263,3.30E+11,-46.3051,77065,4975,4879.9465
190628,-1.1294,341281,3.36E+11,-30.4798,73139,4920,4929.4649
190705,2.2542,307317,3.08E+11,-25.6599,69874,5017,5013.1287
190712,-3.449,311522,3.01E+11,-18.5679,64746,4843,4837.2279
190719,0.8929,253182,2.48E+11,2.7097,0,4881.4,4890.6132
190726,-0.4507,290229,2.79E+11,-38.9099,66370,4859.2,4805.1433
190802,-1.5288,267852,2.59E+11,-30.7198,65572,4779.2,4841.3828
190809,-4.2686,297649,2.76E+11,-29.7526,61382,4570.6,4641.4255
190816,2.1146,258973,2.41E+11,-57.8625,96524,4664.8,4652.1798
190823,3.3954,323567,3.12E+11,-46.1024,98076,4841.8,4828.1295
190830,0.2145,343110,3.34E+11,-27.494,98180,4859,4874.466
190906,6.4955,383205,3.88E+11,-3.2378,90315,5151.4,5057.6996
190912,2.1243,283377,2.96E+11,-2.4115,71281,5240.2,5218.851
190920,-1.9094,290712,3.01E+11,-57.0848,75027,5147.4,5176.3371
190927,-3.3432,354189,3.59E+11,-27.0299,75257,4978.6,5071.8026
190930,-1.7861,63138,62602787840,-46.903,76255,4894,4957.6157
191011,2.4147,258042,2.57E+11,0.0835,72199,5055.6,4974.3905
191018,-1.3833,245634,2.49E+11,14.3928,0,4976.2,5069.8896
191025,-0.0187,310613,3.05E+11,-20.3684,72664,4974.2,4915.3985
191101,-0.3223,294692,2.92E+11,-14.1495,69820,4948.2,4961.8281
191108,0.5502,317526,3.17E+11,-17.4938,62836,4970.8,4986.3652
191115,-3.232,273123,2.66E+11,-48.0367,113365,4820.4,4864.877
191122,0.5178,359126,3.52E+11,-51.0828,121602,4853,4899.5934
191129,0.5977,350218,3.41E+11,-13.9416,108742,4881,4869.698
191206,2.9644,328558,3.23E+11,5.0896,95822,5015.6,4922.6849
191213,1.913,307080,3.09E+11,19.3142,77997,5093,5036.6416
191220,2.3359,285982,2.98E+11,19.9248,78685,5204.6,5210.7024
191227,-0.8906,333397,3.44E+11,-15.5929,78849,5163.6,5164.548
200103,3.8064,259342,2.74E+11,-2.6372,70973,5378,5289.463
200110,1.5413,360960,3.94E+11,-12.2279,65628,5468,5463.3467
200117,0.6865,240218,2.66E+11,4.9547,0,5515,5530.9435
200123,-3.0735,296669,3.26E+11,-31.3411,69629,5346.4,5499.1909
200207,-0.7267,385084,3.91E+11,-26.6369,66379,5300.4,5076.9468
200214,2.4448,366909,3.94E+11,-15.2025,63113,5405.6,5363.8878
200221,7.127,398222,4.49E+11,-9.0321,121546,5775,5634.1125
200228,-6.4184,730528,8.32E+11,-68.2897,126883,5383,5693.4049
200306,4.8426,633171,7.16E+11,-82.8602,111369,5681,5657.93
200313,-4.4453,671067,7.36E+11,-10.2006,104696,5447,5483.9579
200320,-4.6646,584185,6.06E+11,-52.4809,98494,5166.8,5190.8919
200327,-1.7841,608946,6.18E+11,-83.7371,102434,5053.6,5076.3329
