,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB,FR007_1Y.IB
,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS,FR0071年IRS
,开盘价,收盘价,最高价,最低价,前收盘价,均价,涨跌,涨跌幅,成交量,成交金额,换手率,振幅
2015-10-16,2.4231,2.4231,2.4231,2.4231,0,2.4231,0,0,0,0,0,0
2015-10-19,2.4185,2.4185,2.4185,2.4185,0,2.4185,0,0,0,0,0,0
2015-10-20,2.4032,2.4032,2.4032,2.4032,0,2.4032,0,0,0,0,0,0
2015-10-21,2.3982,2.3982,2.3982,2.3982,0,2.3982,0,0,0,0,0,0
2015-10-22,2.3962,2.3962,2.3962,2.3962,0,2.3962,0,0,0,0,0,0
2015-10-23,2.386,2.386,2.386,2.386,0,2.386,0,0,0,0,0,0
2015-10-26,2.3045,2.3045,2.3045,2.3045,0,2.3045,0,0,0,0,0,0
2015-10-27,2.2681,2.2681,2.2681,2.2681,0,2.2681,0,0,0,0,0,0
2015-10-28,2.2783,2.2783,2.2783,2.2783,0,2.2783,0,0,0,0,0,0
2015-10-29,2.3116,2.3116,2.3116,2.3116,0,2.3116,0,0,0,0,0,0
2015-10-30,2.3199,2.3199,2.3199,2.3199,0,2.3199,0,0,0,0,0,0
2015-10-31,2.3667,2.3667,2.3667,2.3667,0,2.3667,0,0,0,0,0,0
2015-11-02,2.386,2.386,2.386,2.386,0,2.386,0,0,0,0,0,0
2015-11-03,2.3476,2.3476,2.3476,2.3476,0,2.3476,0,0,0,0,0,0
2015-11-04,2.3752,2.3752,2.3752,2.3752,0,2.3752,0,0,0,0,0,0
2015-11-05,2.3667,2.3667,2.3667,2.3667,0,2.3667,0,0,0,0,0,0
2015-11-06,2.356,2.356,2.356,2.356,0,2.356,0,0,0,0,0,0
2015-11-09,2.398,2.398,2.398,2.398,0,2.398,0,0,0,0,0,0
2015-11-10,2.4036,2.4036,2.4036,2.4036,0,2.4036,0,0,0,0,0,0
2015-11-11,2.3895,2.3895,2.3895,2.3895,0,2.3895,0,0,0,0,0,0
2015-11-12,2.4022,2.4022,2.4022,2.4022,0,2.4022,0,0,0,0,0,0
2015-11-13,2.3937,2.3937,2.3937,2.3937,0,2.3937,0,0,0,0,0,0
2015-11-16,2.3989,2.3989,2.3989,2.3989,0,2.3989,0,0,0,0,0,0
2015-11-17,2.3976,2.3976,2.3976,2.3976,0,2.3976,0,0,0,0,0,0
2015-11-18,2.4073,2.4073,2.4073,2.4073,0,2.4073,0,0,0,0,0,0
2015-11-19,2.405,2.405,2.405,2.405,0,2.405,0,0,0,0,0,0
2015-11-20,2.3764,2.3764,2.3764,2.3764,0,2.3764,0,0,0,0,0,0
2015-11-23,2.3824,2.3824,2.3824,2.3824,0,2.3824,0,0,0,0,0,0
2015-11-24,2.3748,2.3748,2.3748,2.3748,0,2.3748,0,0,0,0,0,0
2015-11-25,2.3782,2.3782,2.3782,2.3782,0,2.3782,0,0,0,0,0,0
2015-11-26,2.3732,2.3732,2.3732,2.3732,0,2.3732,0,0,0,0,0,0
2015-11-27,2.3743,2.3743,2.3743,2.3743,0,2.3743,0,0,0,0,0,0
2015-11-30,2.3832,2.3832,2.3832,2.3832,0,2.3832,0,0,0,0,0,0
2015-12-01,2.3603,2.3603,2.3603,2.3603,0,2.3603,0,0,0,0,0,0
2015-12-02,2.3537,2.3537,2.3537,2.3537,0,2.3537,0,0,0,0,0,0
2015-12-03,2.4044,2.4044,2.4044,2.4044,0,2.4044,0,0,0,0,0,0
2015-12-04,2.3088,2.3088,2.3088,2.3088,0,2.3088,0,0,0,0,0,0
2015-12-07,2.3168,2.3168,2.3168,2.3168,0,2.3168,0,0,0,0,0,0
2015-12-08,2.3082,2.3082,2.3082,2.3082,0,2.3082,0,0,0,0,0,0
2015-12-09,2.3086,2.3086,2.3086,2.3086,0,2.3086,0,0,0,0,0,0
2015-12-10,2.3083,2.3083,2.3083,2.3083,0,2.3083,0,0,0,0,0,0
2015-12-11,2.3079,2.3079,2.3079,2.3079,0,2.3079,0,0,0,0,0,0
2015-12-14,2.3256,2.3256,2.3256,2.3256,0,2.3256,0,0,0,0,0,0
2015-12-15,2.3311,2.3311,2.3311,2.3311,0,2.3311,0,0,0,0,0,0
2015-12-16,2.3323,2.3323,2.3323,2.3323,0,2.3323,0,0,0,0,0,0
2015-12-17,2.3278,2.3278,2.3278,2.3278,0,2.3278,0,0,0,0,0,0
2015-12-18,2.3195,2.3195,2.3195,2.3195,0,2.3195,0,0,0,0,0,0
2015-12-22,2.3106,2.3106,2.3106,2.3106,0,2.3106,0,0,0,0,0,0
2015-12-23,2.3182,2.3182,2.3182,2.3182,0,2.3182,0,0,0,0,0,0
2015-12-25,2.2946,2.2946,2.2946,2.2946,0,2.2946,0,0,0,0,0,0
2015-12-28,2.2915,2.2915,2.2915,2.2915,0,2.2915,0,0,0,0,0,0
2015-12-29,2.2964,2.2964,2.2964,2.2964,0,2.2964,0,0,0,0,0,0
2015-12-30,2.3198,2.3198,2.3198,2.3198,0,2.3198,0,0,0,0,0,0
2015-12-31,2.3343,2.3343,2.3343,2.3343,0,2.3343,0,0,0,0,0,0
2016-01-04,2.3439,2.3439,2.3439,2.3439,0,2.3439,0,0,0,0,0,0
2016-01-05,2.3442,2.3442,2.3442,2.3442,0,2.3442,0,0,0,0,0,0
2016-01-06,2.3374,2.3374,2.3374,2.3374,0,2.3374,0,0,0,0,0,0
2016-01-08,2.2815,2.2815,2.2815,2.2815,0,2.2815,0,0,0,0,0,0
2016-01-11,2.2607,2.2607,2.2607,2.2607,0,2.2607,0,0,0,0,0,0
2016-01-12,2.2412,2.2412,2.2412,2.2412,0,2.2412,0,0,0,0,0,0
2016-01-13,2.2232,2.2232,2.2232,2.2232,0,2.2232,0,0,0,0,0,0
2016-01-14,2.2321,2.2321,2.2321,2.2321,0,2.2321,0,0,0,0,0,0
2016-01-15,2.2473,2.2473,2.2473,2.2473,0,2.2473,0,0,0,0,0,0
2016-01-18,2.2703,2.2703,2.2703,2.2703,0,2.2703,0,0,0,0,0,0
2016-01-19,2.2758,2.2758,2.2758,2.2758,0,2.2758,0,0,0,0,0,0
2016-01-20,2.3041,2.3041,2.3041,2.3041,0,2.3041,0,0,0,0,0,0
2016-01-21,2.3002,2.3002,2.3002,2.3002,0,2.3002,0,0,0,0,0,0
2016-01-25,2.3331,2.3331,2.3331,2.3331,0,2.3331,0,0,0,0,0,0
2016-01-26,2.3193,2.3193,2.3193,2.3193,0,2.3193,0,0,0,0,0,0
2016-01-27,2.3527,2.3527,2.3527,2.3527,0,2.3527,0,0,0,0,0,0
2016-01-28,2.3468,2.3468,2.3468,2.3468,0,2.3468,0,0,0,0,0,0
2016-01-29,2.2994,2.2994,2.2994,2.2994,0,2.2994,0,0,0,0,0,0
2016-01-31,2.2974,2.2974,2.2974,2.2974,0,2.2974,0,0,0,0,0,0
2016-02-01,2.2958,2.2958,2.2958,2.2958,0,2.2958,0,0,0,0,0,0
2016-02-02,2.322,2.322,2.322,2.322,0,2.322,0,0,0,0,0,0
2016-02-03,2.3362,2.3362,2.3362,2.3362,0,2.3362,0,0,0,0,0,0
2016-02-04,2.31,2.31,2.31,2.31,0,2.31,0,0,0,0,0,0
2016-02-05,2.2917,2.2917,2.2917,2.2917,0,2.2917,0,0,0,0,0,0
2016-02-14,2.2893,2.2893,2.2893,2.2893,0,2.2893,0,0,0,0,0,0
2016-02-15,2.2955,2.2955,2.2955,2.2955,0,2.2955,0,0,0,0,0,0
2016-02-16,2.3084,2.3084,2.3084,2.3084,0,2.3084,0,0,0,0,0,0
2016-02-17,2.3263,2.3263,2.3263,2.3263,0,2.3263,0,0,0,0,0,0
2016-02-18,2.3093,2.3093,2.3093,2.3093,0,2.3093,0,0,0,0,0,0
2016-02-19,2.2925,2.2925,2.2925,2.2925,0,2.2925,0,0,0,0,0,0
2016-02-22,2.3033,2.3033,2.3033,2.3033,0,2.3033,0,0,0,0,0,0
2016-02-23,2.3024,2.3024,2.3024,2.3024,0,2.3024,0,0,0,0,0,0
2016-02-24,2.3159,2.3159,2.3159,2.3159,0,2.3159,0,0,0,0,0,0
2016-02-25,2.3228,2.3228,2.3228,2.3228,0,2.3228,0,0,0,0,0,0
2016-02-26,2.3196,2.3196,2.3196,2.3196,0,2.3196,0,0,0,0,0,0
2016-02-29,2.3137,2.3137,2.3137,2.3137,0,2.3137,0,0,0,0,0,0
2016-03-01,2.2798,2.2798,2.2798,2.2798,0,2.2798,0,0,0,0,0,0
2016-03-02,2.2972,2.2972,2.2972,2.2972,0,2.2972,0,0,0,0,0,0
2016-03-03,2.3034,2.3034,2.3034,2.3034,0,2.3034,0,0,0,0,0,0
