time,val,per
190628,2.6419,-0.004296536
190630,2.661,0.007229645
190701,2.6294,-0.011875235
190702,2.5868,-0.016201415
190703,2.5595,-0.01055358
190704,2.5608,0.000507912
190705,2.5828,0.008591065
190708,2.6124,0.011460431
190709,2.6157,0.001263206
190710,2.6069,-0.0033643
190711,2.5952,-0.004488089
190712,2.6023,0.00273582
190715,2.6168,0.005571994
190716,2.6137,-0.001184653
190717,2.6076,-0.002333856
190718,2.5938,-0.005292223
190719,2.5898,-0.001542139
190722,2.5769,-0.00498108
190723,2.5802,0.001280608
190724,2.6016,0.008293931
190725,2.6045,0.001114699
190726,2.612,0.002879631
190729,2.6324,0.007810107
190730,2.6372,0.001823431
190731,2.618,-0.007280449
190801,2.6191,0.000420168
190802,2.5977,-0.008170746
190805,2.5716,-0.01004735
190806,2.5694,-0.000855499
190807,2.5655,-0.001517864
190808,2.5674,0.000740596
190809,2.5592,-0.003193893
190812,2.5844,0.009846827
190813,2.5909,0.002515091
190814,2.6061,0.005866687
190815,2.6001,-0.002302291
190816,2.6174,0.00665359
190819,2.6111,-0.002406969
190820,2.6141,0.001148941
190821,2.6296,0.005929383
190822,2.6318,0.000836629
190823,2.6345,0.001025914
190826,2.629,-0.002087683
190827,2.6545,0.009699506
190828,2.6511,-0.001280844
190829,2.6405,-0.00399834
190830,2.6643,0.009013444
190831,2.6094,-0.020605788
190902,2.67,0.02322373
190903,2.6628,-0.002696629
190904,2.6544,-0.003154574
190905,2.6103,-0.016613924
190906,2.6008,-0.003639428
190909,2.6113,0.004037219
190910,2.6382,0.010301382
190911,2.6464,0.00310818
190912,2.6598,0.005063482
190916,2.667,0.00270697
190917,2.6724,0.002024747
190918,2.7045,0.012011675
190919,2.6996,-0.001811795
190920,2.7058,0.002296637
190923,2.7036,-0.000813068
190924,2.6929,-0.003957686
190925,2.6936,0.000259943
190926,2.6899,-0.001373626
190927,2.6908,0.000334585
190930,2.7074,0.006169169
191008,2.6883,-0.007054739
191009,2.6844,-0.001450731
191010,2.6936,0.003427209
191011,2.7068,0.004900505
191012,2.7193,0.004617999
191014,2.726,0.002463869
191015,2.7335,0.002751284
191016,2.7275,-0.002194988
191017,2.7238,-0.001356554
191018,2.7337,0.003634628
191021,2.7669,0.012144712
191022,2.7913,0.008818533
191023,2.7736,-0.006341131
191024,2.7685,-0.001838766
191025,2.773,0.001625429
191028,2.8183,0.016336098
191029,2.8541,0.012702693
191030,2.8919,0.013244105
191031,2.8813,-0.00366541
191101,2.8563,-0.008676639
191104,2.8703,0.004901446
191105,2.8361,-0.011915131
191106,2.803,-0.011670957
191107,2.8115,0.003032465
191108,2.8292,0.006295572
191111,2.8165,-0.004488901
191112,2.8103,-0.002201314
191113,2.8179,0.002704338
191114,2.8212,0.001171085
191115,2.8145,-0.002374876
191118,2.7649,-0.017623024
191119,2.6905,-0.026908749
191120,2.6497,-0.015164468
191121,2.6376,-0.004566555
191122,2.6498,0.004625417
191125,2.6741,0.009170503
191126,2.6881,0.005235406
191127,2.6859,-0.000818422
191128,2.6901,0.001563722
191129,2.6805,-0.003568641
191130,2.7641,0.031188211
191202,2.6979,-0.023949929
191203,2.6928,-0.001890359
191204,2.6753,-0.006498812
191205,2.6746,-0.000261653
191206,2.6853,0.004000598
191209,2.7051,0.007373478
191210,2.697,-0.002994344
191211,2.6814,-0.005784205
191212,2.665,-0.006116208
191213,2.6761,0.004165103
191216,2.6867,0.003960988
191217,2.7142,0.010235605
191218,2.6968,-0.006410729
191219,2.6878,-0.003337289
191220,2.6654,-0.008333953
191223,2.6385,-0.010092294
191224,2.6154,-0.008754974
191225,2.6303,0.005697025
191226,2.6261,-0.001596776
191227,2.6342,0.003084422
191230,2.6403,0.002315694
191231,2.6731,0.012422831
200102,2.6484,-0.009240208
200103,2.6521,0.00139707
200106,2.6158,-0.013687267
200107,2.6285,0.004855111
200108,2.6362,0.002929427
200109,2.638,0.000682801
200110,2.6219,-0.006103108
200113,2.6338,0.004538693
200114,2.6459,0.004594123
200115,2.6469,0.000377943
200116,2.6405,-0.002417923
200117,2.6299,-0.004014391
200120,2.6076,-0.00847941
200121,2.5993,-0.003183004
200122,2.6061,0.002616089
200123,2.5867,-0.007444074
200131,2.6317,0.017396683
200203,2.448,-0.069802789
