time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,y_test_model1,y_test_model2,y_test_model3,y_test_model4,y_test_model6,y_test_model7,y_test_model9,y_test_model11,y_real
170616,-1.149724647,-0.14676263,0.492034611,-0.044061104,-0.96825882,-0.274684276,-0.245564847,0.603852788,-1.138827469,-0.146893736,-0.157943951,0.539846847,-1.172734877,0.581113919,0.840649638,0.343606259,0,0,0,0,0,0,0,0,0
170623,-0.96825882,-0.274684276,-0.245564847,0.603852788,-1.138827469,-0.146893736,-0.157943951,0.539846847,-1.172734877,0.581113919,0.840649638,0.343606259,-1.104040182,-0.371197446,0.221574368,0.221777655,0,0,0,0,0,0,0,0,0
170630,-1.138827469,-0.146893736,-0.157943951,0.539846847,-1.172734877,0.581113919,0.840649638,0.343606259,-1.104040182,-0.371197446,0.221574368,0.221777655,-1.053361973,-0.395052069,0.189011959,0.20931456,1,0,0,0,0,0,0,1,0
170707,-1.172734877,0.581113919,0.840649638,0.343606259,-1.104040182,-0.371197446,0.221574368,0.221777655,-1.053361973,-0.395052069,0.189011959,0.20931456,-1.174280236,0.147491658,0.749365614,0.101042557,0,0,0,0,0,0,0,0,0
170714,-1.104040182,-0.371197446,0.221574368,0.221777655,-1.053361973,-0.395052069,0.189011959,0.20931456,-1.174280236,0.147491658,0.749365614,0.101042557,-1.183489041,-0.085739171,0.468269523,0.224651193,0,0,0,0,0,0,0,0,0
170721,-1.053361973,-0.395052069,0.189011959,0.20931456,-1.174280236,0.147491658,0.749365614,0.101042557,-1.183489041,-0.085739171,0.468269523,0.224651193,-1.108088845,-0.451219515,-0.066523575,0.588466178,0,0,0,0,0,0,0,0,0
170728,-1.174280236,0.147491658,0.749365614,0.101042557,-1.183489041,-0.085739171,0.468269523,0.224651193,-1.108088845,-0.451219515,-0.066523575,0.588466178,-1.114021254,-0.79815695,0.198706929,0.112418274,0,0,0,0,0,0,0,1,0
170804,-1.183489041,-0.085739171,0.468269523,0.224651193,-1.108088845,-0.451219515,-0.066523575,0.588466178,-1.114021254,-0.79815695,0.198706929,0.112418274,-1.187758739,0.154239328,0.666358531,0.265268721,0,0,0,0,0,0,0,0,0
170811,-1.108088845,-0.451219515,-0.066523575,0.588466178,-1.114021254,-0.79815695,0.198706929,0.112418274,-1.187758739,0.154239328,0.666358531,0.265268721,-1.154002778,-0.256523116,0.230100812,0.386720108,0,1,0,0,0,0,0,0,1
170818,-1.114021254,-0.79815695,0.198706929,0.112418274,-1.187758739,0.154239328,0.666358531,0.265268721,-1.154002778,-0.256523116,0.230100812,0.386720108,-1.145230326,-0.298631084,-0.054973072,0.67691665,0,0,0,0,0,0,0,0,0
170825,-1.187758739,0.154239328,0.666358531,0.265268721,-1.154002778,-0.256523116,0.230100812,0.386720108,-1.145230326,-0.298631084,-0.054973072,0.67691665,-1.15758614,-0.081653044,0.610708568,-0.073006483,0,0,0,0,0,0,0,0,0
170901,-1.154002778,-0.256523116,0.230100812,0.386720108,-1.145230326,-0.298631084,-0.054973072,0.67691665,-1.15758614,-0.081653044,0.610708568,-0.073006483,-1.128579959,0.080218128,0.202170395,0.411508374,0,0,0,0,0,0,0,0,0
170908,-1.145230326,-0.298631084,-0.054973072,0.67691665,-1.15758614,-0.081653044,0.610708568,-0.073006483,-1.128579959,0.080218128,0.202170395,0.411508374,-1.218963727,0.600692179,0.653890842,0.393435631,0,0,0,0,0,0,0,0,0
170915,-1.15758614,-0.081653044,0.610708568,-0.073006483,-1.128579959,0.080218128,0.202170395,0.411508374,-1.218963727,0.600692179,0.653890842,0.393435631,-1.184465992,-0.000763261,0.24158553,0.471885473,0,0,0,0,0,0,0,0,0
170922,-1.128579959,0.080218128,0.202170395,0.411508374,-1.218963727,0.600692179,0.653890842,0.393435631,-1.184465992,-0.000763261,0.24158553,0.471885473,-1.375615106,0.15307495,0.604329036,0.921469026,0,0,0,0,0,0,0,0,0
170929,-1.218963727,0.600692179,0.653890842,0.393435631,-1.184465992,-0.000763261,0.24158553,0.471885473,-1.375615106,0.15307495,0.604329036,0.921469026,-1.094898804,-0.449395731,-0.093665539,0.497642387,1,0,0,0,0,0,0,1,0
171013,-1.184465992,-0.000763261,0.24158553,0.471885473,-1.375615106,0.15307495,0.604329036,0.921469026,-1.094898804,-0.449395731,-0.093665539,0.497642387,-1.219340117,0.182477965,0.293527159,0.587976133,0,0,0,0,0,0,0,0,0
171020,-1.375615106,0.15307495,0.604329036,0.921469026,-1.094898804,-0.449395731,-0.093665539,0.497642387,-1.219340117,0.182477965,0.293527159,0.587976133,-1.278733171,0.498064028,0.53692282,0.645871195,0,0,0,0,0,0,0,0,0
171027,-1.094898804,-0.449395731,-0.093665539,0.497642387,-1.219340117,0.182477965,0.293527159,0.587976133,-1.278733171,0.498064028,0.53692282,0.645871195,-1.285815276,-0.651227795,-0.075019092,0.997493175,1,0,0,0,0,0,0,1,0
171103,-1.219340117,0.182477965,0.293527159,0.587976133,-1.278733171,0.498064028,0.53692282,0.645871195,-1.285815276,-0.651227795,-0.075019092,0.997493175,-1.189097586,-0.065205715,0.362432784,0.418513751,1,0,0,0,0,0,0,1,0
171110,-1.278733171,0.498064028,0.53692282,0.645871195,-1.285815276,-0.651227795,-0.075019092,0.997493175,-1.189097586,-0.065205715,0.362432784,0.418513751,-1.060821563,-0.972548057,-0.387970886,0.491283162,1,0,0,0,0,0,0,1,0
171117,-1.285815276,-0.651227795,-0.075019092,0.997493175,-1.189097586,-0.065205715,0.362432784,0.418513751,-1.060821563,-0.972548057,-0.387970886,0.491283162,-1.311869895,0.460274627,1.045768594,0.209831204,0,0,0,0,0,0,0,0,0
171124,-1.189097586,-0.065205715,0.362432784,0.418513751,-1.060821563,-0.972548057,-0.387970886,0.491283162,-1.311869895,0.460274627,1.045768594,0.209831204,-1.047698235,-0.838278884,-0.765597379,0.732978751,1,0,0,0,0,0,0,1,0
171201,-1.060821563,-0.972548057,-0.387970886,0.491283162,-1.311869895,0.460274627,1.045768594,0.209831204,-1.047698235,-0.838278884,-0.765597379,0.732978751,-1.030322556,-0.590672356,-0.218286865,0.405735868,1,1,0,0,0,0,1,1,1
171208,-1.311869895,0.460274627,1.045768594,0.209831204,-1.047698235,-0.838278884,-0.765597379,0.732978751,-1.030322556,-0.590672356,-0.218286865,0.405735868,-1.118823783,-0.148037282,0.216548833,0.319692128,0,1,0,0,0,0,1,0,1
171215,-1.047698235,-0.838278884,-0.765597379,0.732978751,-1.030322556,-0.590672356,-0.218286865,0.405735868,-1.118823783,-0.148037282,0.216548833,0.319692128,-1.092827257,-0.396372155,-0.152163527,0.621933566,0,0,0,0,0,0,0,0,0
171222,-1.030322556,-0.590672356,-0.218286865,0.405735868,-1.118823783,-0.148037282,0.216548833,0.319692128,-1.092827257,-0.396372155,-0.152163527,0.621933566,-1.389916558,0.001417216,0.517797806,0.880194192,0,0,0,0,0,0,0,0,0
171229,-1.118823783,-0.148037282,0.216548833,0.319692128,-1.092827257,-0.396372155,-0.152163527,0.621933566,-1.389916558,0.001417216,0.517797806,0.880194192,-1.204790069,0.121222475,0.132046447,0.703790244,0,0,0,0,0,0,0,0,0
180105,-1.092827257,-0.396372155,-0.152163527,0.621933566,-1.389916558,0.001417216,0.517797806,0.880194192,-1.204790069,0.121222475,0.132046447,0.703790244,-1.255664546,0.4613972,0.176839651,0.907187042,0,0,0,0,0,0,0,0,0
180112,-1.389916558,0.001417216,0.517797806,0.880194192,-1.204790069,0.121222475,0.132046447,0.703790244,-1.255664546,0.4613972,0.176839651,0.907187042,-1.328415928,0.265008157,0.594034594,0.372746765,0,0,0,0,0,0,0,0,0
180119,-1.204790069,0.121222475,0.132046447,0.703790244,-1.255664546,0.4613972,0.176839651,0.907187042,-1.328415928,0.265008157,0.594034594,0.372746765,-1.27146044,0.060915072,0.124473141,0.786383833,1,0,0,0,0,0,0,1,0
180126,-1.255664546,0.4613972,0.176839651,0.907187042,-1.328415928,0.265008157,0.594034594,0.372746765,-1.27146044,0.060915072,0.124473141,0.786383833,-1.354137197,-0.276709206,-0.03746445,1.205674535,1,0,0,0,0,0,0,1,0
180202,-1.328415928,0.265008157,0.594034594,0.372746765,-1.27146044,0.060915072,0.124473141,0.786383833,-1.354137197,-0.276709206,-0.03746445,1.205674535,-1.290653765,0.446512266,0.475885226,0.701999242,1,0,0,0,0,0,0,1,0
180209,-1.27146044,0.060915072,0.124473141,0.786383833,-1.354137197,-0.276709206,-0.03746445,1.205674535,-1.290653765,0.446512266,0.475885226,0.701999242,-1.069017861,-1.017928042,-1.079499918,1.186677196,1,1,0,0,0,0,0,1,1
180214,-1.354137197,-0.276709206,-0.03746445,1.205674535,-1.290653765,0.446512266,0.475885226,0.701999242,-1.069017861,-1.017928042,-1.079499918,1.186677196,-1.011912222,-1.557292872,-1.273828725,1.097935924,1,0,0,0,0,0,0,1,0
180223,-1.290653765,0.446512266,0.475885226,0.701999242,-1.069017861,-1.017928042,-1.079499918,1.186677196,-1.011912222,-1.557292872,-1.273828725,1.097935924,-1.526468485,0.317564405,1.162446124,0.315176057,0,0,0,0,0,0,0,0,0
180302,-1.069017861,-1.017928042,-1.079499918,1.186677196,-1.011912222,-1.557292872,-1.273828725,1.097935924,-1.526468485,0.317564405,1.162446124,0.315176057,-1.317999598,-0.169674355,0.530891357,-0.075438243,0,0,0,0,0,0,0,0,0
180309,-1.011912222,-1.557292872,-1.273828725,1.097935924,-1.526468485,0.317564405,1.162446124,0.315176057,-1.317999598,-0.169674355,0.530891357,-0.075438243,-1.242413874,0.454964804,0.843231184,0.1702612,0,0,0,0,0,0,0,0,0
180316,-1.526468485,0.317564405,1.162446124,0.315176057,-1.317999598,-0.169674355,0.530891357,-0.075438243,-1.242413874,0.454964804,0.843231184,0.1702612,-1.262666367,0.428363954,0.712735275,0.396159529,0,0,0,0,0,0,0,0,0
180323,-1.317999598,-0.169674355,0.530891357,-0.075438243,-1.242413874,0.454964804,0.843231184,0.1702612,-1.262666367,0.428363954,0.712735275,0.396159529,-1.375747969,0.096647603,0.208002135,1.244838754,0,0,0,0,0,0,0,0,0
180330,-1.242413874,0.454964804,0.843231184,0.1702612,-1.262666367,0.428363954,0.712735275,0.396159529,-1.375747969,0.096647603,0.208002135,1.244838754,-0.900682995,-2.148534427,-1.219926031,0.433811224,1,0,0,0,0,0,0,1,0
180404,-1.262666367,0.428363954,0.712735275,0.396159529,-1.375747969,0.096647603,0.208002135,1.244838754,-0.900682995,-2.148534427,-1.219926031,0.433811224,-1.305761633,1.025549405,1.602240645,-0.065425042,0,0,0,0,0,0,0,0,0
180413,-1.375747969,0.096647603,0.208002135,1.244838754,-0.900682995,-2.148534427,-1.219926031,0.433811224,-1.305761633,1.025549405,1.602240645,-0.065425042,-1.211526964,-0.493271236,-0.165270587,0.478289261,0,0,0,0,0,0,0,0,0
180420,-0.900682995,-2.148534427,-1.219926031,0.433811224,-1.305761633,1.025549405,1.602240645,-0.065425042,-1.211526964,-0.493271236,-0.165270587,0.478289261,-1.204368217,0.004611399,0.275606472,0.544392087,0,0,0,0,0,0,0,0,0
180427,-1.305761633,1.025549405,1.602240645,-0.065425042,-1.211526964,-0.493271236,-0.165270587,0.478289261,-1.204368217,0.004611399,0.275606472,0.544392087,-1.332130598,-0.091058551,-0.039989288,1.355891963,1,0,0,0,0,0,0,1,0
