time,normper,normcjl,normcje,normjc,normccl
170317,-0.006296551,-0.774995326,-0.579813688,-0.318425516,-0.748661545
170324,0.373100933,-0.754532117,-0.565596378,0.36292864,-0.736159587
170331,-0.550721202,-0.756563574,-0.567051787,0.329970813,-0.778456357
170407,0.75097936,-0.851013916,-0.635462609,0.313971953,-0.814867168
170414,-0.164540345,-0.769962103,-0.573905317,0.48125336,-0.856502337
170421,-1.058609922,-0.758896445,-0.570168389,0.0913223,-0.852487109
170428,-0.359922454,-0.747029766,-0.567561803,0.204612404,-0.850182917
170505,-0.491661329,-0.81032285,-0.61201691,0.199349967,-0.846623965
170512,-1.096062525,-0.702238627,-0.543501375,0.140511815,-0.910274443
170519,0.408091616,-0.766663051,-0.586304932,-0.169851798,-0.681817136
170526,-0.46101829,-0.650234166,-0.512623402,0.318881392,-0.663497662
170602,-0.288736318,-0.787208839,-0.604084118,0.356639753,-0.667741027
170609,0.937875704,-0.678170822,-0.528327794,0.537436509,-0.794038176
170616,-0.014782316,-0.726426173,-0.558488761,-0.095026052,-0.780213018
170623,-0.052549206,-0.694901436,-0.535830169,-0.116482625,-0.749117821
170630,0.716276773,-0.722689449,-0.552896529,0.085779466,-0.790867059
170707,0.333788795,-0.755052368,-0.573411762,0.062556647,-0.816121926
170714,-0.403267948,-0.721640689,-0.550621091,0.156077563,-0.879430197
170721,-0.225381181,-0.734985541,-0.564085554,-0.46440682,-0.898570968
170728,0.601483237,-0.721574625,-0.55131598,0.219622366,-0.845802669
170804,0.001482066,-0.74471754,-0.563469428,0.098804123,-0.848996599
170811,-0.338969949,-0.743008143,-0.561903886,0.323181218,-0.881757204
170818,0.544387661,-0.761617441,-0.574427667,-0.16707913,-0.703535866
170825,0.152052005,-0.746600353,-0.563053919,0.356475771,-0.685786736
170901,0.792570082,-0.756109386,-0.566696937,0.624678552,-0.721741271
170908,0.122168495,-0.769495529,-0.573690249,0.335795295,-0.799513486
170915,0.344396001,-0.769152824,-0.571316303,0.688028079,-1.272831215
170922,-0.393184555,-0.742000673,-0.551604074,0.100124739,-0.801612355
170929,0.224311957,-0.774322302,-0.578001172,0.535125743,-0.827688518
171013,0.566204456,-0.778191154,-0.577746199,0.750959515,-0.875871246
171020,-0.643462227,-0.782282969,-0.582587898,0.305234606,-1.272831215
171027,0.198095135,-0.754168767,-0.561760459,0.23034502,-0.866540405
171103,-0.901937566,-0.746682932,-0.559057983,-0.214949281,-0.859331247
171110,1.086114676,-0.771849045,-0.576411949,0.327861583,-0.925468428
171117,-1.201165528,-0.780470349,-0.582299191,0.118501961,-0.726942816
171124,-0.538699702,-0.722619256,-0.544912299,-0.04031248,-0.719140499
171201,0.069944376,-0.738685105,-0.559144109,0.130197239,-0.739193822
171208,-0.451642044,-0.725715989,-0.55220971,0.23364218,-0.821118146
171215,0.211635691,-0.791870453,-0.59692661,0.571400758,-1.272831215
171222,0.027122694,-0.768042129,-0.580988752,0.602395811,-0.831201842
171229,0.180311696,-0.780338221,-0.58976635,0.973720576,-0.842061207
180105,0.581264069,-0.836863912,-0.627220155,0.392486662,-0.863004267
180112,-0.034084811,-0.80540111,-0.603617605,0.621310041,-0.925810635
180119,-0.477256481,-0.80665219,-0.606843907,0.706351474,-1.272831215
180126,0.473568194,-0.78300554,-0.588143071,0.765795481,-0.903658443
180202,-1.691506525,-0.765226167,-0.579868769,0.36500157,-0.917437973
180209,-2.106392314,-0.740790883,-0.573452533,-0.038668907,-0.982411651
180214,1.079907497,-0.879371728,-0.665348746,0.287579655,-1.190404987
180223,0.45015377,-0.89586286,-0.675126658,-0.206144337,-0.747041766
180302,0.936592363,-0.760201202,-0.580510912,0.333882592,-0.767391668
180309,0.746919812,-0.762030339,-0.579705412,0.496111858,-0.850525123
180316,-0.099168529,-0.784809903,-0.592553144,0.94761994,-1.272831215
180323,-2.167756963,-0.734613934,-0.562347924,-0.923105064,-0.839391993
180330,1.911067178,-0.722544935,-0.556608288,0.42647845,-0.813863361
180404,-0.454994445,-0.841219983,-0.635331696,0.07663279,-0.806311996
180413,0.128061387,-0.757125114,-0.57764384,0.383311195,-0.868662088
180420,-0.431737164,-0.768694507,-0.587193265,0.938480774,-1.272831215
180427,-0.265217131,-0.754127477,-0.57998509,0.488498599,-0.841947138
180504,0.164466364,-0.847636413,-0.642556674,0.244268447,-0.836608711
180511,0.48750161,-0.801755224,-0.60880014,0.619198307,-0.880981535
180518,-0.086439883,-0.779809712,-0.594261989,0.348724817,-0.625763651
180525,-0.385641653,-0.775090292,-0.590646028,0.060215839,-0.64579416
180601,-1.032419291,-0.751369321,-0.580317263,0.334131694,-0.657748587
180608,0.066670547,-0.768050387,-0.592626572,0.464470892,-0.769490537
180615,-0.71328645,-0.768145353,-0.5945339,0.581617697,-1.272831215
180622,-1.787783286,-0.751439514,-0.596668771,-0.018958552,-0.707619534
180629,0.451175204,-0.696342449,-0.565354913,0.193322699,-0.689322874
180706,-1.22198708,-0.655601835,-0.542746701,-0.010285044,-0.687839977
180713,1.211593991,-0.69645806,-0.565608587,0.433396978,-0.819087719
180720,-0.252462294,-0.71965878,-0.57702806,0.222272361,-0.791528659
180727,0.385096242,-0.732966472,-0.582245473,0.35697773,-0.796433624
180803,-1.845690771,-0.69787017,-0.566924642,-0.046837952,-0.809186533
180810,0.592526041,-0.684752411,-0.564619027,0.376700603,-0.86843395
180817,-1.430333551,-0.707053014,-0.576173751,-0.215557641,-0.495040627
180824,0.328314953,-0.667472643,-0.55862539,0.061581519,-0.522736569
180831,-0.156290296,-0.712965709,-0.581270597,0.205096839,-0.540645396
180907,-0.15686649,-0.679966927,-0.565292678,0.263251524,-0.564348925
180914,-0.559102204,-0.679595319,-0.568693152,0.402172851,-0.715330596
180921,0.650250192,-0.722858737,-0.592430028,0.382955693,-1.272831215
180928,0.155063928,-0.762170724,-0.61079722,0.844688225,-0.718456085
181012,-2.932078154,-0.662497227,-0.566806705,0.462816054,-0.755095034
181019,-1.0846696,-0.694542215,-0.59442315,0.140484277,-1.272831215
181026,0.688069463,-0.61039367,-0.550993105,0.170863459,-0.788038149
181102,1.495579005,-0.604538781,-0.546475966,0.574094565,-0.744532249
181109,-0.379198758,-0.643206647,-0.559960626,0.600773518,-0.819658064
181116,1.622708329,-0.645902869,-0.555746173,0.457042895,-0.276438878
181123,-1.849069363,-0.579488279,-0.522450435,0.015570245,-0.337739535
181130,-0.183502362,-0.587329206,-0.534632224,-0.008046881,-0.371389878
181207,0.356548454,-0.434098752,-0.451834299,0.286016196,-0.381975477
181214,-0.381320199,-0.444181713,-0.461278642,0.504535012,-0.497253564
181221,-0.796782182,-0.410955837,-0.451834299,0.283704178,-0.393542069
181228,-0.371472522,-0.355862901,-0.430584527,0.002152533,-0.359458265
190104,0.476527735,-0.611913133,-0.555953785,0.559912022,-0.342781383
190111,0.783115264,-0.380901016,-0.435306699,0.562451861,-0.454158313
190118,0.122142304,-0.517153118,-0.501024763,0.375493898,-1.272831215
190125,-0.158778406,-0.463476421,-0.473084071,0.492778397,-0.608630494
190201,-0.099954248,-0.423437734,-0.458917556,0.835413868,-0.680767702
190215,1.235113177,-0.494823612,-0.482528414,0.596761599,0.075007577
190222,1.718932708,-0.139083367,-0.281836125,0.942714257,0.113540071
190301,1.684282503,0.08918711,-0.114199037,0.773383705,-0.007692416
190308,1.24142512,0.306115287,0.051076966,1.233097133,-0.053342813
190315,0.11947086,0.02616241,-0.104754694,0.500702095,-1.272831215
190322,1.262403815,0.281688261,0.062882395,0.461502948,0.082809894
190329,-0.291276809,0.287200445,0.058160223,0.432513229,0.069783219
190404,1.652513267,-0.053708516,-0.118921208,0.736675578,0.043478918
190412,-0.733165139,0.164569837,0.027466108,0.433621044,-0.132187275
190419,0.389784365,-0.127831905,-0.17322618,0.235688822,-1.272831215
190426,-1.843778855,0.442805061,0.173853425,0.1874857,0.11383665
190430,-0.632697878,-0.284794954,-0.310169154,0.093235003,0.137973642
190510,-1.167746282,0.933876646,0.346212685,0.018592015,0.213373222
190517,-0.98257852,0.365762485,0.034549366,-0.875874566,0.708683446
190524,-0.271162404,0.710883002,0.20454754,-0.26724068,0.698097847
190531,0.172794985,0.666418052,0.185658854,-0.693382915,0.604880695
190606,-1.102112561,0.328560405,-0.019755607,-0.240040991,0.679116772
190614,0.770046139,0.702996656,0.190381025,0.268899506,0.297099836
190621,1.141586433,0.424654079,0.053438052,0.018816082,0.485313615
190628,-0.306179278,0.437115331,0.067604566,0.216912286,0.39574667
190705,0.580006919,0.296878767,0.001494165,0.277246302,0.321259641
190712,-0.91369716,0.314241114,-0.015033435,0.366021762,0.204270519
190719,0.223473856,0.073356613,-0.14017098,0.632368169,-1.272831215
190726,-0.128423464,0.226322813,-0.066977322,0.111386905,0.241320116
190802,-0.410784659,0.133928701,-0.114199037,0.213908041,0.223114711
190809,-1.128355573,0.25695982,-0.074060579,0.226015151,0.127524925
190816,0.543444798,0.097267517,-0.15669858,-0.125855872,0.92924718
190823,0.878894402,0.363974638,0.010938508,0.021353418,0.964654185
190830,0.045796614,0.444667229,0.062882395,0.254287606,0.967026819
190906,1.69083016,0.61021855,0.190381025,0.557919206,0.78759635
190912,0.545985289,0.198031065,-0.026838864,0.568262573,0.353358646
190920,-0.510466202,0.228317109,-0.015033435,-0.116120864,0.438819108
190927,-0.885987472,0.490412162,0.121909538,0.260097066,0.44406628
190930,-0.478173153,-0.711330634,-0.577909696,0.011331755,0.466834444
191011,0.622042882,0.09342344,-0.118921208,0.59949421,0.374301706
191018,-0.372677291,0.042191097,-0.137809894,0.778613596,-1.272831215
191025,-0.015279938,0.310487874,-0.005589092,0.34348366,0.384910119
191101,-0.094794694,0.244750436,-0.036283207,0.421329924,0.320027696
191108,0.133718563,0.33903149,0.022743937,0.379467013,0.160696178
191115,-0.85686349,0.155692537,-0.097671436,-0.00285955,1.31345424
191122,0.125232799,0.51079692,0.105381938,-0.040989687,1.50137144
191129,0.146159113,0.474015996,0.079409995,0.423932352,1.207986083
191206,0.766012782,0.384582361,0.036910451,0.66215902,0.913231899
191213,0.490644485,0.295900199,0.003855251,0.840218157,0.506576068
191220,0.601404665,0.208787049,-0.022116692,0.847861459,0.522271957
191227,-0.243636051,0.404562479,0.086493252,0.40326189,0.526013418
200103,0.986537897,0.09879111,-0.07878275,0.56543733,0.346331998
200110,0.393293909,0.518369463,0.20454754,0.445383918,0.224392283
200117,0.169416394,0.019828559,-0.097671436,0.660470383,-1.272831215
200123,-0.81535134,0.252913423,0.043993709,0.2061308,0.315670262
200207,-0.200709607,0.617976897,0.197464282,0.265016518,0.24152544
200214,0.629926262,0.542932746,0.20454754,0.408148796,0.167015598
200221,1.856223996,0.672223393,0.334407256,0.485387953,1.500093867
200228,-1.691401763,2.044307123,1.238703099,-0.256380332,1.621851072
200306,1.257925217,1.642322339,0.964817152,-0.438769339,1.267917913
200313,-1.174634418,1.79879404,1.012038867,0.470761032,1.115681483
200320,-1.232070473,1.440060286,0.705097719,-0.05849067,0.974190349
200327,-0.477649341,1.542297878,0.733430748,-0.449746101,1.064076687
200403,-0.14526404,1.339829377,0.59884886,0.029653898,0.925825112
200410,0.726569691,0.535463427,0.176214511,0.439346636,0.82875243
200417,0.334207845,0.654898207,0.249408169,-0.235913908,0.668006456
200424,-0.186933335,0.750558339,0.310796399,-0.11940801,0.678797379
200430,0.620419063,0.472244665,0.136076053,0.324818532,0.651580526
200508,0.719655365,0.016835051,-0.114199037,0.249249236,0.505366937
200515,-0.368853459,0.521751095,0.209269711,-0.695049019,1.515424735
200522,-0.76930821,0.905378449,0.431211772,-0.157954985,1.523181424
200529,0.179080737,0.804936962,0.350934856,-0.497353381,1.350526651
200605,1.095045682,0.690700564,0.322601827,0.042374375,1.134867882
200612,0.222688138,0.832241885,0.421767429,0.43212518,0.740052409
200619,0.584983139,0.58621268,0.282463369,-0.319701069,0.84072967
200624,0.087544481,-0.071252538,-0.135448808,0.036538628,0.681626289
200703,1.38086404,0.862247159,0.502044344,0.38927963,0.631299066
200710,2.905865923,1.220708399,0.903428922,0.758208509,0.597648723
200717,-1.548741395,1.254268722,0.964817152,0.052787842,0.853573835
200724,-0.469111195,1.509381676,1.106482297,-0.402754692,0.997939506
200731,1.237758431,1.336117427,0.957733894,-0.198547351,1.09309583
200807,0.491037345,1.326971744,1.016761038,-0.236258145,0.897558824
200814,0.064077675,1.216761098,0.910512179,0.684028677,0.706858342
200821,-0.231771695,0.73243626,0.570515831,-0.925509712,1.772330839
200828,0.588964115,1.33303721,0.995511266,0.207776876,1.807281568
200904,-0.250209899,1.17660267,0.898706751,0.10054283,1.529820237
200911,-1.146610443,1.418023938,1.019122124,0.198295977,1.344115976
200918,0.622959554,0.823331553,0.575238003,0.199520208,1.026525187
200925,-0.836330035,0.915742181,0.631904061,0.256836208,1.096449457
200930,-0.154928383,0.170763302,0.084132166,0.22912079,0.802927218
201009,0.747076956,-0.64876425,-0.491330504,0.280861411,0.682036937
201016,0.344396001,0.20466633,0.147881482,0.484760816,-1.272831215
201023,-0.758543861,0.69821943,0.473711315,0.041879926,0.934403097
201030,-0.465863557,0.732238069,0.476072401,0.056679592,0.932669249
201106,0.875751527,0.809016391,0.539821716,0.437625454,0.677679503
201113,0.10163504,0.619005012,0.424128515,0.413562698,0.491952428
201120,0.450860917,0.305801485,0.199825368,0.050356906,1.832513621
201127,-0.158176021,0.701737319,0.492600001,0.503165576,1.776300439
201204,0.580111682,0.801509911,0.568154745,0.519155674,1.317195702
201211,-1.020633507,0.647255471,0.447739372,0.435381032,1.161012487
201218,0.259878834,0.328184668,0.202186454,0.031172294,0.774181841
201225,0.074370593,0.625367766,0.419406343,0.391930877,0.839041449
201231,0.343374566,0.224283098,0.128992796,0.359174585,0.803315052
210108,0.843406097,0.615833958,0.450100458,0.510870215,0.614074653
210115,-0.55145454,0.238445488,0.171492339,0.256702269,-1.272831215
210122,0.820855964,0.345621336,0.251769255,-0.292875658,0.39008885
210129,-0.995673835,0.408662553,0.294268798,0.191159642,0.508515241
210205,-0.219697814,0.274318038,0.178575596,0.489909342,0.152483213
210210,1.032476264,-0.294547597,-0.232253324,0.18328977,-0.467413125
210219,0.510968415,-0.458785903,-0.340863269,-0.321377187,1.891761037
210226,-1.167693901,0.810321148,0.603571032,0.048260193,1.874057535
210305,0.254221658,0.607018593,0.428850686,0.542164441,1.58706004
210312,-0.751524771,0.78920969,0.52093303,0.508569463,0.971338625
210319,-0.01038229,0.185854712,0.093576509,0.475746828,-1.272831215
210326,0.375091421,0.418419325,0.256491426,0.355679646,0.913847871
210402,0.240759673,0.168558429,0.088854338,0.220340882,0.696979971
210409,0.112739868,-0.045900621,-0.057532979,0.49280844,0.553024947
210416,0.00784639,0.209699553,0.119548453,0.420815447,0.617679232
210423,0.534880461,0.112094673,0.067604566,0.351151997,0.432705012
210430,0.176933105,0.151836073,0.103020852,0.496961809,0.476233726
210507,-0.145709281,-0.477911323,-0.359751955,0.420160772,0.414682117
210514,0.43564416,0.209707811,0.145520396,0.841247111,0.115616126
210521,-0.135599697,-0.054910048,-0.038644293,0.189571147,1.58591935
210528,0.61117377,0.180082403,0.14315931,0.3935394,1.282085277
210604,0.1285852,0.272843993,0.22107514,0.297305901,1.154168349
210611,0.318441085,0.149730295,0.131353881,0.599510483,0.531830935
210618,-0.301753062,-0.219474543,-0.15669858,0.483743128,-1.272831215
210625,0.732698299,0.065713877,0.069965652,0.428035651,0.921536119
210702,-0.633483597,0.071671991,0.079409995,0.36004832,0.928904974
210709,0.551956753,0.160630794,0.14315931,0.343852932,0.663717463
210716,0.398270129,0.152703158,0.162047996,0.116227496,0.748470698
210723,0.23774775,0.089232529,0.112465195,0.113389736,0.720751941
210730,-0.704512588,0.565183801,0.459544801,0.489344795,0.825307547
210806,0.623457176,0.134448952,0.138437139,0.089380806,0.532560977
210813,0.752550797,0.094146011,0.12663171,0.487196759,0.265160528
210820,-0.762943887,0.131133384,0.147881482,-0.130391031,2.310759129
210827,0.97545926,0.17848036,0.199825368,-0.319207872,2.050408142
210903,0.377789056,0.494958166,0.476072401,-0.17365342,1.87396628
210910,1.429761949,0.372476201,0.417045257,0.424767282,1.144449674
210917,-0.943947339,0.485630807,0.528016288,-0.334926335,1.050662178
210924,0.213992848,-0.192933481,-0.066977322,0.468461532,0.96408384
210930,-0.967073666,0.166886193,0.20454754,0.49320525,0.675763145
211008,-0.070908838,-0.73624075,-0.534135514,0.47407822,0.642135616
211015,-0.225590706,0.071985793,0.112465195,0.60896885,-1.272831215
211022,-0.02159188,-0.04090043,0.025105023,0.324717139,0.505914468
211029,0.03898705,-0.032766346,0.027466108,0.509583396,0.496423931
211105,-0.031308604,-0.005601808,0.051076966,0.744809574,0.428347578
211112,0.565680644,-0.087772573,-0.012672349,0.703438607,0.051030283
211119,0.006432096,-0.148670851,-0.057532979,0.600002429,2.159184299
211126,0.113211299,-0.11030027,-0.015033435,0.30475643,1.946514136
211203,0.339210256,0.094195559,0.154964739,0.424236532,1.531919106
211210,0.147232929,0.136410216,0.192742111,0.7906456,0.848965449
