per,normcjl,normcje,jc,normccl,normper,normjc,time
-0.009400143,-0.815737346,-0.59,-342.2797,-0.964141977,-0.456184792,-3.318475435,151126
-0.065251107,-0.750495131,-0.54,-283.5243,-0.975246193,-3.235910258,-2.649857968,151127
0.004636003,-0.756366153,-0.55,-290.1988,-0.954029642,0.242399971,-2.725811622,151130
0.001737279,-0.773298802,-0.56,-306.3452,-0.953618375,0.098129285,-2.909552436,151201
0.022499382,-0.735739815,-0.53,-125.6596,-0.94328831,1.131467696,-0.853408694,151202
0.02220174,-0.781288835,-0.57,-192.7077,-0.941812586,1.116653931,-1.616394406,151203
-0.006315099,-0.802498386,-0.58,-195.8749,-0.953545798,-0.302640883,-1.652436119,151204
0.007085048,-0.800068328,-0.58,-262.8276,-0.954948945,0.364289949,-2.41433621,151207
-0.016071923,-0.799096304,-0.58,-174.142,-0.954707023,-0.788242029,-1.405122739,151208
-0.001552967,-0.807125218,-0.59,-162.2742,-0.957392356,-0.065627613,-1.27007101,151209
-0.003737796,-0.785001964,-0.57,-180.2098,-0.9705771,-0.174367452,-1.474172343,151210
0.003735783,-0.804442433,-0.59,-63.3017,-0.988237399,0.197595651,-0.143795942,151211
0.02786311,-0.792350462,-0.58,-19.0301,-1.030331809,1.398422646,0.360000561,151214
0.007064196,-0.838366052,-0.61,-52.1813,-1.07530509,0.363252136,-0.017249383,151215
0.005071671,-0.853879546,-0.63,-36.8028,-1.11993968,0.264083347,0.157752978,151216
0.024825829,-0.872289671,-0.64,-22.646,-1.186419818,1.247255921,0.318852787,151217
-0.025508841,-0.817914678,-0.6,-211.77,-1.060886545,-1.257921322,-1.833317221,151218
0.017297297,-0.817798036,-0.59,-203.564,-1.032871989,0.872557785,-1.739935592,151221
0.008026144,-0.83080371,-0.6,-206.6081,-1.032896181,0.411128684,-1.774576467,151222
-0.014368581,-0.816806572,-0.59,-256.8825,-1.029194776,-0.703465997,-2.346682893,151223
-0.002415908,-0.817817476,-0.59,-219.6367,-1.015961648,-0.108576542,-1.922837725,151224
0.008320388,-0.840076813,-0.61,-196.3244,-1.013615006,0.425773329,-1.657551284,151225
-0.03578371,-0.805220052,-0.58,-298.3609,-1.011510285,-1.769305781,-2.818693682,151228
0.006308808,-0.800865387,-0.58,-256.1881,-0.991309807,0.325656164,-2.338780846,151229
0.014724286,-0.822055498,-0.6,-229.6472,-0.97797991,0.744497968,-2.03675398,151230
-0.022941897,-0.805336695,-0.58,-268.689,-0.98107651,-1.130163462,-2.481037048,151231
-0.075248503,-0.855182058,-0.63,-102.2044,-0.997261085,-3.733484771,-0.586496097,160104
-0.044932079,-0.772579504,-0.57,-190.7414,-0.964311323,-2.224623871,-1.594018548,160105
0.020691477,-0.785040845,-0.58,-251.2068,-0.979600787,1.04148752,-2.282095261,160106
-0.075251572,-0.928297662,-0.69,-102.2428,-1.000018995,-3.733637517,-0.586933076,160107
-0.033188537,-0.763870174,-0.57,-170.6316,-0.979092751,-1.640142953,-1.365175522,160108
-0.086694499,-0.752555821,-0.57,-188.2558,-0.99764816,-4.303156703,-1.565733223,160111
0.001152301,-0.756891046,-0.58,-61.8632,-1.037831388,0.069014689,-0.127426276,160112
