time,val,cmax,avg,std
2016-02-22,"3,118.87",1,0.991770849,0.010881203
2016-02-23,"3,089.36",1,0.991770849,0.010881203
2016-02-24,"3,109.55",0.984806113,0.991011154,0.01080657
2016-02-25,"2,918.75",0.995068539,0.990879218,0.010736395
2016-02-26,"2,948.03",1,0.990879218,0.010736395
2016-02-29,"2,877.47",0.942812621,0.988518498,0.01519755
2016-03-01,"2,930.69",0.939555031,0.985540205,0.018490326
2016-03-02,"3,051.33",0.91499806,0.981290108,0.023953675
2016-03-03,"3,058.42",0.944601731,0.978520194,0.024862063
2016-03-04,"3,093.89",0.930160603,0.97602743,0.027102589
2016-03-07,"3,104.84",0.949488116,0.974363888,0.027682534
2016-03-08,"3,107.67",0.945419335,0.971634855,0.027712581
2016-03-09,"3,071.91",0.957000452,0.970484116,0.027823888
2016-03-10,"3,013.15",0.950276863,0.967997959,0.02726356
2016-03-11,"3,018.28",0.944800521,0.96571392,0.027194249
2016-03-14,"3,065.69",0.973762933,0.964517172,0.026221912
2016-03-15,"3,074.78",0.982189062,0.964669866,0.026320222
2016-03-16,"3,090.03",0.979104612,0.963649297,0.025272833
2016-03-17,"3,124.20",0.97675885,0.964106783,0.025430607
2016-03-18,"3,171.96",0.983262715,0.964703308,0.025746973
2016-03-21,"3,249.44",0.950736127,0.962240114,0.024519707
2016-03-22,"3,225.79",0.956949505,0.960087589,0.022864151
2016-03-23,"3,236.09",0.898231695,0.955758869,0.025928047
2016-03-24,"3,181.85",0.907242479,0.951367566,0.026353795
2016-03-25,"3,197.82",0.885527968,0.945643964,0.027635289
2016-03-28,"3,169.73",0.901906175,0.943598642,0.029318384
2016-03-29,"3,135.41",0.939032572,0.943572519,0.029322409
2016-03-30,"3,216.28",0.941214486,0.94488334,0.028553703
2016-03-31,"3,218.09",0.952130213,0.945259764,0.028599383
2016-04-01,"3,221.89",0.955500025,0.946526735,0.028456193
2016-04-05,"3,264.49",0.951961868,0.946650423,0.028475112
2016-04-06,"3,257.53",0.941007631,0.946429838,0.028502226
2016-04-07,"3,209.29",0.923007882,0.944730209,0.028850099
2016-04-08,"3,185.73",0.924579337,0.943445333,0.029160635
2016-04-11,"3,230.10",0.939102279,0.943160421,0.029174531
2016-04-12,"3,218.45",0.941886788,0.941566613,0.028271444
2016-04-13,"3,261.38",0.946558268,0.939785074,0.026653203
2016-04-14,"3,275.83",0.953712494,0.938515468,0.025249472
2016-04-15,"3,272.21",0.968292005,0.938092126,0.024638099
2016-04-18,"3,228.45",0.991944026,0.938526191,0.025535897
2016-04-19,"3,238.30",0.984724482,0.940225609,0.027450432
2016-04-20,"3,181.03",0.987868723,0.94177157,0.029253318
2016-04-21,"3,160.60",0.971311088,0.945425539,0.028068721
2016-04-22,"3,174.90",0.976186188,0.948872725,0.02735711
2016-04-25,"3,162.03",0.967611262,0.95297689,0.02319427
2016-04-26,"3,179.16",0.957134528,0.955738307,0.019838916
2016-04-27,"3,165.92",0.981821401,0.957877749,0.020245559
2016-04-28,"3,160.58",0.982373933,0.959935721,0.020552199
2016-04-29,"3,156.75",0.983533944,0.961505908,0.021116351
2016-05-03,"3,213.54",0.996538282,0.96355782,0.022453572
2016-05-04,"3,209.46",0.99441363,0.965680409,0.023290615
2016-05-05,"3,213.92",0.979687591,0.967614407,0.022733294
2016-05-06,"3,130.35",0.97249552,0.970088788,0.020171478
2016-05-09,"3,065.62",0.986040179,0.973161831,0.017358976
2016-05-10,"3,069.11",0.982483829,0.975330908,0.015488698
2016-05-11,"3,082.81",0.995588904,0.978016014,0.013965704
2016-05-12,"3,090.14",1,0.9806881,0.012683769
2016-05-13,"3,074.94",1,0.983002476,0.011686298
2016-05-16,"3,095.31",0.996958281,0.984435789,0.011544195
2016-05-17,"3,086.02",1,0.984838588,0.011953256
2016-05-18,"3,068.04",0.989766391,0.985090684,0.012003783
2016-05-19,"3,062.50",0.983409668,0.984867731,0.011990873
2016-05-20,"3,078.22",0.987859063,0.98569513,0.011569728
2016-05-23,"3,087.22",0.983854607,0.986078551,0.011363239
2016-05-24,"3,063.56",0.989184547,0.987157215,0.010509837
2016-05-25,"3,059.23",0.985064967,0.988553737,0.007822663
2016-05-26,"3,064.21",0.983403445,0.988632839,0.007758741
2016-05-27,"3,062.50",0.982211754,0.98862473,0.007765708
2016-05-30,"3,066.71",0.999881764,0.989442121,0.008056578
2016-05-31,"3,169.56",0.998612287,0.989545821,0.008165337
2016-06-01,"3,160.55",1,0.98982514,0.008431818
2016-06-02,"3,167.10",0.987629198,0.99022222,0.008110145
2016-06-03,"3,189.33",0.961211289,0.989658009,0.009653868
2016-06-06,"3,178.79",0.962305563,0.988471278,0.01141939
2016-06-07,"3,177.05",0.966601136,0.987677143,0.012370354
2016-06-08,"3,163.99",0.968899424,0.986342669,0.012900179
2016-06-13,"3,066.34",0.964133533,0.984549346,0.01338554
2016-06-14,"3,075.98",0.970520454,0.983075369,0.013216648
2016-06-15,"3,116.37",0.967607617,0.981607835,0.013223501
2016-06-16,"3,094.67",0.961970069,0.979706339,0.013173768
2016-06-17,"3,110.36",0.960233027,0.978229671,0.013633954
2016-06-20,"3,112.67",0.965161962,0.977317285,0.013877458
2016-06-21,"3,106.32",0.967983871,0.976323526,0.013794212
2016-06-22,"3,133.96",0.960565385,0.975159065,0.014104512
2016-06-23,"3,117.32",0.959207733,0.973660224,0.014128374
2016-06-24,"3,077.16",0.96076919,0.972445435,0.014140655
2016-06-27,"3,120.54",0.960233027,0.971286914,0.014144789
2016-06-28,"3,136.40",0.961553053,0.970253979,0.014059054
2016-06-29,"3,151.39",0.993801206,0.969949951,0.013436597
2016-06-30,"3,153.92",0.990976161,0.969568145,0.012665654
2016-07-01,"3,154.20",0.993029884,0.969219639,0.01185412
2016-07-04,"3,204.70",0.995203919,0.969598375,0.012572496
2016-07-05,"3,207.38",0.991086182,0.97109212,0.01327848
2016-07-06,"3,216.80",0.987642999,0.972358992,0.013600835
