time,per,normcjl,normcje,jc,normccl
160201,-0.008829607,-0.753061273,-0.59,-76.4771,-0.919676732
160202,0.044210298,-0.740230564,-0.58,-63.0266,-0.924031327
160203,0.011049525,-0.751292191,-0.59,-53.3734,-0.943167349
160204,0.029675154,-0.752711345,-0.58,-26.4853,-0.948634784
160205,-0.010218978,-0.809049825,-0.62,-47.1971,-0.985213375
160215,0.001592526,-0.784768679,-0.61,-16.6398,-1.002970442
160216,0.040979425,-0.793789056,-0.61,-21.5341,-1.049854906
160217,0.011804271,-0.815776227,-0.62,-24.4123,-1.118875224
160218,0.004235152,-0.854773808,-0.65,-6.9305,-1.198032069
160219,-0.035403447,-0.742524539,-0.57,-211.7164,-0.84596313
160222,0.016731411,-0.735078839,-0.57,-234.5225,-0.829149558
160223,-0.004003422,-0.744682431,-0.58,-225.4998,-0.825593306
160224,0.013907307,-0.69738377,-0.54,-229.2427,-0.821867709
160225,-0.087819437,-0.654323131,-0.52,-265.0522,-0.819908141
160226,-0.002510244,-0.69036576,-0.55,-231.1376,-0.816593811
160229,-0.07408575,-0.646624705,-0.53,-275.2337,-0.821843516
160301,0.023835941,-0.641550742,-0.53,-246.2349,-0.82740772
160302,0.061598482,-0.639665017,-0.52,-165.3482,-0.82740772
160303,0.004818159,-0.665384757,-0.53,-173.177,-0.841487575
160304,-0.033749083,-0.62240188,-0.5,-169.5614,-0.859413987
160307,0.023735478,-0.666045733,-0.53,-157.5482,-0.874776028
160308,0.015226992,-0.632413722,-0.51,-103.3253,-0.866647452
160309,-0.025927273,-0.691668272,-0.55,-117.0376,-0.879808003
160310,-0.023906597,-0.67627142,-0.54,-125.948,-0.880195078
160311,-0.005763689,-0.693165188,-0.55,-95.7818,-0.888372039
160314,0.036805457,-0.666551186,-0.53,-60.9904,-0.927200503
160315,-0.007382311,-0.734767792,-0.57,-31.8012,-0.984027957
160316,-0.008373163,-0.722170368,-0.57,2.5963,-1.045935771
160317,0.035798611,-0.776487039,-0.6,14.025,-1.173864072
160318,0.009310987,-0.65183475,-0.52,-149.663,-0.805731518
160321,0.022091807,-0.690579605,-0.54,-169.6805,-0.786522919
160322,0.002161578,-0.723783927,-0.56,-153.8922,-0.781636097
160323,0.001580044,-0.713694323,-0.55,-169.7664,-0.769757732
160324,-0.016154978,-0.636379577,-0.5,-175.0242,-0.774039749
160325,0.003586898,-0.704362898,-0.55,-167.0312,-0.778442728
160328,-0.005156223,-0.668125864,-0.52,-180.7782,-0.772878524
160329,-0.017343836,-0.644000241,-0.51,-133.0672,-0.788458294
160330,0.041788467,-0.647402323,-0.51,-116.7034,-0.792014546
160331,0.004916944,-0.682414608,-0.53,-135.8138,-0.804159026
160401,-0.001592568,-0.646974633,-0.5,-96.5278,-0.82155321
160405,0.033180408,-0.658347308,-0.51,-96.1826,-0.814851974
160406,0.002378121,-0.730238163,-0.55,-100.0342,-0.828762483
160407,-0.009129305,-0.679381895,-0.52,-72.9737,-0.840737617
160408,-0.011154362,-0.678293229,-0.52,-54.5419,-0.860889711
160411,0.02680776,-0.689238213,-0.52,-67.3004,-0.901411629
160412,-0.001730825,-0.695167556,-0.53,-12.9729,-0.953110339
160413,0.019156359,-0.694001128,-0.52,-38.2255,-1.047145381
160414,0.003980443,-0.806697528,-0.61,-20.6545,-1.18102496
160415,-0.024168893,-0.714627466,-0.54,-169.7496,-0.856994768
160418,-0.014114094,-0.69740321,-0.54,-188.0024,-0.82895602
160419,0.001179825,-0.714160895,-0.55,-205.629,-0.814077823
160420,-0.051906341,-0.630469675,-0.49,-231.0126,-0.785240733
160421,-0.002073112,-0.68041224,-0.53,-182.282,-0.780305526
160422,0.004,-0.696061818,-0.54,-161.3201,-0.777450848
160425,-0.000791003,-0.697053282,-0.55,-162.6772,-0.779434608
160426,0.013457944,-0.692212605,-0.54,-161.7734,-0.769781924
160427,0.001909373,-0.711361467,-0.55,-150.899,-0.769104542
160428,-0.003600206,-0.676349182,-0.53,-157.3285,-0.747984761
160429,0.004619491,-0.717096405,-0.56,-140.794,-0.7636613
160503,0.036483155,-0.665345877,-0.52,-82.4537,-0.744912353
160504,0.003595698,-0.738325398,-0.56,-106.9826,-0.760419546
160505,0.009750848,-0.730665853,-0.56,-71.0166,-0.753984424
160506,-0.03688984,-0.64228948,-0.5,-73.689,-0.765669251
160509,-0.049497594,-0.671877874,-0.53,-90.8473,-0.789643712
160510,-0.006336283,-0.732765424,-0.57,-88.8961,-0.814464898
160511,-0.004361393,-0.692329248,-0.54,-83.0104,-0.835560488
160512,-0.001269841,-0.680081752,-0.54,-56.4555,-0.850946721
160513,0.000918858,-0.709320218,-0.56,-55.1107,-0.881283727
160516,0.021482277,-0.712897264,-0.56,-40.3423,-0.935038773
160517,0.004671927,-0.713013907,-0.56,-11.1416,-1.001156028
160518,-0.028405056,-0.744760193,-0.58,1.6073,-1.081812789
160519,0.006594342,-0.80636704,-0.62,-25.5331,-1.203402735
160520,-0.017293449,-0.674288492,-0.54,-170.1018,-0.700543876
160523,0.01362862,-0.701777316,-0.55,-174.2761,-0.692221763
160524,-0.007644768,-0.688110666,-0.55,-144.5782,-0.679085404
160525,-0.005471562,-0.693942807,-0.55,-159.1834,-0.673690545
160526,0.009879527,-0.639237326,-0.52,-116.5876,-0.64855486
160527,0.007530281,-0.688149547,-0.54,-108.9897,-0.661521874
160530,-0.004776332,-0.664704341,-0.53,-100.3152,-0.660723532
160531,0.050040519,-0.603078054,-0.48,-24.1224,-0.667545729
160601,0.001694973,-0.699911031,-0.54,-73.9799,-0.698390771
160602,0.002425141,-0.729363341,-0.56,-76.0942,-0.72113143
160603,0.012858951,-0.67586317,-0.52,-29.003,-0.732864642
160606,-0.003749582,-0.727283211,-0.56,-77.8595,-0.76477414
160607,0.006382342,-0.736945124,-0.57,-28.7571,-0.781200637
160608,-0.000166783,-0.715463406,-0.55,-28.0776,-0.810328034
160613,-0.047034194,-0.662896377,-0.52,-14.4438,-0.86132517
160614,-0.015375476,-0.704110172,-0.55,-39.3612,-0.930563218
160615,0.033378378,-0.703060387,-0.55,-32.846,-1.016130993
160616,-0.003145718,-0.792117176,-0.6,-17.7454,-1.167428949
160617,-0.018001583,-0.683347751,-0.53,-153.6724,-0.830044669
160620,0.006839711,-0.693320712,-0.54,-137.3691,-0.817948574
160621,-0.011423428,-0.657822415,-0.52,-139.2032,-0.793877345
160622,0.022559946,-0.680490002,-0.53,-86.8857,-0.781539328
160623,0.000815217,-0.703935208,-0.55,-90.1737,-0.781200637
160624,-0.016312424,-0.602261554,-0.48,-116.6202,-0.747379956
160627,0.026285791,-0.673316469,-0.52,-79.0191,-0.746388076
160628,0.01239026,-0.678176586,-0.53,-70.5105,-0.737775657
160629,0.005321962,-0.718807167,-0.55,-69.8021,-0.746968689
160630,0.001454161,-0.745518371,-0.57,-71.8939,-0.757468099
160701,-0.000596046,-0.714646906,-0.55,-71.7385,-0.746194539
160704,0.018150529,-0.680159514,-0.52,-72.2811,-0.735066131
160705,0.003031085,-0.745012919,-0.57,-67.1046,-0.755532724
160706,0.003661709,-0.730588091,-0.56,-70.7969,-0.765814405
160707,0.008918049,-0.694623223,-0.53,-40.3926,-0.790925898
160708,-0.000478851,-0.741552516,-0.56,-34.8533,-0.823440201
160711,-0.004641485,-0.706812397,-0.54,-64.4988,-0.856704462
160712,0.012624439,-0.680976014,-0.52,-26.5448,-0.935958076
160713,0.011377096,-0.723667284,-0.54,-30.1634,-1.026678788
160714,0.00416007,-0.813909942,-0.61,-13.3827,-1.16036483
160718,-0.027724226,-0.739025255,-0.56,-146.0731,-0.85435782
160719,-0.002997067,-0.719487583,-0.55,-159.1383,-0.834447647
160720,-0.001372618,-0.722384213,-0.55,-152.5223,-0.828786675
