,time,normper,normcjl,normcje,normjc,normccl,val,cmax,avg,std,rc,rc2,rc3
509,170620,0.118892455,-0.720031916,-0.55,0.07366058,-0.773870404,3546.49,0.95225653,0.96533729,0.020465142,0,0,0.639172701
510,170621,-0.540893884,-0.705918136,-0.54,0.035621734,-0.780982908,3587.96,0.954355678,0.963279345,0.019307543,0,0,0.462185519
511,170622,-0.214063337,-0.66260477,-0.52,-0.073378501,-0.771306032,3590.34,0.953717475,0.961048632,0.017541049,0,0,0.417942861
512,170623,1.264552383,-0.673958004,-0.52,0.282499271,-0.77747504,3622.88,0.962124056,0.959177174,0.015034325,0,0,-0.196010233
513,170626,-0.055670793,-0.745187883,-0.57,-0.017072998,-0.789135676,3668.09,0.948839859,0.957177742,0.01346006,0,0,0.619453568
514,170627,-0.151274677,-0.764297865,-0.58,0.141725841,-0.795377261,3674.72,0.950515958,0.955362095,0.011565712,0,0,0.419008978
515,170628,0.282048674,-0.736264708,-0.56,0.091860097,-0.789595327,3646.17,0.951838507,0.953903094,0.009875908,0,0,0.209052818
516,170629,0.215734975,-0.761284592,-0.58,0.110495456,-0.815577739,3668.83,0.948782492,0.952551714,0.008469502,0,0,0.445034581
517,170630,0.359878897,-0.766494638,-0.58,0.21928858,-0.819206568,3666.8,0.943949471,0.95108362,0.007118721,0,0,1.002167315
518,170703,-0.167278304,-0.765308769,-0.58,0.259602224,-0.826899684,3650.85,0.950515958,0.950256053,0.006043675,0,0,-0.043004421
519,170704,0.397781902,-0.769605113,-0.58,0.205988014,-0.825883612,3619.98,0.961670549,0.950325577,0.006171699,0,0,-1.83822521
520,170705,-0.080647179,-0.742232932,-0.56,-0.052210026,-0.830988164,3659.68,0.969047982,0.951343719,0.007436796,0,0,-2.380630653
521,170706,0.238654349,-0.789725998,-0.6,0.089383879,-0.842358493,3660.1,0.97318163,0.953137892,0.008162972,0,0,-2.455446161
522,170707,-0.159484655,-0.766280792,-0.58,0.103653994,-0.847874313,3655.93,0.97269724,0.954841959,0.008521338,0,0,-2.095361094
523,170710,-0.544020112,-0.739938957,-0.56,0.342201608,-0.859897831,3653.69,0.974841621,0.956251559,0.009383029,0,0,-1.981243035
524,170711,-0.250052918,-0.683775441,-0.53,0.034973092,-0.850317724,3670.81,0.962059694,0.956909907,0.009301096,0,0,-0.55367536
525,170712,0.274033995,-0.71602718,-0.55,0.101640929,-0.888347846,3658.82,0.960288131,0.957068484,0.009331791,0,0,-0.345019138
526,170713,-0.089618046,-0.770032803,-0.59,0.174402583,-0.90949182,3686.92,0.954390114,0.95719289,0.009275706,0,0,0.302163032
527,170714,-2.257461941,-0.697480972,-0.54,-0.002204312,-0.924660323,3703.09,0.959649914,0.957745823,0.009063141,0,0,-0.210091778
528,170717,0.237778291,-0.712819502,-0.55,0.127808496,-0.990100197,3663.56,0.957710993,0.958121693,0.00888763,0,0,0.046210284
529,170718,1.192981387,-0.736925684,-0.57,0.278885086,-1.074361595,3667.18,0.968909748,0.958954354,0.009087079,0,0,-1.095555053
530,170719,0.403337823,-0.820072571,-0.62,0.288838889,-1.200281943,3729.75,0.96262216,0.959367678,0.009054842,0,0,-0.35941897
531,170720,-0.251967735,-0.77158804,-0.59,-0.389672068,-0.929789068,3747.88,0.966647812,0.960014194,0.009091723,0,0,-0.729632573
532,170721,0.337260434,-0.733659685,-0.56,-0.37169104,-0.884065829,3728.6,0.978710631,0.960843523,0.010004942,0,0,-1.785828165
533,170724,-0.065268321,-0.735428768,-0.56,-0.247313448,-0.886315702,3743.47,0.980479631,0.962425512,0.010496399,0,0,-1.720029765
534,170725,0.123176145,-0.749989679,-0.57,-0.296296129,-0.881114382,3719.56,0.972861991,0.963542813,0.010350258,0,0,-0.900381215
535,170726,0.567068641,-0.707570576,-0.54,-0.045008967,-0.863623428,3705.39,0.978908076,0.964896292,0.01050787,0,0,-1.333456144
536,170727,0.410780192,-0.749095418,-0.57,0.232170375,-0.873832532,3712.19,0.978366436,0.966375489,0.010197836,0,0,-1.175832582
537,170728,0.672558322,-0.764161781,-0.58,0.207850867,-0.870082743,3721.89,0.974110697,0.96788355,0.008847668,0,0,-0.703817869
538,170731,-0.107830682,-0.778975419,-0.59,0.133475575,-0.879372544,3737.87,0.965874041,0.968651455,0.007873856,0,0,0.352738685
539,170801,-0.116251537,-0.748745489,-0.57,0.275419974,-0.866720029,3770.38,0.970639564,0.969099905,0.007709024,0,0,-0.199721627
540,170802,0.067551936,-0.748434442,-0.57,0.256018763,-0.875646947,3760.85,0.970750959,0.969185054,0.007717821,0,0,-0.202894668
541,170803,-0.451825402,-0.744390824,-0.56,0.122336009,-0.877219439,3727.83,0.969644969,0.969008221,0.007661743,0,0,-0.083107506
542,170804,0.509368309,-0.767699947,-0.58,0.310034676,-0.894420086,3707.58,0.969050865,0.968825902,0.007612566,0,0,-0.029551471
543,170807,0.029121365,-0.770402172,-0.58,0.217915053,-0.897081227,3726.79,0.973591521,0.968763397,0.007565559,0,0,-0.638171423
544,170808,0.432365768,-0.793769616,-0.6,0.319125899,-0.911838463,3732.21,0.97041147,0.969180986,0.007404853,0,0,-0.166172683
545,170809,-0.526566475,-0.744002015,-0.56,0.141655287,-0.911886847,3731.04,0.9778643,0.970059795,0.007336556,0,0,-1.063783277
546,170810,-0.907668073,-0.700785852,-0.53,0.326314441,-0.911959424,3715.92,0.982152993,0.971447939,0.006824274,0,0,-1.568672871
547,170811,1.042477951,-0.747462418,-0.57,0.505527282,-0.972391514,3647.35,0.971668638,0.972048875,0.006234355,0,0,0.060990532
