,per,normcjl,normcje,jc,normccl,y1o,y2o,y3o,y4o,time,y1,y2,y3,y4
1556,-2.82E-05,0.112350652,0.15,-7.4673,0.508896273,0.343443958,0.19353325,-0.226876667,-0.29345903,211011,0.247476008,0.5920753,-0.331185732,0.097883699
1557,-0.020586796,0.29792937,0.29,-5.9903,0.411667862,0.647515185,-0.392815825,-0.885631854,0.19386228,211012,0.551547235,0.005726225,-0.989940919,0.585205009
1558,0.007305544,0.204070785,0.21,-0.5947,0.063735787,0.249176733,0.232625347,0.312205558,-0.091501976,211013,0.153208783,0.631167397,0.207896493,0.299840753
1559,0.002768976,-0.068212426,0,-2.1326,-0.650345082,-0.259268326,-0.261594059,0.472385648,0.295054422,211014,-0.355236276,0.136947991,0.368076583,0.686397151
1560,0.001965532,0.034958144,0.08,-47.1048,0.531636932,0.315712735,-0.051157858,-0.103147897,-0.678050845,211018,0.219744785,0.347384192,-0.207456962,-0.286708116
1561,0.007553041,-0.167106092,-0.08,-50.3794,0.426933134,0.017854568,0.015899208,0.109911881,-0.807766204,211019,-0.078113382,0.414441258,0.005602816,-0.416423475
1562,-0.000226129,-0.141386352,-0.05,-43.1959,0.489494137,0.106722256,-0.108176525,-0.222042722,-0.638844378,211020,0.010754306,0.290365525,-0.326351787,-0.247501649
1563,-0.002438333,-0.144282982,-0.06,-44.2542,0.462544037,0.105156726,-0.189599087,-0.289498559,-0.595759054,211021,0.009188776,0.208942963,-0.393807624,-0.204416325
1564,-0.006167728,-0.053107181,0.01,-21.8676,0.559554719,0.221696446,-0.066523277,-0.506429481,-0.381424943,211022,0.125728496,0.332018773,-0.610738546,0.009917786
1565,0.008046466,-0.151359312,-0.07,-44.9856,0.479865645,0.038190931,0.097505357,0.090259602,-0.799954842,211025,-0.057777019,0.496047407,-0.014049463,-0.408612113
1566,0.000169885,-0.122198609,-0.04,-38.8335,0.475003015,0.111004933,-0.069899835,-0.203948004,-0.598837337,211026,0.015036983,0.328642215,-0.308257069,-0.207494608
1567,-0.008230923,-0.131452272,-0.05,-50.604,0.451004363,0.163002764,-0.401071744,-0.480939333,-0.532385601,211027,0.067034814,-0.002529694,-0.585248398,-0.141042872
1568,-0.00711713,0.001326132,0.05,-9.2768,0.580674501,0.272564444,0.017702327,-0.56587809,-0.26172899,211028,0.176596494,0.416244377,-0.670187155,0.129613739
1569,0.011603045,-0.028942678,0.03,-7.0992,0.549490768,0.114119153,0.526186418,0.137289167,-0.566458674,211029,0.018151203,0.924728468,0.032980102,-0.175115945
1570,0.004883866,-0.120371205,-0.04,-17.156,0.517436116,0.056773768,0.246611696,-0.100497659,-0.536732446,211101,-0.039194182,0.645153746,-0.204806724,-0.145389717
1571,-0.008184758,0.105488166,0.14,3.5002,0.609656744,0.391722041,0.10592275,-0.616715105,-0.124178642,211102,0.295754091,0.5044648,-0.72102417,0.267164087
1572,0.005906354,0.026034969,0.07,-8.4541,0.579174585,0.222340545,0.377815897,-0.07304521,-0.476529108,211103,0.126372595,0.776357947,-0.177354275,-0.085186379
1573,0.007189154,-0.217087539,-0.12,-7.6522,0.440867835,-0.114655107,0.341521992,-0.022638532,-0.491827387,211104,-0.210623057,0.740064042,-0.126947597,-0.100484658
