time,normper,normcjl,normcje,normjc,normccl
190320,0.827189765,0.370150713,0.13,0.029444845,0.150101905
190321,0.291950945,0.227924241,0.04,0.452061009,0.110886365
190322,-0.671950725,0.199929965,0.02,0.222977872,0.158327249
190325,-1.619482558,0.227088301,0.02,0.15688926,0.144271587
190326,0.225825777,0.145068961,-0.04,-0.063885575,0.144973161
190327,-0.688299459,0.193786777,-0.01,-0.009762694,0.142263635
190328,1.774276352,0.307999533,0.07,0.425706815,0.097072625
190329,2.036662229,0.216901495,0.05,0.66943901,0.094024409
190401,0.022057201,0.058092302,-0.04,0.247118718,0.076485071
190402,0.583777165,0.055895529,-0.05,0.491927431,0.063929324
190403,0.553143527,0.108870808,0,0.702217031,0.06917903
190404,-0.522006958,0.183794376,0.05,0.043651234,0.032092403
190408,0.281117469,0.056478743,-0.04,0.334779783,0.005650339
190409,0.035613666,0.207745034,0.06,0.212852235,0.012666074
190410,-1.0844471,0.089955231,-0.03,0.508564518,-0.078441713
190411,-0.313084855,-0.041481781,-0.12,0.426713916,-0.117100833
190412,-0.744342037,0.158755052,0.01,0.041911281,-0.246359703
190415,1.069432362,0.093921087,-0.04,0.373872387,-0.368457686
190416,0.232390843,-0.062905178,-0.13,0.174526621,-0.586114818
190417,-0.14718121,-0.399905711,-0.35,0.463090191,-0.934845235
190418,-0.889586183,0.162293217,0.01,0.052617281,-0.135244975
190422,-0.963523216,0.290678075,0.08,-0.279904843,0.039543597
190423,0.441527705,0.408020747,0.16,-0.023443341,0.025318589
190424,-2.013661928,0.423923051,0.16,0.039215436,0.114999037
190425,-0.679077101,0.521591968,0.2,0.20295533,0.143787743
190426,-1.28114753,0.705343283,0.29,0.499162629,0.279530121
190429,-0.022352638,0.58836998,0.22,0.117273191,0.16938308
190430,-4.541138505,0.83784952,0.3,-0.547736917,0.239274317
190506,1.084984521,0.837888401,0.29,-0.190482204,0.217090079
190507,-0.274302208,0.685047433,0.21,-0.271705786,0.142529749
190508,-0.604967664,0.64682747,0.18,0.057498024,0.185567655
190509,1.715641233,1.111007553,0.45,0.049416178,0.249338268
190510,-0.718000848,0.219001066,-0.05,-0.19162131,-0.039927747
190513,0.098330108,0.535569665,0.13,0.271440501,0.004368153
190514,0.997959065,0.220381339,-0.04,0.231126858,-0.378860327
190515,0.367488345,-0.226652249,-0.29,0.383571285,-0.794603111
190516,-2.695133185,0.695467524,0.21,-0.763732288,0.774574903
