time,normval,normbuy,normsell,normavg,normper
200812,-0.450994428,-0.401832745,-0.428777426,-0.41544432,0.689149899
200820,-0.362727807,-0.331822215,-0.352096915,-0.341976988,1.148581805
200827,-0.272091613,-0.252714273,-0.268320007,-0.260609943,0.144987047
200903,-0.137815769,-0.155015963,-0.171533038,-0.163245978,0.521909493
200910,-0.273078935,-0.264976004,-0.286060999,-0.275619398,-0.824132012
200917,-0.381092003,-0.316989476,-0.342240808,-0.329732433,0.76926006
200924,-0.426508833,-0.405985912,-0.435873823,-0.42097412,-0.241064177
201009,-0.258269099,-0.237881533,-0.268320007,-0.253105215,0.932162185
201016,-0.212654806,-0.193383316,-0.223967526,-0.208669329,0.024491984
201023,-0.295392421,-0.257658519,-0.288032221,-0.272854498,0.238628798
201030,-0.28611159,-0.287323998,-0.302816381,-0.295171188,0.17068359
201106,-0.301118891,-0.257658519,-0.283104167,-0.270484584,0.630718709
201113,-0.025655947,-0.03457412,-0.061341764,-0.047910166,1.275858587
201120,0.13350042,0.121466297,0.091427892,0.106529225,0.320464368
201127,0.037927614,0.07499038,0.045695557,0.060315904,0.099388693
201204,0.030423964,0.043940513,0.037219305,0.040566621,-0.14200972
201211,-0.049351684,-0.02112577,-0.051485657,-0.036455582,0.75460725
201218,-0.111947923,-0.129503652,-0.156748878,-0.143299203,0.519230901
201225,-0.264785427,-0.282379751,-0.307744434,-0.295171188,-0.030885572
210104,-0.268537252,-0.237881533,-0.253535847,-0.245797981,-1.952628139
210111,-0.334095458,-0.331822215,-0.361953022,-0.346914309,0.626412834
210118,-0.286901448,-0.217906778,-0.241314274,-0.229603569,1.093075255
210125,-0.27505358,-0.241441391,-0.269699862,-0.255672622,0.291031709
210201,-0.085487683,-0.084609894,-0.115550351,-0.100048273,2.573305373
210208,0.098351743,0.140452203,0.113111327,0.126870987,0.218066507
210220,0.079395154,0.093382977,0.066787625,0.080065186,-0.220998173
210226,0.062413209,0.098327223,0.076643732,0.087569914,-0.081303825
210305,0.000804293,-0.010446198,-0.04162955,-0.025988462,-0.519642164
210312,0.005938369,0.03405202,0.007650984,0.020817338,0.073557148
210330,-0.131101977,-0.094498387,-0.120478405,-0.107553001,-2.075371087
210407,-0.101482306,-0.079665648,-0.110622298,-0.095110952,0.180649616
210414,-0.257281777,-0.252714273,-0.283104167,-0.267917177,-0.050276778
210421,-0.286309055,-0.272491258,-0.297888328,-0.285296546,-0.111918185
210427,-0.21680156,-0.183494823,-0.214111419,-0.198794687,-0.200981335
210507,-0.293220312,-0.277435505,-0.302816381,-0.290233867,-0.414936844
210513,-0.292825383,-0.292466014,-0.322528595,-0.307613236,1.019408436
210520,-0.357198802,-0.356543448,-0.3858048,-0.371205927,-0.453937438
210527,-0.350682474,-0.326877969,-0.357024969,-0.341976988,0.487546096
210603,-0.34258643,-0.326877969,-0.352096915,-0.339607074,-0.276284307
210610,-0.242471941,-0.218104548,-0.238751687,-0.228418612,-0.525594458
210621,-0.23358604,-0.232937287,-0.263391954,-0.248167895,-0.68506127
210628,-0.297959459,-0.237881533,-0.268320007,-0.253105215,0.008147498
