time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,val,cmax,avg,std,rc,rc2,rc3
150618,-1.263913958,0.739984982,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,4930.55,0.924835863,0.895747385,0.026721042,0,0,-1.088598176
150619,-1.315346705,0.180825873,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,4637.05,0.952509923,0.895884322,0.027017839,0,0,-2.095859716
150623,-1.134157821,0.626846174,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,4786.09,0.971080084,0.89730047,0.030163189,0,0,-2.446015029
150624,-0.926715878,1.830857283,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,4880.13,0.967813215,0.900086851,0.033938575,0,0,-1.995557074
150625,-1.00731747,-0.323283371,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,4706.52,0.902920383,0.899316315,0.033676489,0,0,-0.107020314
150626,-0.823649527,0.985158093,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,4336.19,0.904194256,0.89884452,0.033531187,0,0,-0.159545083
150629,-0.823874994,0.378005244,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,4191.55,0.948154098,0.9002067,0.034996154,0,0,-1.370076173
150630,-0.932654779,0.794259898,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,4473.0,0.964159701,0.904205119,0.037545504,0,0,-1.59685117
150701,-1.072406402,-0.693313081,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,4253.02,0.960745272,0.908451268,0.038942766,0,0,-1.342842581
150702,-0.912753537,1.08759505,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,4108.0,0.967811347,0.913851272,0.039329117,0,0,-1.37201339
150703,-0.72025761,1.602423942,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,3885.92,0.976988092,0.918860802,0.040717368,0,0,-1.427579761
150706,-1.053256805,-2.071417206,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,3998.54,1.0,0.924022975,0.044166067,0,0,-1.720257897
150707,-1.117246869,-0.951575149,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,-0.914900734,-2.200674019,3928.0,0.996689859,0.929520134,0.046082744,0,0,-1.457589535
150708,-1.062421114,0.263587518,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,-0.914900734,-2.200674019,-0.95172135,-0.312243021,3663.04,0.995124758,0.93520969,0.046838679,0,0,-1.279179315
150709,-0.8928508,1.146090687,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,-0.914900734,-2.200674019,-0.95172135,-0.312243021,-0.791993812,0.121535879,3897.63,0.994652416,0.941040559,0.046604658,0,0,-1.150354055
150710,-0.837682692,0.897875811,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,-0.914900734,-2.200674019,-0.95172135,-0.312243021,-0.791993812,0.121535879,-0.740020139,0.855161203,4106.56,1.0,0.947916861,0.044500576,0,0,-1.170392466
150713,-0.834959811,0.175568533,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,-0.914900734,-2.200674019,-0.95172135,-0.312243021,-0.791993812,0.121535879,-0.740020139,0.855161203,-0.713214901,0.596226481,4211.81,1.0,0.955188493,0.040109531,0,0,-1.117228387
150714,-0.52894636,1.18692198,-0.493674772,0.882834534,-0.329772613,1.07555652,-0.415038292,0.176812507,-0.391752128,-0.386103453,-0.174493156,1.222637648,-0.049767918,1.691125892,-0.512823623,-3.406710911,-0.52801469,-0.406773315,-0.82513679,-2.101451765,-0.912251807,1.336809303,-0.838921943,-1.765756058,-0.64095219,1.437819213,-0.61521415,1.032138301,-0.914900734,-2.200674019,-0.95172135,-0.312243021,-0.791993812,0.121535879,-0.740020139,0.855161203,-0.713214901,0.596226481,-0.64828657,0.242124984,4112.15,0.985597889,0.96028235,0.036895915,0,0,-0.68613394
