val,buy,sell,avg,per
2.5541,2.5125,2.5638,2.5381,0.003378511
2.5529,2.5221,2.5625,2.5423,-0.000469833
2.5484,2.5188,2.56,2.5394,-0.001762701
2.5572,2.5234,2.5713,2.5473,0.003453147
2.57,2.5363,2.5888,2.5625,0.005005475
2.5787,2.5413,2.5838,2.5625,0.003385214
2.5761,2.5275,2.58,2.5538,-0.00100826
2.5996,2.5609,2.615,2.5879,0.009122317
2.6444,2.6003,2.6525,2.6264,0.017233421
2.6554,2.6084,2.6463,2.6273,0.004159734
2.6865,2.6366,2.6975,2.6671,0.011711983
2.709,2.67,2.7163,2.6931,0.008375209
2.709,2.6779,2.7163,2.6971,0
2.7458,2.7359,2.7934,2.7646,0.013584348
2.7501,2.7088,2.7663,2.7375,0.001566028
2.7143,2.6716,2.7271,2.6994,-0.013017708
2.692,2.6641,2.7163,2.6902,-0.008215746
2.7186,2.6754,2.7284,2.7019,0.009881129
2.7117,2.6984,2.7521,2.7253,-0.002538071
2.7333,2.7004,2.7588,2.7296,0.007965483
2.7266,2.7029,2.75,2.7264,-0.002451249
2.7855,2.7721,2.8275,2.7998,0.021601995
2.8235,2.8038,2.85,2.8269,0.013642075
2.8646,2.8591,2.9063,2.8827,0.014556402
2.9197,2.8641,2.9159,2.89,0.019234797
2.9217,2.9259,2.9713,2.9486,0.000685002
3.0028,2.9825,3.04,3.0113,0.027757812
2.9972,2.9629,3.0163,2.9896,-0.001864926
2.9819,2.9566,3.0038,2.9802,-0.005104764
2.9475,2.92,2.9638,2.9419,-0.011536269
2.9488,2.905,2.9513,2.9281,0.000441052
2.9771,2.9459,2.9875,2.9667,0.009597124
3.0255,2.97,3.0238,2.9969,0.016257432
3.0115,2.9767,3.0356,3.0061,-0.004627334
3.1107,3.12,3.1763,3.1481,0.032940395
3.2049,3.0963,3.1888,3.1425,0.030282573
3.26,3.255,3.3213,3.2881,0.017192424
3.2635,3.2146,3.2829,3.2488,0.00107362
3.2432,3.2181,3.2696,3.2439,-0.006220316
3.2407,3.1875,3.2463,3.2169,-0.000770844
3.2022,3.1738,3.225,3.1994,-0.011880149
3.1612,3.1475,3.19,3.1688,-0.012803697
3.175,3.1669,3.2225,3.1947,0.004365431
3.2586,3.2488,3.3161,3.2824,0.026330709
3.2954,3.2759,3.3363,3.3061,0.011293193
3.2998,3.3,3.36,3.33,0.001335195
3.4682,3.4421,3.5025,3.4723,0.051033396
3.4422,3.3921,3.4416,3.4169,-0.007496684
3.4955,3.4813,3.5513,3.5163,0.015484283
3.5315,3.4834,3.5329,3.5081,0.010298956
3.4272,3.3691,3.4225,3.3958,-0.029534192
3.3422,3.285,3.3388,3.3119,-0.024801587
3.3397,3.3075,3.3575,3.3325,-0.00074801
3.3667,3.3238,3.3838,3.3538,0.008084558
3.3907,3.3496,3.4175,3.3836,0.007128642
3.3985,3.3494,3.4169,3.3831,0.00230041
3.3482,3.3263,3.3763,3.3513,-0.014800647
3.33,3.3229,3.3775,3.3502,-0.005435757
3.381,3.3659,3.4131,3.3895,0.010611269
3.3772,3.3713,3.4129,3.3921,-0.001123928
3.3934,3.3634,3.4056,3.3845,0.004796873
3.325,3.3108,3.3678,3.3393,-0.020156775
3.2713,3.1733,3.2216,3.1975,-0.016150376
3.1681,3.1616,3.2063,3.1839,-0.031547091
3.1972,3.1846,3.2338,3.2092,0.009185316
3.1694,3.145,3.2025,3.1738,-0.008695108
3.142,3.1316,3.1825,3.1571,-0.008645169
3.2086,3.2325,3.291,3.2618,0.02119669
3.2471,3.1929,3.2388,3.2158,0.011999003
3.2168,3.2063,3.2594,3.2328,-0.009331403
3.2047,3.1715,3.2269,3.1992,-0.003761502
3.137,3.1278,3.1729,3.1503,-0.021125222
3.145,3.1188,3.1688,3.1438,0.002550207
3.1293,3.1096,3.1625,3.1361,-0.004992051
3.1577,3.17,3.2175,3.1938,0.009075512
3.2607,3.2596,3.3138,3.2867,0.032618678
3.3,3.27,3.33,3.3,0.012052627
3.4161,3.3925,3.4425,3.4175,0.058861819
3.3935,3.3913,3.4313,3.4113,-0.006615731
3.3827,3.3463,3.4125,3.3794,-0.003182555
3.3504,3.345,3.4075,3.3763,-0.009548585
3.3606,3.3338,3.3869,3.3603,0.003044413
3.3663,3.3475,3.405,3.3763,0.001696126
3.3618,3.334,3.3945,3.3643,-0.001336779
3.3587,3.3375,3.3956,3.3666,-0.000922125
3.3891,3.3588,3.4194,3.3891,0.009051121
3.3496,3.3275,3.3688,3.3481,-0.011655012
3.3472,3.335,3.3859,3.3604,-0.000716503
3.3314,3.3163,3.3675,3.3419,-0.004720363
3.3655,3.3588,3.41,3.3844,0.010235937
3.3845,3.3509,3.4063,3.3786,0.005645521
3.3705,3.3563,3.4075,3.3819,-0.004136505
3.3934,3.3788,3.4213,3.4,0.006794244
3.3702,3.3488,3.4013,3.375,-0.006836801
3.371,3.3513,3.4025,3.3769,0.000237375
3.394,3.3813,3.4275,3.4044,0.006822901
3.4291,3.4113,3.455,3.4331,0.01034178
3.4277,3.41,3.455,3.4325,-0.00040827
3.4315,3.41,3.455,3.4325,0.001108615
3.4468,3.4169,3.4731,3.445,0.004458692
3.4964,3.5094,3.5633,3.5363,0.014390159
3.5408,3.5138,3.5744,3.5441,0.012698776
3.541,3.5006,3.5581,3.5294,5.65E-05
3.5031,3.4575,3.505,3.4813,-0.010703191
3.4735,3.4419,3.5013,3.4716,-0.008449659
3.4577,3.415,3.4638,3.4394,-0.004548726
3.5106,3.5041,3.55,3.5271,0.015299187
3.5663,3.5294,3.5581,3.5438,0.015866234
3.6015,3.5788,3.6238,3.6013,0.009870174
3.6932,3.6513,3.7144,3.6828,0.025461613
3.6375,3.5979,3.6471,3.6225,-0.009719046
3.5894,3.5579,3.6113,3.5846,-0.013223368
3.5815,3.5466,3.6025,3.5746,-0.002200925
3.5376,3.5259,3.5775,3.5517,-0.012257434
3.5844,3.5681,3.6169,3.5925,0.013229308
3.6055,3.5675,3.6231,3.5953,0.00588662
3.6087,3.5771,3.6363,3.6067,0.000887533
3.6071,3.5525,3.6075,3.58,-0.000443373
3.5667,3.5356,3.5958,3.5657,-0.011200133
3.5808,3.552,3.604,3.578,0.003953234
3.5556,3.533,3.5789,3.5559,-0.007037534
3.5596,3.555,3.5643,3.5597,0.001124986
3.5681,3.5575,3.5625,3.56,0.002387909
3.5614,3.568,3.5775,3.5727,-0.00187775
3.5771,3.575,3.585,3.58,0.004408379
3.5846,3.595,3.6083,3.6017,0.00209667
3.618,3.6333,3.6427,3.638,0.009317637
3.6391,3.6271,3.6331,3.6301,0.005831951
3.6307,3.637,3.64,3.6385,-0.002308263
3.6483,3.6451,3.65,3.6476,0.00484755
3.6436,3.6458,3.66,3.6529,-0.001288271
3.6556,3.6441,3.655,3.6495,0.003293446
3.6173,3.62,3.6225,3.6213,-0.002839343
3.6359,3.6375,3.645,3.6413,0.005141957
3.6695,3.675,3.68,3.6775,0.009241178
3.6783,3.7115,3.7167,3.7141,0.019456223
3.7499,3.755,3.76,3.7575,0.019465514
3.7688,3.8088,3.8222,3.8155,0.005040134
3.7928,3.76,3.7725,3.7663,0.006368075
3.7898,3.8014,3.8205,3.8109,0.005598748
3.8299,3.8366,3.8402,3.8384,0.010581033
3.8158,3.7875,3.7937,3.7906,-0.003681558
3.7981,3.8022,3.8053,3.8038,-0.004638608
3.7606,3.7345,3.74,3.7372,-0.009873358
3.7385,3.7375,3.7425,3.74,-0.005876722
3.7429,3.71,3.72,3.715,0.001176943
3.702,3.6994,3.7035,3.7015,-0.010927356
3.7165,3.715,3.725,3.72,0.003916802
3.7249,3.71,3.7231,3.7166,0.002260191
3.6776,3.643,3.65,3.6465,-0.012698327
3.658,3.646,3.65,3.648,-0.005329563
3.6487,3.6524,3.6575,3.6549,-0.002542373
3.6607,3.6415,3.6599,3.6507,0.003288843
3.5915,3.56,3.5735,3.5668,-0.040167834
3.5914,3.5961,3.605,3.6005,-2.78E-05
3.5885,3.5835,3.5916,3.5875,-0.000807485
