time,feature_0,feature_1
180530,2.240926261,-0.047979676
180531,2.209790364,0.238199674
180601,2.144609312,-0.579110357
180604,2.142953176,-0.024998258
180605,2.128983845,-0.248265867
180607,2.138935165,0.109124392
180608,2.108648234,-0.143104176
180611,2.078485775,-0.19130771
180612,2.1381782,0.208537517
180613,2.108425733,-0.11024876
180614,2.036252202,-0.399682973
180615,1.96511782,-0.438463552
180619,1.769255029,-0.909965233
180620,1.827659737,0.059651323
180621,1.705143683,-0.667741859
180622,1.664832231,-0.248815546
180625,1.608812057,-0.34002066
180626,1.561314675,-0.279172169
180627,1.586065833,0.068619339
180628,1.588012514,-0.170067161
180702,1.249305181,-3.192275712
180704,1.294262731,0.038724813
180705,0.913019629,-1.770197798
180706,0.705982462,-1.78685163
180709,0.984864258,1.01531897
180710,1.133711134,1.06442126
180711,1.070604756,-0.113402084
180712,0.998222428,-0.297449773
180713,0.865547173,-0.487363595
180717,0.910979439,0.240449487
180718,0.797047873,-0.522647
180719,0.554118404,-1.165340663
180720,0.644314304,-0.301820855
180723,0.602840577,0.012622413
180726,0.681921223,0.267450764
180730,0.575687342,-0.786333017
180731,0.640772677,1.938840421
180801,0.503519989,-2.276965897
180802,0.451593334,-0.274756057
180803,0.094565646,-2.039251089
180806,-0.085467201,-1.279056756
180808,0.157261625,1.442453644
180809,0.418057636,1.428517029
180810,0.502945139,1.507297606
180813,0.695511494,1.599401946
180815,0.451254881,-0.910908863
180816,0.516201378,-0.044329277
180817,0.678112172,1.086299567
180821,0.912095539,0.69035482
180822,0.777010738,-0.591608442
180823,0.549052733,-1.362769727
180824,0.53126312,-0.407398332
180827,0.762553261,1.237880793
180828,0.698746704,0.016289843
180829,0.706483517,-0.112499134
180831,0.641972611,0.024563011
180903,0.696823815,0.327766646
180904,0.66732038,-0.127081587
180905,0.607212572,-0.494050739
180906,0.738773534,0.651024837
180910,0.840453304,0.317126741
180911,0.89561272,0.427622776
180914,0.842821967,-0.19255784
180917,0.754300523,-0.882339299
180918,0.82219723,0.42230789
180920,1.023282778,1.10354565
180921,0.943317637,-0.088478489
180926,0.92636666,0.248566697
180928,0.789641516,-0.44352367
180929,0.7695985,-0.109858771
180930,0.781736409,0.248604753
181008,0.695279218,-0.625241749
181009,0.615034918,-0.711329238
181010,0.655751289,-0.005531319
181011,0.60467528,-0.069749693
181012,0.600411159,-0.12469693
181017,0.639821908,-0.052660849
181018,0.557324506,-0.35584136
181022,0.617378444,0.576160379
181023,0.521118479,-0.475474617
181024,0.465767482,-0.314720074
181025,0.481993874,-0.162418508
181026,0.464506366,0.345739609
181030,0.460554489,-0.005745773
181031,0.495665846,0.692872523
181101,0.475468118,-0.610155301
181105,0.572066549,0.103116107
181106,0.476124941,-0.692940811
181107,0.453749486,-0.154504308
181108,0.499556859,0.046882641
181109,0.584352769,0.439957696
181112,0.602694689,0.288819054
181113,0.551928925,-0.326733014
181114,0.438391376,-0.703520456
181116,0.431913665,-0.296003778
181119,0.504872946,0.26521305
181120,0.45098894,0.022206407
181121,0.445309968,-0.33400975
181122,0.480736006,0.181826371
181126,0.493976654,0.059642469
181127,0.51021519,0.476595271
181128,0.486726952,-0.365057167
181129,0.457975773,-0.217686271
181130,0.499957283,0.231725788
181203,0.449502996,-0.409220876
181204,0.332138344,-0.537007486
181205,0.254198264,-0.777981268
181206,0.266820338,0.22913267
181210,0.206872584,-0.728489189
181211,0.23869119,0.230003446
181212,0.267138842,0.099764496
181213,0.385498128,0.624212482
181214,0.410094531,0.467587056
181217,0.433706154,-0.391282273
181218,0.363544839,-0.002065468
181219,0.292616961,-0.435055065
181220,0.158343081,-0.829003081
181221,0.174160451,-0.090800349
181224,0.188587925,0.18209036
181225,0.134817857,-0.375598477
181226,0.086497841,-0.168344197
190103,-0.244080717,-0.27524943
190104,-0.266465977,0.086545349
190107,-0.453169045,-1.070783182
190108,-0.725734657,-2.039612528
190110,-0.451665725,0.729720754
190114,-0.491506694,0.453092427
190116,-0.631791057,-0.958600998
190117,-0.61831597,0.142063199
190121,-0.44147698,0.58121771
190128,-0.417004081,-0.261217824
190129,-0.444335218,-0.198695908
190131,-0.462406665,-0.022750415
190202,-0.555842678,-0.787332403
190213,-0.644575418,-0.09402768
190215,-0.677741762,0.04694332
190219,-0.5601791,0.351114679
190220,-0.621228402,-0.291988094
190221,-0.552240351,0.328339695
190222,-0.466215939,0.401170032
190226,-0.145580018,1.599603328
190227,-0.143855677,-0.354051942
190228,-0.044507348,0.244261655
190301,-0.009603161,0.408890526
190304,0.01219436,0.326483307
190305,0.108890468,0.479976141
190308,-0.29262656,-0.527032421
190311,-0.247933108,-0.284997639
190314,-0.02754525,0.646941483
190318,-0.030987843,-0.185700504
190319,-0.036528074,0.023873176
190320,-0.082708999,-0.166887494
190321,-0.161585544,-0.446007404
190325,-0.263701962,-0.422173223
190326,-0.130660041,0.266057642
190327,-0.113713984,0.429268969
190328,-0.143442557,-0.132712411
190329,-0.106476749,0.274441403
190401,0.051605183,0.661211608
190402,0.042608957,0.300637741
190403,0.116127937,0.129844271
190404,0.216684362,0.493829451
190408,0.241850903,0.510956552
190409,0.447540068,1.056666884
190411,0.364258743,-0.806541418
190412,0.563661664,0.463456656
190415,0.840813584,2.068732927
190416,0.981236484,1.158325193
190417,1.000701982,0.036311926
190418,0.805830474,-0.706277233
190419,0.769685734,-0.883422216
190422,1.053151577,1.318778908
190423,1.126663455,1.157640619
