time,0,1,2,3,4,5,6,7,8,9,10,11
1812,0.475141344,-0.897085188,0.75960113,0.412435107,0.725870784,-0.072586321,0.502856635,-0.046246603,0.483232697,0.058253827,-0.21756366,0.185147708
1901,0.75960113,0.412435107,0.725870784,-0.072586321,0.502856635,-0.046246603,0.483232697,0.058253827,-0.21756366,0.185147708,-0.551882576,-0.049204598
1902,0.725870784,-0.072586321,0.502856635,-0.046246603,0.483232697,0.058253827,-0.21756366,0.185147708,-0.551882576,-0.049204598,0.043969951,0.513588561
1903,0.502856635,-0.046246603,0.483232697,0.058253827,-0.21756366,0.185147708,-0.551882576,-0.049204598,0.043969951,0.513588561,0.114727324,0.636869167
1904,0.483232697,0.058253827,-0.21756366,0.185147708,-0.551882576,-0.049204598,0.043969951,0.513588561,0.114727324,0.636869167,0.831080938,0.252814201
1905,-0.21756366,0.185147708,-0.551882576,-0.049204598,0.043969951,0.513588561,0.114727324,0.636869167,0.831080938,0.252814201,0.350360978,-0.210809814
1906,-0.551882576,-0.049204598,0.043969951,0.513588561,0.114727324,0.636869167,0.831080938,0.252814201,0.350360978,-0.210809814,-0.089383863,-0.110206243
1907,0.043969951,0.513588561,0.114727324,0.636869167,0.831080938,0.252814201,0.350360978,-0.210809814,-0.089383863,-0.110206243,-0.046556963,0.325735917
1908,0.114727324,0.636869167,0.831080938,0.252814201,0.350360978,-0.210809814,-0.089383863,-0.110206243,-0.046556963,0.325735917,0.23523233,1.116191036
1909,0.831080938,0.252814201,0.350360978,-0.210809814,-0.089383863,-0.110206243,-0.046556963,0.325735917,0.23523233,1.116191036,0.191871713,0.037196434
1910,0.350360978,-0.210809814,-0.089383863,-0.110206243,-0.046556963,0.325735917,0.23523233,1.116191036,0.191871713,0.037196434,0.863430589,-0.080532325
1911,-0.089383863,-0.110206243,-0.046556963,0.325735917,0.23523233,1.116191036,0.191871713,0.037196434,0.863430589,-0.080532325,0.20896437,0.220355197
1912,-0.046556963,0.325735917,0.23523233,1.116191036,0.191871713,0.037196434,0.863430589,-0.080532325,0.20896437,0.220355197,0.050911688,-0.028407342
2001,0.23523233,1.116191036,0.191871713,0.037196434,0.863430589,-0.080532325,0.20896437,0.220355197,0.050911688,-0.028407342,-0.928366063,-2.107194845
2002,0.191871713,0.037196434,0.863430589,-0.080532325,0.20896437,0.220355197,0.050911688,-0.028407342,-0.928366063,-2.107194845,-1.393405473,0.6126167
2003,0.863430589,-0.080532325,0.20896437,0.220355197,0.050911688,-0.028407342,-0.928366063,-2.107194845,-1.393405473,0.6126167,-3.483539791,-3.722159569
2004,0.20896437,0.220355197,0.050911688,-0.028407342,-0.928366063,-2.107194845,-1.393405473,0.6126167,-3.483539791,-3.722159569,-4.849783357,-0.859021983
2005,0.050911688,-0.028407342,-0.928366063,-2.107194845,-1.393405473,0.6126167,-3.483539791,-3.722159569,-4.849783357,-0.859021983,-3.459619995,3.725723191
2006,-0.928366063,-2.107194845,-1.393405473,0.6126167,-3.483539791,-3.722159569,-4.849783357,-0.859021983,-3.459619995,3.725723191,-1.965922225,0.319955535
2007,-1.393405473,0.6126167,-3.483539791,-3.722159569,-4.849783357,-0.859021983,-3.459619995,3.725723191,-1.965922225,0.319955535,-0.994495165,0.563572123
2008,-3.483539791,-3.722159569,-4.849783357,-0.859021983,-3.459619995,3.725723191,-1.965922225,0.319955535,-0.994495165,0.563572123,-0.407873696,0.460992286
2009,-4.849783357,-0.859021983,-3.459619995,3.725723191,-1.965922225,0.319955535,-0.994495165,0.563572123,-0.407873696,0.460992286,-0.435539378,0.824196636
2010,-3.459619995,3.725723191,-1.965922225,0.319955535,-0.994495165,0.563572123,-0.407873696,0.460992286,-0.435539378,0.824196636,-0.645872106,0.084529529
2011,-1.965922225,0.319955535,-0.994495165,0.563572123,-0.407873696,0.460992286,-0.435539378,0.824196636,-0.645872106,0.084529529,-0.070853935,0.2663094
2012,-0.994495165,0.563572123,-0.407873696,0.460992286,-0.435539378,0.824196636,-0.645872106,0.084529529,-0.070853935,0.2663094,-0.559866868,-0.641938467
2101,-0.407873696,0.460992286,-0.435539378,0.824196636,-0.645872106,0.084529529,-0.070853935,0.2663094,-0.559866868,-0.641938467,-0.040263996,1.629396514
2102,-0.435539378,0.824196636,-0.645872106,0.084529529,-0.070853935,0.2663094,-0.559866868,-0.641938467,-0.040263996,1.629396514,0.087444601,0.235715502
2103,-0.645872106,0.084529529,-0.070853935,0.2663094,-0.559866868,-0.641938467,-0.040263996,1.629396514,0.087444601,0.235715502,-0.295734734,-0.391347977
2104,-0.070853935,0.2663094,-0.559866868,-0.641938467,-0.040263996,1.629396514,0.087444601,0.235715502,-0.295734734,-0.391347977,-0.538316203,-0.034599341
2105,-0.559866868,-0.641938467,-0.040263996,1.629396514,0.087444601,0.235715502,-0.295734734,-0.391347977,-0.538316203,-0.034599341,-0.648891224,0.123225312
2106,-0.040263996,1.629396514,0.087444601,0.235715502,-0.295734734,-0.391347977,-0.538316203,-0.034599341,-0.648891224,0.123225312,-0.562834827,0.035407039
2107,0.087444601,0.235715502,-0.295734734,-0.391347977,-0.538316203,-0.034599341,-0.648891224,0.123225312,-0.562834827,0.035407039,-1.319375742,-0.750076759
2108,-0.295734734,-0.391347977,-0.538316203,-0.034599341,-0.648891224,0.123225312,-0.562834827,0.035407039,-1.319375742,-0.750076759,-1.439900056,-0.125122538
2109,-0.538316203,-0.034599341,-0.648891224,0.123225312,-0.562834827,0.035407039,-1.319375742,-0.750076759,-1.439900056,-0.125122538,-1.061362238,0.676014732
2110,-0.648891224,0.123225312,-0.562834827,0.035407039,-1.319375742,-0.750076759,-1.439900056,-0.125122538,-1.061362238,0.676014732,-1.188070891,0.587702587
2111,-0.562834827,0.035407039,-1.319375742,-0.750076759,-1.439900056,-0.125122538,-1.061362238,0.676014732,-1.188070891,0.587702587,-1.298702518,0.193246131
2112,-1.319375742,-0.750076759,-1.439900056,-0.125122538,-1.061362238,0.676014732,-1.188070891,0.587702587,-1.298702518,0.193246131,-1.760045929,-0.479003491
2201,-1.439900056,-0.125122538,-1.061362238,0.676014732,-1.188070891,0.587702587,-1.298702518,0.193246131,-1.760045929,-0.479003491,-2.201563784,-0.390477096
2202,-1.061362238,0.676014732,-1.188070891,0.587702587,-1.298702518,0.193246131,-1.760045929,-0.479003491,-2.201563784,-0.390477096,-1.69652897,0.787848294
2203,-1.188070891,0.587702587,-1.298702518,0.193246131,-1.760045929,-0.479003491,-2.201563784,-0.390477096,-1.69652897,0.787848294,-1.869573866,0.079558977
2204,-1.298702518,0.193246131,-1.760045929,-0.479003491,-2.201563784,-0.390477096,-1.69652897,0.787848294,-1.869573866,0.079558977,-1.842998299,0.554628766
