,time,val,per,buy
549,170531,3.7418,0.026359821,3.1
550,170601,3.5915,-0.040167834,3.4
551,170602,3.5914,-2.78e-05,3.44
552,170605,3.5885,-0.000807485,3.44
553,170606,3.5966,0.002257211,3.44
554,170607,3.6153,0.005199355,3.5
555,170608,3.6051,-0.002821343,3.6
556,170609,3.6095,0.001220493,3.4
557,170612,3.5759,-0.009308769,3.44
558,170613,3.5655,-0.002908359,3.44
559,170614,3.5669,0.000392652,3.4
560,170615,3.5553,-0.003252124,3.44
561,170616,3.5741,0.00528788,3.3
562,170619,3.5349,-0.010967796,3.4
563,170620,3.5092,-0.007270361,3.44
564,170621,3.5233,0.00401801,3.44
565,170622,3.5268,0.000993387,3.4
566,170623,3.496,-0.008733129,3.0
567,170626,3.4366,-0.016990847,2.95
568,170627,3.3922,-0.012919746,2.99
569,170628,3.4144,0.006544425,3.41
570,170629,3.4425,0.00822985,3.0
571,170630,3.5305,0.025562818,3.9
572,170703,3.4981,-0.00917717,3.2
573,170704,3.4893,-0.002515651,3.2
574,170705,3.4392,-0.014358181,2.95
575,170706,3.419,-0.005873459,3.0
576,170707,3.44,0.006142147,2.8
577,170710,3.444,0.001162791,2.95
578,170711,3.4654,0.006213705,3.1
579,170712,3.4364,-0.008368442,3.3
580,170713,3.4093,-0.00788616,3.2
581,170714,3.4056,-0.001085267,3.05
582,170717,3.3804,-0.007399577,3.2
583,170718,3.4123,0.009436753,3.4
584,170719,3.4132,0.000263752,3.6
585,170720,3.4005,-0.003720848,3.44
586,170721,3.3961,-0.001293927,3.44
587,170724,3.3829,-0.003886811,3.2
588,170725,3.3874,0.00133022,3.44
589,170726,3.4084,0.006199445,3.44
590,170727,3.3983,-0.002963267,3.44
591,170728,3.3921,-0.001824442,3.44
592,170731,3.4207,0.008431355,3.4
593,170801,3.4394,0.005466717,4.0
594,170802,3.4381,-0.000377973,3.8
595,170803,3.4266,-0.003344871,3.4
596,170804,3.4123,-0.004173233,3.1
597,170807,3.4365,0.007091991,3.2
598,170808,3.4495,0.003782919,3.44
599,170809,3.4516,0.000608784,3.44
600,170810,3.4398,-0.003418704,3.4
601,170811,3.4252,-0.004244433,3.2
602,170814,3.4277,0.000729884,3.4
603,170815,3.4354,0.002246404,3.7
604,170816,3.4568,0.00622926,3.62
605,170817,3.479,0.006422125,4.6
606,170818,3.4579,-0.006064961,3.44
607,170821,3.4683,0.003007606,3.44
608,170822,3.4869,0.005362858,3.45
609,170823,3.4854,-0.000430182,4.0
610,170824,3.5004,0.004303667,3.44
611,170825,3.4963,-0.001171295,3.44
612,170828,3.5232,0.007693848,3.6
613,170829,3.5638,0.011523615,3.44
614,170830,3.5619,-0.000533139,3.44
615,170831,3.5474,-0.004070861,3.44
616,170901,3.5503,0.0008175,3.44
617,170904,3.5828,0.009154156,3.44
618,170905,3.5987,0.00443787,3.4
619,170906,3.5708,-0.0077528,3.4
620,170907,3.5263,-0.012462193,3.2
621,170908,3.4758,-0.01432096,3.25
622,170911,3.491,0.004373094,3.3
623,170912,3.4956,0.001317674,3.44
624,170913,3.5139,0.005235153,3.6
625,170914,3.5125,-0.000398418,3.5
626,170915,3.4911,-0.006092527,3.44
627,170918,3.4958,0.001346281,3.5
628,170919,3.5009,0.001458894,3.44
629,170920,3.5087,0.002227999,3.44
630,170921,3.4983,-0.002964061,3.44
631,170922,3.4913,-0.002000972,3.44
632,170925,3.4777,-0.003895397,3.4
633,170926,3.4864,0.002501653,3.44
634,170927,3.5053,0.005421065,3.44
635,170928,3.4972,-0.002310787,2.93
636,170929,3.4967,-0.000142972,3.25
637,170930,3.5177,0.006005662,3.15
638,171009,3.5167,-0.000284277,3.44
639,171010,3.5217,0.001421787,3.44
640,171011,3.5123,-0.002669165,3.44
641,171012,3.5185,0.001765225,3.3
642,171013,3.5143,-0.00119369,3.1
