time,feature_0,feature_1,feature_2,feature_3,feature_4
210603,-0.684056982,-0.268632135,0.016671317,0.000853277,-2.29E-05
210604,-0.526767084,0.670154614,0.037826045,-0.024970912,5.91E-05
210607,-0.414777862,1.164069607,0.021012396,0.002124314,5.71E-05
210608,-0.420307087,-0.072777986,0.022194797,-0.00670175,-2.23E-05
210609,-0.422535198,0.203041305,0.013280102,0.010246687,5.65E-05
210610,-0.470173164,-0.520386525,0.018937995,-0.008521992,5.97E-05
210611,-0.389074491,0.500054435,0.026065572,-0.005715332,5.72E-05
210615,-0.388686485,0.166371804,0.017744428,0.003244046,5.71E-05
210617,-0.342561073,0.176381474,0.024952972,-0.004999334,-2.35E-05
210618,-0.377184485,-0.039895067,0.015882555,0.007812644,-0.000105086
210621,-0.497136437,-0.679501696,0.010429008,0.016137738,5.49E-05
210622,-0.501020908,-0.085937454,0.012121319,0.01409077,5.55E-05
210623,-0.541058632,-0.318258908,0.011526725,0.008548532,-2.35E-05
210624,-0.589683366,-0.480608526,0.018331138,-0.001593214,-2.29E-05
210625,-0.607491189,-0.018651171,0.012649116,0.007029914,-2.32E-05
210628,-0.528916548,0.013980459,0.040606271,-0.027541386,5.83E-05
210629,-0.509989038,0.652805839,0.012844081,0.00737651,-2.28E-05
210630,-0.531464007,0.016817911,0.006425604,0.016268789,-2.38E-05
210701,-0.572039094,-0.624043974,0.026353737,-0.007222995,5.66E-05
210702,-0.645424268,-0.292725833,0.015377199,0.008968624,5.57E-05
210705,-0.670776187,-0.150235934,0.013316446,0.010813762,-2.47E-05
210706,-0.638468973,0.018173244,0.022662915,-0.003182271,-2.35E-05
210707,-0.690227294,-0.000905031,0.005714263,0.020777461,5.57E-05
210708,-0.927219759,-1.802406603,0.012626028,0.00529767,-2.42E-05
210709,-0.857511029,0.452247527,0.015250656,0.01186626,-0.000105868
210712,-1.089418408,-1.405559318,0.002346131,0.020389941,-2.50E-05
210714,-1.156653718,-0.852979209,0.017109832,-0.00089801,-2.32E-05
210715,-1.016727163,0.938499211,0.020929459,-0.001014966,-2.29E-05
210716,-1.097760725,-0.269302396,0.006261749,0.013502268,-2.33E-05
210719,-1.075738456,-0.076379444,0.018995226,-0.000250129,5.73E-05
210720,-1.068789483,0.014818888,0.019560817,-0.003721661,-2.24E-05
210721,-1.069603588,0.073797187,0.019236873,0.002978375,5.63E-05
210722,-1.036913299,0.258911071,0.018624914,0.004056052,5.64E-05
210723,-1.073205941,-0.23751288,0.018421457,0.003691092,-2.45E-05
210726,-1.120578218,-0.358599178,0.01914179,0.00223333,-0.000105035
210727,-0.972247741,0.898942879,0.0253997,-0.008013017,-2.24E-05
210728,-0.943279366,0.393388527,0.021641542,0.003093327,-2.49E-05
210729,-1.084310144,-0.662390937,0.005263681,0.021620758,-2.57E-05
210730,-1.2041426,-0.914144799,0.006425286,0.018080251,-2.53E-05
210802,-1.260994873,-2.281729178,0.021735191,-0.002674607,5.52E-05
210803,-1.260665822,0.134316735,0.010960205,0.01287431,-0.00010508
210804,-1.286702075,-0.240536019,0.014906859,0.008768478,5.57E-05
210805,-1.395643009,-0.770007869,0.011248745,0.008132392,5.67E-05
210806,-1.335989489,0.170223485,0.02186829,-0.007369123,-2.21E-05
210809,-1.140116633,1.300583778,0.029340905,-0.016447995,5.97E-05
210810,-1.165921543,0.350047528,0.010648484,0.015603463,5.56E-05
210811,-1.178437736,-0.227252179,0.018772645,0.005011941,-2.50E-05
210812,-1.242644343,-0.36132756,0.013445728,0.011128577,-2.52E-05
210813,-1.211713577,0.106355041,0.015523222,0.002044612,-2.27E-05
210816,-1.152625905,0.302858157,0.024950536,-0.004836269,-0.000104369
210818,-1.29643855,-0.754277179,0.011028081,0.004899479,-2.28E-05
210819,-1.311921351,-0.244418179,0.02017635,0.001021532,5.62E-05
210820,-1.280720718,0.150399262,0.023683348,-0.003774413,5.68E-05
210823,-1.22592086,0.475445836,0.02034201,-0.000301674,-2.34E-05
210824,-1.286882255,-0.045505898,0.002856241,0.022579599,-0.000105378
210825,-1.28903075,-0.447662005,0.024214444,-0.005494872,-0.000104572
210826,-1.207020463,0.584305981,0.024794731,-0.004976328,5.72E-05
210827,-1.281860359,-0.363110927,0.018267667,0.00377,5.60E-05
210830,-1.323484315,-0.271288291,0.013698488,0.004276091,-2.31E-05
210831,-1.309425709,0.495570724,-0.001457202,0.031972874,-2.57E-05
210901,-1.419375282,-1.08025213,0.010183737,0.008687135,-2.40E-05
210902,-1.370108982,0.094683955,0.023399547,-0.003529148,5.68E-05
210903,-1.369440016,0.048874519,0.022164598,-0.001755317,5.66E-05
210906,-1.320329273,0.298039528,0.025632073,-0.006574076,5.71E-05
210907,-1.228383022,0.590048156,0.027995798,-0.015127101,-0.000102078
210908,-1.182654682,0.512594545,0.02126488,-0.006014712,-2.19E-05
210910,-1.187261726,-0.037369927,0.016900703,0.006144262,5.60E-05
210913,-1.081195682,0.315951153,0.03356504,-0.026477158,-2.01E-05
210914,-1.070878501,0.724071262,0.009089085,0.018047971,-2.48E-05
210915,-1.048634621,-0.352606968,0.030096214,-0.022339851,-2.07E-05
210916,-1.052427199,0.37189804,0.015911479,0.008085194,5.62E-05
210917,-1.088384617,-0.287476862,0.015550127,0.001895446,-2.30E-05
210922,-1.198834913,-0.653215954,0.011197392,0.012288054,-2.50E-05
210923,-1.248546498,-0.420804773,0.013960893,0.010075451,5.55E-05
210924,-1.209096566,0.040456545,0.021774885,-0.007144093,-2.22E-05
210926,-1.229083392,-0.016216511,0.019400685,0.002442599,5.63E-05
210927,-1.217678522,-0.073315985,0.026833286,-0.008454336,5.70E-05
210928,-1.158035977,0.585905865,0.017463856,-0.000365795,-2.23E-05
210929,-1.122870322,0.280292305,0.017841515,-0.001090853,-2.24E-05
210930,-1.20822216,-0.469613725,0.013523712,0.007274585,-0.000104738
211008,-1.101110668,0.546453972,0.024998875,-0.005149218,-0.000104074
211011,-1.002891678,0.816688605,0.021451246,0.00037894,5.70E-05
211012,-1.032823889,-0.061718946,0.014277982,0.005485798,-2.34E-05
211013,-1.065237531,-0.134673374,0.012327387,0.012938758,5.55E-05
211014,-1.064258813,-0.231936438,0.021182854,-0.004783813,-2.29E-05
211015,-1.04310398,0.235551936,0.016592988,0.000817871,-2.26E-05
211018,-0.870214489,0.946566562,0.030525593,-0.018791757,-2.08E-05
211019,-0.891687808,0.662043715,-0.002440201,0.034630567,-2.59E-05
211020,-0.94011853,-0.807978277,0.018565768,-0.002681938,-2.30E-05
211021,-1.01777781,-0.47971063,0.017052234,0.005844415,-0.000105473
211022,-0.996558601,-0.094311116,0.024845355,-0.011426809,-2.20E-05
211025,-0.96703532,0.309564561,0.020461435,-0.004676515,-2.22E-05
211026,-1.002212479,-0.1230919,0.018485036,0.004031471,5.61E-05
211027,-0.951643474,0.142032835,0.023837137,-0.013672466,-2.07E-05
211028,-0.995145137,0.057731766,0.0114214,0.012526837,5.61E-05
211029,-0.98938129,-0.123144312,0.017476694,-0.000659388,-2.27E-05
211117,-1.219302702,0.353372165,0.013340471,0.002933181,-2.21E-05
211118,-1.241201439,-0.180596321,0.01949099,0.00217282,5.62E-05
211119,-1.200818984,0.205400809,0.023570608,-0.003453883,5.68E-05
211122,-1.254331168,-0.312077887,0.020986473,-0.00012972,5.63E-05
211123,-1.244997333,0.140163175,0.017629115,0.005125224,5.62E-05
211124,-1.311960495,-0.300283798,0.009875001,0.015801231,-2.53E-05
211125,-1.29018028,-0.075967036,0.020392104,0.000860515,5.64E-05
211126,-1.37204533,-0.524705571,0.017415239,0.004768431,5.58E-05
211129,-1.335847761,0.279526284,0.013476951,0.004985004,-2.28E-05
211130,-1.304695605,0.705326335,-0.003727761,0.036690902,5.45E-05
211201,-1.301926649,-0.435316915,0.017963643,0.00289623,-2.43E-05
211202,-1.280391408,0.065637011,0.022284616,-0.001789987,5.66E-05
211203,-1.240815181,0.336611839,0.017914083,-0.00132618,-2.24E-05
211206,-1.3980294,-1.035102585,0.016992272,0.004976395,5.55E-05
211207,-1.320443275,0.331764965,0.026171995,-0.007339326,5.72E-05
211209,-1.336595141,-0.111788989,0.012236582,0.012943941,-2.52E-05
211210,-1.347361227,0.072613603,0.002794294,0.020442605,-2.40E-05
211213,-1.36787993,-0.356306301,0.015492112,0.007710529,5.57E-05
211214,-1.461467008,-0.69741446,0.015676867,0.007055708,5.55E-05
211215,-1.454587724,0.142202004,0.010318033,0.014281206,-2.47E-05
211216,-1.41264754,0.175157109,0.017710493,0.004789622,5.63E-05
211217,-1.403726806,-0.085113546,0.02501014,-0.006559326,-0.000104268
211220,-1.350110554,0.458887765,0.025807436,-0.000571326,-2.53E-05
211221,-1.397412901,-0.023816008,0.00996088,0.0160015,5.54E-05
211223,-1.523486183,-0.452715669,0.013663495,0.003905739,-2.32E-05
211224,-1.524285527,-0.041581081,0.017801601,0.004336638,5.61E-05
211227,-1.571727061,-0.449526263,0.021115704,-0.003598652,-2.36E-05
211228,-1.586359967,-0.003921293,0.017513658,0.004695686,5.61E-05
211229,-1.675145875,-0.566828643,0.007888005,0.005866385,5.87E-05
211230,-1.701026036,-0.279268309,0.017652873,0.006104139,5.54E-05
211231,-1.60375549,2.154409168,-0.044993418,0.094214384,5.23E-05
220104,-1.709527676,-1.823684658,0.004172874,0.016516556,-2.50E-05
220105,-1.643457391,-0.050663618,0.027882344,-0.010587233,5.71E-05
220106,-1.57269981,0.788816966,0.017735101,0.004971124,5.66E-05
220107,-1.611113639,-0.15924957,0.014232608,0.009345552,5.57E-05
220110,-1.673116309,-0.439825155,0.013300675,0.010413989,5.55E-05
220111,-1.687624637,-0.097145791,0.012525954,0.011776768,5.56E-05
220112,-1.669636663,-0.113310332,0.023698936,-0.004551782,5.67E-05
220113,-1.669954897,0.148085063,0.017689666,0.004428634,5.63E-05
220114,-1.674394608,-0.053460521,0.019459069,0.001686755,5.63E-05
220117,-1.880303494,-1.373765469,0.011494513,0.011826571,-2.58E-05
220118,-2.067504242,-1.435291426,0.008376574,0.015329868,-0.000106492
220119,-2.078411032,-0.73777504,0.030727953,-0.022064395,-2.17E-05
220120,-2.067196337,0.355217495,0.022170216,-0.002547401,5.69E-05
220121,-2.141213435,-0.24638225,0.004971194,0.012167686,5.78E-05
220124,-2.210541339,-0.660937995,0.014118339,0.008032887,-2.51E-05
220125,-2.134342076,0.302042692,0.024828634,-0.010035031,5.82E-05
220126,-2.108112198,0.52735297,0.014456955,0.007564851,-2.40E-05
220127,-2.071378252,0.132723987,0.023421834,-0.004546859,5.69E-05
220128,-2.17033335,-0.553589896,0.014813026,0.007400507,5.56E-05
220129,-2.181618928,-0.231754573,0.020271724,-0.000364918,5.63E-05
220130,-2.182557551,0.021479957,-0.006481324,-0.016709405,-9.75E-06
220207,-2.147058357,-1.722609859,0.012114938,0.007557345,5.56E-05
220208,-2.125055899,-0.145095427,0.024045565,-0.00573985,5.68E-05
220209,-2.100837547,0.296586213,0.017543088,-0.002055021,-2.24E-05
220210,-2.139868444,-0.224148781,0.018206762,0.002721368,5.61E-05
220211,-1.915175975,1.607481717,0.02426161,-0.009418466,-0.000101927
