,val,buy,sell,avg,per,feature_0,feature_1,feature_2,feature_3,feature_4
140,2.4298,2.3975,2.4546,2.4261,-0.001725555,-0.8520252706577232,-0.11397698223747087,-0.04715416047988036,-0.034803165279871304,9.09207825179568e-05
141,2.4007,2.3841,2.4388,2.4114,-0.011976294,-0.9321408193828393,-0.8290968379422997,-0.03175102687379855,-0.052034406026707766,-7.103346507040162e-05
142,2.4302,2.3988,2.4516,2.4252,0.012288083,-0.843176996634865,0.8647042083975275,-0.04171925440198215,-0.031386975267255354,8.165848423248114e-06
143,2.4231,2.4013,2.4575,2.4294,-0.00292157,-0.8497039348662287,-0.1975809611688366,-0.03658477236017171,-0.04809416499864887,1.0611381518389286e-05
144,2.4185,2.3963,2.45,2.4231,-0.001898395,-0.8719968242016094,-0.1258612203560301,-0.03520552929028925,-0.04390667865173685,-7.171766345457262e-05
145,2.4032,2.3875,2.4416,2.4146,-0.006326235,-0.9159514600462249,-0.4346555157809894,-0.02975284392540795,-0.053161505340632284,9.018173427402057e-05
146,2.3982,2.3788,2.4338,2.4063,-0.002080559,-0.9420356593760086,-0.13780982814840043,-0.03345634150754234,-0.049791240654009125,1.0056520604729648e-05
147,2.3962,2.3775,2.4346,2.4061,-0.000833959,-0.9437243866941163,-0.05072859485079241,-0.034028816499080905,-0.05408780412970997,9.225918458468743e-05
148,2.386,2.3775,2.43,2.4038,-0.00425674,-0.9632866305628873,-0.2896072833701412,-0.021535559976399502,-0.06118518482549855,8.987181595767704e-05
149,2.3045,2.2825,2.3366,2.3096,-0.034157586,-1.3462337303083842,-2.373657810580934,-0.039603477124231234,-0.04079220126989162,8.81017132663651e-05
150,2.2681,2.2475,2.3034,2.2754,-0.015795183,-1.4688293711307008,-1.0897702208749254,-0.037411602757390916,-0.047689019947557074,-7.078725585427567e-05
151,2.2783,2.27,2.32,2.295,0.004497156,-1.3848512868869207,0.3265536940977113,-0.019049750725820883,-0.05879491733775137,8.012988414597223e-06
152,2.3116,2.2913,2.3463,2.3188,0.014616161,-1.2735479485416583,1.0321023368548934,-0.03265000088622333,-0.050594133132404503,1.0862095781073257e-05
153,2.3199,2.2941,2.3475,2.3208,0.003590587,-1.268094769295443,0.2619887285660071,-0.03819639272087566,-0.03907856717578455,8.648826687297308e-06
154,2.386,2.2989,2.3544,2.3267,0.008154815,-1.1818942536325263,0.5800591121639097,-0.09804927942756708,0.0436301223760895,8.514444703935456e-05
155,2.3476,2.3209,2.3838,2.3523,-0.016093881,-1.1628439958989993,-1.114061663338267,-0.04772512441573834,-0.049495722271586426,-6.655459925728377e-05
156,2.3752,2.3391,2.3975,2.3683,0.011756688,-1.0664168343175326,0.8301130809276575,-0.0503018166175761,-0.03303420380169046,1.155488987005885e-05
157,2.3667,2.3258,2.3887,2.3573,-0.003578646,-1.1195446653940593,-0.24036711197135746,-0.05983404959623234,-0.03108307058412012,9.400736436762183e-05
158,2.356,2.3275,2.3838,2.3556,-0.004521063,-1.1356733251017186,-0.30605030044031994,-0.04360619708356456,-0.03856347160770794,-7.06611096581202e-05
159,2.398,2.3725,2.4325,2.4025,0.017826825,-0.9378505530913177,1.2525859564050936,-0.04030008866528306,-0.051127184981810944,1.3987589771803179e-05
160,2.4036,2.3741,2.4322,2.4032,0.002335279,-0.9425207549417323,0.170656010914634,-0.04472986520488348,-0.040745568173039134,9.209298977077654e-05
161,2.3895,2.3638,2.4188,2.3913,-0.005866201,-0.9980252230090958,-0.4015601893760884,-0.04004075500869714,-0.04043393724176396,9.257055886525513e-06
162,2.4022,2.375,2.4263,2.4006,0.005314919,-0.94905324347563,0.3788422326443772,-0.0376228435503973,-0.034176078581573274,-7.346287181773012e-05
163,2.3937,2.3713,2.4288,2.4,-0.003538423,-0.9661877532093364,-0.23935313471283676,-0.03824400331453254,-0.0490817169685243,-6.92026537465242e-05
164,2.3989,2.3697,2.4313,2.4005,0.002172369,-0.9551915367926256,0.1594137977206082,-0.04684125982003068,-0.04634179571131418,1.390573326800574e-05
165,2.3976,2.3686,2.4259,2.3972,-0.000541915,-0.9682762639890168,-0.030011541312507703,-0.04411385067836643,-0.03985109474658226,-6.98072002691443e-05
166,2.4073,2.3725,2.435,2.4038,0.004045712,-0.9357545620363847,0.29006010355485456,-0.05258382101326736,-0.04004516924981476,9.471616664915675e-05
167,2.405,2.3746,2.4346,2.4046,-0.000955427,-0.9394829380872327,-0.05921549127672625,-0.04728288594807889,-0.041874935425634294,1.252146054022777e-05
168,2.3764,2.3425,2.3913,2.3669,-0.011891892,-1.0879493431025988,-0.821366846358363,-0.044593139946342786,-0.018874532245868592,3.88142535581263e-06
169,2.3824,2.3539,2.4097,2.3818,0.002524827,-1.0265769825412416,0.18484035859009826,-0.04229769109957132,-0.03872423920957106,9.990507679159356e-06
170,2.3748,2.351,2.4053,2.3782,-0.00319006,-1.0493284908799705,-0.21407551505684286,-0.037452599324359015,-0.04242520992234193,8.971859320208256e-05
171,2.3782,2.3529,2.4025,2.3777,0.0014317,-1.043715049224616,0.10868004183674601,-0.035194576726470694,-0.03385693411961958,5.959399209688278e-06
172,2.3732,2.3463,2.4025,2.3744,-0.00210243,-1.0612122039797978,-0.13796638133808342,-0.04161511941959656,-0.040998198364695024,1.0171711680962793e-05
173,2.3743,2.3475,2.3988,2.3731,0.000463509,-1.0618537049527248,0.04126501912522142,-0.037933682433651084,-0.034131165460329835,-7.368316197073807e-05
174,2.3832,2.3475,2.3988,2.3731,0.003748473,-1.0504877063272122,0.27061162640355574,-0.04610694126834897,-0.021992041239280936,-7.435268338948828e-05
175,2.3603,2.3413,2.3929,2.3671,-0.009608929,-1.1014579567012515,-0.661828599947621,-0.031850675801791295,-0.0443423879838583,7.34847088426175e-06
176,2.3537,2.3284,2.3841,2.3563,-0.002796255,-1.134711054004022,-0.1856051173419369,-0.03987793838500803,-0.04244347835958666,9.056317380820114e-05
177,2.4044,2.2991,2.3584,2.3288,0.021540553,-1.1469996669830156,1.514659466073406,-0.11650386253626593,0.0619569830054076,8.675182767461467e-05
178,2.3088,2.2975,2.3479,2.3227,-0.039760439,-1.307488346815429,-2.7654625857091144,-0.027452552289344682,-0.049642646630883955,5.6449342014328955e-06
