time,val,cmax,avg,std,rc,rc2,rc3
160314,3065.69,0.973762933,0.964517172,0.026221912,0,0,-0.35259676
160315,3074.78,0.982189062,0.964669866,0.026320222,0,0,-0.665617343
160316,3090.03,0.979104612,0.963649297,0.025272833,0,0,-0.611538696
160317,3124.2,0.97675885,0.964106783,0.025430607,0,0,-0.497513392
160318,3171.96,0.983262715,0.964703308,0.025746973,0,0,-0.720838402
160321,3249.44,0.950736127,0.962240114,0.024519707,0,0,0.469173113
160322,3225.79,0.956949505,0.960087589,0.022864151,0,1,0.137249103
160323,3236.09,0.898231695,0.955758869,0.025928047,1,0,2.218723737
160324,3181.85,0.907242479,0.951367566,0.026353795,0,1,1.6743352
160325,3197.82,0.885527968,0.945643964,0.027635289,1,0,2.175334467
160328,3169.73,0.901906175,0.943598642,0.029318384,0,0,1.422058829
160329,3135.41,0.939032572,0.943572519,0.029322409,0,0,0.154828576
160330,3216.28,0.941214486,0.94488334,0.028553703,0,0,0.128489594
160331,3218.09,0.952130213,0.945259764,0.028599383,0,0,-0.240230678
160401,3221.89,0.955500025,0.946526735,0.028456193,0,0,-0.315336965
160405,3264.49,0.951961868,0.946650423,0.028475112,0,0,-0.186529404
160406,3257.53,0.941007631,0.946429838,0.028502226,0,0,0.190238018
160407,3209.29,0.923007882,0.944730209,0.028850099,0,0,0.752937702
160408,3185.73,0.924579337,0.943445333,0.029160635,0,0,0.646967928
160411,3230.1,0.939102279,0.943160421,0.029174531,0,0,0.139098766
160412,3218.45,0.941886788,0.941566613,0.028271444,0,0,-0.011325012
160413,3261.38,0.946558268,0.939785074,0.026653203,0,0,-0.254123083
160414,3275.83,0.953712494,0.938515468,0.025249472,0,0,-0.601875021
160415,3272.21,0.968292005,0.938092126,0.024638099,0,0,-1.225739052
160418,3228.45,0.991944026,0.938526191,0.025535897,0,0,-2.091872246
160419,3238.3,0.984724482,0.940225609,0.027450432,0,0,-1.621062752
160420,3181.03,0.987868723,0.94177157,0.029253318,0,0,-1.575792291
160421,3160.6,0.971311088,0.945425539,0.028068721,0,0,-0.922220445
160422,3174.9,0.976186188,0.948872725,0.02735711,0,0,-0.998404536
160425,3162.03,0.967611262,0.95297689,0.02319427,0,0,-0.630947732
160426,3179.16,0.957134528,0.955738307,0.019838916,0,0,-0.070377863
160427,3165.92,0.981821401,0.957877749,0.020245559,0,0,-1.182661925
160428,3160.58,0.982373933,0.959935721,0.020552199,0,0,-1.091766969
160429,3156.75,0.983533944,0.961505908,0.021116351,0,0,-1.043174404
160503,3213.54,0.996538282,0.96355782,0.022453572,0,0,-1.468829191
160504,3209.46,0.99441363,0.965680409,0.023290615,0,0,-1.233682381
160505,3213.92,0.979687591,0.967614407,0.022733294,0,0,-0.531079407
160506,3130.35,0.97249552,0.970088788,0.020171478,0,0,-0.119313605
160509,3065.62,0.986040179,0.973161831,0.017358976,0,0,-0.741884111
160510,3069.11,0.982483829,0.975330908,0.015488698,0,0,-0.461815475
160511,3082.81,0.995588904,0.978016014,0.013965704,0,0,-1.258288872
160512,3090.14,1,0.9806881,0.012683769,0,0,-1.522567887
160513,3074.94,1,0.983002476,0.011686298,0,0,-1.454483268
160516,3095.31,0.996958281,0.984435789,0.011544195,0,0,-1.084743569
160517,3086.02,1,0.984838588,0.011953256,0,0,-1.268391774
160518,3068.04,0.989766391,0.985090684,0.012003783,0,0,-0.389519488
160519,3062.5,0.983409668,0.984867731,0.011990873,0,0,0.121597726
160520,3078.22,0.987859063,0.98569513,0.011569728,0,0,-0.187034087
160523,3087.22,0.983854607,0.986078551,0.011363239,0,0,0.195713843
160524,3063.56,0.989184547,0.987157215,0.010509837,0,0,-0.192898552
160525,3059.23,0.985064967,0.988553737,0.007822663,0,0,0.445982316
160526,3064.21,0.983403445,0.988632839,0.007758741,0,0,0.674000343
160527,3062.5,0.982211754,0.98862473,0.007765708,0,0,0.825807003
160530,3066.71,0.999881764,0.989442121,0.008056578,0,0,-1.295791305
160531,3169.56,0.998612287,0.989545821,0.008165337,0,0,-1.110360226
160601,3160.55,1,0.98982514,0.008431818,0,0,-1.206721915
160602,3167.1,0.987629198,0.99022222,0.008110145,0,1,0.319725797
160603,3189.33,0.961211289,0.989658009,0.009653868,1,1,2.946665612
160606,3178.79,0.962305563,0.988471278,0.01141939,1,0,2.291340811
160607,3177.05,0.966601136,0.987677143,0.012370354,0,0,1.703751329
160608,3163.99,0.968899424,0.986342669,0.012900179,0,0,1.352170733
160613,3066.34,0.964133533,0.984549346,0.01338554,0,0,1.525214021
160614,3075.98,0.970520454,0.983075369,0.013216648,0,0,0.94993183
160615,3116.37,0.967607617,0.981607835,0.013223501,0,0,1.05873764
160616,3094.67,0.961970069,0.979706339,0.013173768,0,0,1.346332321
160617,3110.36,0.960233027,0.978229671,0.013633954,0,0,1.319987099
160620,3112.67,0.965161962,0.977317285,0.013877458,0,0,0.875904155
160621,3106.32,0.967983871,0.976323526,0.013794212,0,0,0.604576352
160622,3133.96,0.960565385,0.975159065,0.014104512,0,0,1.034681627
160623,3117.32,0.959207733,0.973660224,0.014128374,0,0,1.022940809
160624,3077.16,0.96076919,0.972445435,0.014140655,0,0,0.825721644
160627,3120.54,0.960233027,0.971286914,0.014144789,0,0,0.781481227
160628,3136.4,0.961553053,0.970253979,0.014059054,0,0,0.618884151
160629,3151.39,0.993801206,0.969949951,0.013436597,0,0,-1.775096429
160630,3153.92,0.990976161,0.969568145,0.012665654,0,0,-1.690241692
160701,3154.2,0.993029884,0.969219639,0.01185412,0,0,-2.008604948
160704,3204.7,0.995203919,0.969598375,0.012572496,0,0,-2.036631736
160705,3207.38,0.991086182,0.97109212,0.01327848,0,0,-1.505749354
160706,3216.8,0.987642999,0.972358992,0.013600835,0,0,-1.123755128
160707,3209.95,0.983583064,0.973208088,0.013751706,0,0,-0.754450093
160708,3192.28,0.953226809,0.972424457,0.0144395,0,0,1.329523008
160711,3203.33,0.956223576,0.97202896,0.014782787,0,0,1.069174795
160712,3273.18,0.952092461,0.97110756,0.01544139,0,0,1.23143703
160713,3282.87,0.942672113,0.969860785,0.016694673,0,0,1.628583662
160714,3276.76,0.947451468,0.969134855,0.017358305,0,0,1.249164957
160715,3276.28,0.94815512,0.968530959,0.017886363,0,0,1.139182916
160718,3262.02,0.946220837,0.967583903,0.018562796,0,0,1.150853873
160719,3248.23,0.954640299,0.966916724,0.018786116,0,0,0.653483932
160720,3237.61,0.949571564,0.966367033,0.019139264,0,0,0.877540005
